,5e2180f70e01cd000d9f79ed
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,1.048
Pond9Fish5_PondTime,44.484
Pond9Fish5_PondOutcome,48
Pond9Fish5_TotalOutcome,363
Pond9Fish5_TimeLeft,804.309
Type,RD
FishN,15
Fish,6
Pond9Fish6_FishType,gray
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.152
Pond9Fish6_PondTime,55.428
Pond9Fish6_PondOutcome,50
Pond9Fish6_TotalOutcome,365
Pond9Fish6_TimeLeft,793.365
Type,RD
FishN,15
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,1.378
Pond9Fish7_PondTime,67.793
Pond9Fish7_PondOutcome,62
Pond9Fish7_TotalOutcome,377
Pond9Fish7_TimeLeft,781
Type,RD
FishN,15
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,0.829
Pond9Fish8_PondTime,82.159
Pond9Fish8_PondOutcome,74
Pond9Fish8_TotalOutcome,389
Pond9Fish8_TimeLeft,766.634
Type,RD
FishN,15
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,1.145
Pond9Fish9_PondTime,99.523
Pond9Fish9_PondOutcome,86
Pond9Fish9_TotalOutcome,401
Pond9Fish9_TimeLeft,749.27
Type,RD
FishN,15
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,15
Pond9Fish10_CatchTime,1.412
Pond9Fish10_PondTime,121.911
Pond9Fish10_PondOutcome,98
Pond9Fish10_TotalOutcome,413
Pond9Fish10_TimeLeft,726.882
Type,RD
FishN,15
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,20
Pond9Fish11_CatchTime,0.832
Pond9Fish11_PondTime,154.269
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,425
Pond9Fish11_TimeLeft,694.524
Type,RD
FishN,15
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,30
Pond9Fish12_CatchTime,0.991
Pond9Fish12_PondTime,216.645
Pond9Fish12_PondOutcome,122
Pond9Fish12_TotalOutcome,437
Pond9Fish12_TimeLeft,632.148
Type,RD
FishN,15
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,60
Pond9Fish13_CatchTime,1.035
Pond9Fish13_PondTime,219.009
Pond9Fish13_PondOutcome,134
Pond9Fish13_TotalOutcome,449
Pond9Fish13_TimeLeft,629.784
PondEnd_LastFish,13
FishN,13
Type,RD
