,5e2180f70e01cd000d9f79ed
Pond1Fish10_TotalOutcome,955
Pond1Fish10_TimeLeft,37.266
Type,N
FishN,18
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.887
Pond1Fish11_PondTime,87.571
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,966
Pond1Fish11_TimeLeft,26.335
Type,N
FishN,18
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.762
Pond1Fish12_PondTime,99.939
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,977
Pond1Fish12_TimeLeft,13.967
