,5dac63da21420b0014a509c1
Pond8Fish2_TimeLeft,204.173
Type,RT
FishN,18
Fish,3
Pond8Fish3_FishType,golden
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.777
Pond8Fish3_PondTime,27.322
Pond8Fish3_PondOutcome,40
Pond8Fish3_TotalOutcome,912
Pond8Fish3_TimeLeft,195.097
Type,RT
FishN,18
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.172
Pond8Fish4_PondTime,37.225
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,922
Pond8Fish4_TimeLeft,185.194
Type,RT
FishN,18
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.016
Pond8Fish5_PondTime,48.19
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,932
Pond8Fish5_TimeLeft,174.229
Type,RT
FishN,18
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.077
Pond8Fish6_PondTime,60.592
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,942
Pond8Fish6_TimeLeft,161.826
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,0.918
PondTime,74.966
TimeLeft,146.944
PondOutcome,70
TotalOutcome,942
PondStart,PondStart
PondIntroTime,13.434786747675389
Type,RD
FishN,12
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.931
Pond7Fish1_PondTime,8.084
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,954
Pond7Fish1_TimeLeft,124.791
Type,RD
FishN,12
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.007
Pond7Fish2_PondTime,14.503
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,966
Pond7Fish2_TimeLeft,118.371
Type,RD
FishN,12
Fish,3
Pond7Fish3_FishType,gray
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.886
Pond7Fish3_PondTime,21.204
Pond7Fish3_PondOutcome,26
Pond7Fish3_TotalOutcome,968
Pond7Fish3_TimeLeft,111.671
Type,RD
FishN,12
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.907
Pond7Fish4_PondTime,28.234
Pond7Fish4_PondOutcome,38
Pond7Fish4_TotalOutcome,980
Pond7Fish4_TimeLeft,104.641
Type,RD
FishN,12
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.971
Pond7Fish5_PondTime,35.653
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,992
Pond7Fish5_TimeLeft,97.222
Type,RD
FishN,12
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.003
Pond7Fish6_PondTime,43.51
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,1004
Pond7Fish6_TimeLeft,89.365
Type,RD
FishN,12
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.905
Pond7Fish7_PondTime,51.913
Pond7Fish7_PondOutcome,74
Pond7Fish7_TotalOutcome,1016
Pond7Fish7_TimeLeft,80.962
Type,RD
FishN,12
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.029
Pond7Fish8_PondTime,60.989
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,1028
Pond7Fish8_TimeLeft,71.886
Type,RD
FishN,12
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.24
Pond7Fish9_PondTime,70.907
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,1040
Pond7Fish9_TimeLeft,61.967
Type,RD
FishN,12
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.058
Pond7Fish10_PondTime,81.888
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,1052
Pond7Fish10_TimeLeft,50.987
Type,RD
FishN,12
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,0.707
Pond7Fish11_PondTime,94.291
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,1064
Pond7Fish11_TimeLeft,38.584
Type,RD
FishN,12
Fish,12
Pond7Fish12_FishType,gray
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,0.933
Pond7Fish12_PondTime,108.692
Pond7Fish12_PondOutcome,124
Pond7Fish12_TotalOutcome,1066
Pond7Fish12_TimeLeft,24.183
Type,RD
FishN,12
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,1.045
Pond7Fish13_PondTime,126.093
Pond7Fish13_PondOutcome,136
Pond7Fish13_TotalOutcome,1078
Pond7Fish13_TimeLeft,6.782
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,1.101
PondTime,126.431
TimeLeft,5.936
PondOutcome,136
TotalOutcome,1078
PondStart,PondStart
PondIntroTime,18.37067165179178
