,5dac63da21420b0014a509c1
Pond9Fish6_TimeLeft,592.598
Type,RT
FishN,15
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,1.161
Pond9Fish7_PondTime,55.162
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,564
Pond9Fish7_TimeLeft,583.538
Type,RT
FishN,15
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,0.982
Pond9Fish8_PondTime,65.082
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,574
Pond9Fish8_TimeLeft,573.619
Type,RT
FishN,15
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,0.885
Pond9Fish9_PondTime,76.047
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,584
Pond9Fish9_TimeLeft,562.654
Type,RT
FishN,15
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,0.958
Pond9Fish10_PondTime,88.481
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,594
Pond9Fish10_TimeLeft,550.219
Type,RT
FishN,15
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,10
Pond9Fish11_CatchTime,1.183
Pond9Fish11_PondTime,102.899
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,604
Pond9Fish11_TimeLeft,535.802
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,0.827
PondTime,120.274
TimeLeft,517.92
PondOutcome,120
TotalOutcome,604
PondStart,PondStart
PondIntroTime,14.521839288063347
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,0.928
Pond3Fish1_PondTime,8.078
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,616
