,5e226aee28b7b6533126bcee
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,466
Pond12Fish1_TimeLeft,658.012
Type,RT
FishN,18
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.097
Pond12Fish2_PondTime,17.084
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,486
Pond12Fish2_TimeLeft,650.195
Type,RT
FishN,18
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.965
Pond12Fish3_PondTime,25.452
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,496
Pond12Fish3_TimeLeft,641.827
Type,RT
FishN,18
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,0.882
Pond12Fish4_PondTime,34.485
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,506
Pond12Fish4_TimeLeft,632.794
Type,RT
FishN,18
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.458
Pond12Fish5_PondTime,44.352
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,516
Pond12Fish5_TimeLeft,622.927
Type,RT
FishN,18
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.185
Pond12Fish6_PondTime,55.283
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,526
Pond12Fish6_TimeLeft,611.995
Type,RT
FishN,18
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.219
Pond12Fish7_PondTime,67.651
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,536
Pond12Fish7_TimeLeft,599.628
Type,RT
FishN,18
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.176
Pond12Fish8_PondTime,82.018
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,546
Pond12Fish8_TimeLeft,585.261
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,0.743
PondTime,82.142
TimeLeft,584.636
PondOutcome,90
TotalOutcome,546
