,5e226aee28b7b6533126bcee
PondStart,PondStart
PondIntroTime,19.142202667426318
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.925
Pond5Fish1_PondTime,7.601
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,808
Pond5Fish1_TimeLeft,254.87
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.066
Pond5Fish2_PondTime,13.499
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,820
Pond5Fish2_TimeLeft,248.972
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.792
Pond5Fish3_PondTime,19.615
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,832
Pond5Fish3_TimeLeft,242.856
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.79
Pond5Fish4_PondTime,25.984
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,844
Pond5Fish4_TimeLeft,236.487
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.8
Pond5Fish5_PondTime,32.634
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,856
Pond5Fish5_TimeLeft,229.837
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.933
Pond5Fish6_PondTime,39.617
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,868
Pond5Fish6_TimeLeft,222.854
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.904
Pond5Fish7_PondTime,46.983
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,880
Pond5Fish7_TimeLeft,215.488
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.947
Pond5Fish8_PondTime,54.799
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,892
Pond5Fish8_TimeLeft,207.672
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.006
Pond5Fish9_PondTime,63.166
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,904
Pond5Fish9_TimeLeft,199.305
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.873
Pond5Fish10_PondTime,72.198
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,916
Pond5Fish10_TimeLeft,190.273
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,gray
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.07
Pond5Fish11_PondTime,82.064
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,918
Pond5Fish11_TimeLeft,180.407
Type,RD
FishN,12
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.073
Pond5Fish12_PondTime,92.998
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,930
Pond5Fish12_TimeLeft,169.473
Type,RD
FishN,12
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,0.762
Pond5Fish13_PondTime,105.366
Pond5Fish13_PondOutcome,146
Pond5Fish13_TotalOutcome,942
Pond5Fish13_TimeLeft,157.105
Type,RD
FishN,12
Fish,14
Pond5Fish14_FishType,blue
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,1.14
Pond5Fish14_PondTime,119.731
Pond5Fish14_PondOutcome,158
Pond5Fish14_TotalOutcome,954
Pond5Fish14_TimeLeft,142.74
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,1.223
PondTime,120.303
TimeLeft,141.667
PondOutcome,158
TotalOutcome,954
PondStart,PondStart
PondIntroTime,18.211409249342978
Type,N
FishN,15
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.954
Pond11Fish1_PondTime,8.017
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,965
Pond11Fish1_TimeLeft,113.058
Type,N
FishN,15
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,14.433
Pond11Fish2_PondOutcome,11
Pond11Fish2_TotalOutcome,965
Pond11Fish2_TimeLeft,106.642
Type,N
FishN,15
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.015
Pond11Fish3_PondTime,21.083
Pond11Fish3_PondOutcome,22
Pond11Fish3_TotalOutcome,976
Pond11Fish3_TimeLeft,99.992
Type,N
FishN,15
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.846
Pond11Fish4_PondTime,28.067
Pond11Fish4_PondOutcome,33
Pond11Fish4_TotalOutcome,987
Pond11Fish4_TimeLeft,93.008
Type,N
FishN,15
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.062
Pond11Fish5_PondTime,35.435
Pond11Fish5_PondOutcome,44
Pond11Fish5_TotalOutcome,998
Pond11Fish5_TimeLeft,85.64
Type,N
FishN,15
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.953
Pond11Fish6_PondTime,43.251
Pond11Fish6_PondOutcome,55
Pond11Fish6_TotalOutcome,1009
Pond11Fish6_TimeLeft,77.824
PondEnd_LastFish,6
FishN,17
Type,N
GiveUpTime,0.973
PondTime,43.389
TimeLeft,77.185
PondOutcome,55
TotalOutcome,1009
PondStart,PondStart
PondIntroTime,11.989170252345502
Type,RT
FishN,18
Fish,1
Pond12Fish1_FishType,golden
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.037
Pond12Fish1_PondTime,7.8
Pond12Fish1_PondOutcome,20
Pond12Fish1_TotalOutcome,1029
Pond12Fish1_TimeLeft,56.461
Type,RT
FishN,18
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.71
Pond12Fish2_PondTime,13.919
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,1039
Pond12Fish2_TimeLeft,50.342
Type,RT
FishN,18
Fish,3
Pond12Fish3_FishType,golden
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.939
Pond12Fish3_PondTime,20.284
Pond12Fish3_PondOutcome,50
Pond12Fish3_TotalOutcome,1059
Pond12Fish3_TimeLeft,43.977
Type,RT
FishN,18
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.911
Pond12Fish4_PondTime,26.934
Pond12Fish4_PondOutcome,60
Pond12Fish4_TotalOutcome,1069
Pond12Fish4_TimeLeft,37.327
Type,RT
FishN,18
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.188
Pond12Fish5_PondTime,33.919
Pond12Fish5_PondOutcome,70
Pond12Fish5_TotalOutcome,1079
Pond12Fish5_TimeLeft,30.342
Type,RT
FishN,18
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.017
Pond12Fish6_PondTime,41.285
Pond12Fish6_PondOutcome,80
Pond12Fish6_TotalOutcome,1089
Pond12Fish6_TimeLeft,22.976
Type,RT
FishN,18
Fish,7
Pond12Fish7_FishType,golden
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.765
Pond12Fish7_PondTime,49.103
Pond12Fish7_PondOutcome,100
Pond12Fish7_TotalOutcome,1109
Pond12Fish7_TimeLeft,15.158
Type,RT
FishN,18
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,1.151
Pond12Fish8_PondTime,57.468
Pond12Fish8_PondOutcome,110
Pond12Fish8_TotalOutcome,1119
Pond12Fish8_TimeLeft,6.793
