,5d2926ffb798d8001a81e971
Pond12Fish11_CatchTime,1.667
Pond12Fish11_PondTime,113.682
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,263
Pond12Fish11_TimeLeft,880.885
Type,N
FishN,18
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,15
Pond12Fish12_CatchTime,1.106
Pond12Fish12_PondTime,136.048
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,274
Pond12Fish12_TimeLeft,858.519
PondEnd_LastFish,12
FishN,15
Type,N
GiveUpTime,1.063
PondTime,136.415
TimeLeft,857.642
PondOutcome,132
TotalOutcome,274
PondStart,PondStart
PondIntroTime,18.186967843212187
Type,RD
FishN,14
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,-1
Pond10Fish1_PondTime,8.459
Pond10Fish1_PondOutcome,0
Pond10Fish1_TotalOutcome,274
Pond10Fish1_TimeLeft,830.332
Type,RD
FishN,14
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.349
Pond10Fish2_PondTime,15.164
Pond10Fish2_PondOutcome,12
Pond10Fish2_TotalOutcome,286
Pond10Fish2_TimeLeft,823.627
Type,RD
FishN,14
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.44
Pond10Fish3_PondTime,22.137
Pond10Fish3_PondOutcome,24
Pond10Fish3_TotalOutcome,298
Pond10Fish3_TimeLeft,816.653
Type,RD
FishN,14
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.994
Pond10Fish4_PondTime,29.593
Pond10Fish4_PondOutcome,36
Pond10Fish4_TotalOutcome,310
Pond10Fish4_TimeLeft,809.197
Type,RD
FishN,14
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,1.276
Pond10Fish5_PondTime,37.405
Pond10Fish5_PondOutcome,48
Pond10Fish5_TotalOutcome,322
Pond10Fish5_TimeLeft,801.386
Type,RD
FishN,14
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.281
Pond10Fish6_PondTime,45.844
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,334
Pond10Fish6_TimeLeft,792.947
Type,RD
FishN,14
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,1.569
Pond10Fish7_PondTime,54.869
Pond10Fish7_PondOutcome,72
Pond10Fish7_TotalOutcome,346
Pond10Fish7_TimeLeft,783.922
Type,RD
FishN,14
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,0.908
Pond10Fish8_PondTime,64.833
Pond10Fish8_PondOutcome,84
Pond10Fish8_TotalOutcome,358
Pond10Fish8_TimeLeft,773.958
Type,RD
FishN,14
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.361
Pond10Fish9_PondTime,75.769
Pond10Fish9_PondOutcome,96
Pond10Fish9_TotalOutcome,370
Pond10Fish9_TimeLeft,763.022
Type,RD
FishN,14
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,1.333
Pond10Fish10_PondTime,88.217
Pond10Fish10_PondOutcome,108
Pond10Fish10_TotalOutcome,382
Pond10Fish10_TimeLeft,750.574
Type,RD
FishN,14
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,10
Pond10Fish11_CatchTime,1.354
Pond10Fish11_PondTime,102.653
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,394
Pond10Fish11_TimeLeft,736.138
Type,RD
FishN,14
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,12
Pond10Fish12_CatchTime,1.135
Pond10Fish12_PondTime,120.081
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,406
Pond10Fish12_TimeLeft,718.71
Type,RD
FishN,14
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,15
Pond10Fish13_CatchTime,1.323
Pond10Fish13_PondTime,142.461
Pond10Fish13_PondOutcome,144
Pond10Fish13_TotalOutcome,418
Pond10Fish13_TimeLeft,696.33
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,1.271
PondTime,143.259
TimeLeft,695.017
PondOutcome,144
TotalOutcome,418
PondStart,PondStart
PondIntroTime,16.612438473384827
Type,RD
FishN,18
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.588
Pond8Fish1_PondTime,9.386
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,430
Pond8Fish1_TimeLeft,668.328
Type,RD
FishN,18
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.215
Pond8Fish2_PondTime,17.275
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,442
Pond8Fish2_TimeLeft,660.439
Type,RD
FishN,18
Fish,3
Pond8Fish3_FishType,gray
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.447
Pond8Fish3_PondTime,25.667
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,444
Pond8Fish3_TimeLeft,652.047
Type,RD
FishN,18
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.375
Pond8Fish4_PondTime,34.779
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,456
Pond8Fish4_TimeLeft,642.934
Type,RD
FishN,18
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.16
Pond8Fish5_PondTime,44.71
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,468
Pond8Fish5_TimeLeft,633.003
Type,RD
FishN,18
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.208
Pond8Fish6_PondTime,55.731
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,480
Pond8Fish6_TimeLeft,621.983
Type,RD
FishN,18
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,2.004
Pond8Fish7_PondTime,68.16
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,492
Pond8Fish7_TimeLeft,609.554
Type,RD
FishN,18
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.416
Pond8Fish8_PondTime,82.534
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,504
Pond8Fish8_TimeLeft,595.18
Type,RD
FishN,18
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.564
Pond8Fish9_PondTime,99.984
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,516
Pond8Fish9_TimeLeft,577.73
Type,RD
FishN,18
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,1.169
Pond8Fish10_PondTime,122.434
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,528
Pond8Fish10_TimeLeft,555.28
Type,RD
FishN,18
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,20
Pond8Fish11_CatchTime,-1
Pond8Fish11_PondTime,154.942
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,528
Pond8Fish11_TimeLeft,522.772
PondEnd_LastFish,11
FishN,13
Type,RD
GiveUpTime,37.447
PondTime,159.259
TimeLeft,517.948
PondOutcome,110
TotalOutcome,528
PondStart,PondStart
PondIntroTime,17.984730168245733
Type,RT
FishN,19
Fish,1
Pond4Fish1_FishType,golden
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.111
Pond4Fish1_PondTime,8.928
Pond4Fish1_PondOutcome,20
Pond4Fish1_TotalOutcome,548
