,5d8b8f538e6bab001b877ad7
Pond11Fish1_TimeLeft,745.426
Type,N
FishN,15
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.198
Pond11Fish2_PondTime,16.248
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,419
Pond11Fish2_TimeLeft,738.069
Type,N
FishN,15
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.725
Pond11Fish3_PondTime,24.072
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,430
Pond11Fish3_TimeLeft,730.244
Type,N
FishN,15
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.876
Pond11Fish4_PondTime,32.43
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,441
Pond11Fish4_TimeLeft,721.886
Type,N
FishN,15
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.853
Pond11Fish5_PondTime,41.456
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,452
Pond11Fish5_TimeLeft,712.861
Type,N
FishN,15
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.757
Pond11Fish6_PondTime,51.316
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,463
Pond11Fish6_TimeLeft,703.001
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,0.452
PondTime,61.78
TimeLeft,692.034
PondOutcome,66
TotalOutcome,463
PondStart,PondStart
PondIntroTime,17.277383198961616
Type,N
FishN,18
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.822
Pond2Fish1_PondTime,9.725
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,474
Pond2Fish1_TimeLeft,664.411
Type,N
FishN,18
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.879
Pond2Fish2_PondTime,18.082
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,485
Pond2Fish2_TimeLeft,656.054
Type,N
FishN,18
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.856
Pond2Fish3_PondTime,27.11
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,496
Pond2Fish3_TimeLeft,647.026
Type,N
FishN,18
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.838
Pond2Fish4_PondTime,36.97
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,507
Pond2Fish4_TimeLeft,637.166
Type,N
FishN,18
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.838
Pond2Fish5_PondTime,47.896
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,518
Pond2Fish5_TimeLeft,626.24
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,0.693
PondTime,60.002
TimeLeft,613.631
PondOutcome,55
TotalOutcome,518
PondStart,PondStart
PondIntroTime,10.208393463399261
Type,N
FishN,15
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.04
Pond6Fish1_PondTime,8.023
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,529
Pond6Fish1_TimeLeft,594.791
Type,N
FishN,15
Fish,2
Pond6Fish2_FishType,green
