,5d8b8f538e6bab001b877ad7
FishN,14
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.83
Pond10Fish5_PondTime,44.343
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,902
Pond10Fish5_TimeLeft,223.714
PondEnd_LastFish,5
FishN,13
Type,RD
GiveUpTime,0.467
PondTime,54.904
TimeLeft,212.651
PondOutcome,60
TotalOutcome,902
PondStart,PondStart
PondIntroTime,14.623478860594332
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,0.794
Pond3Fish1_PondTime,8.021
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,914
Pond3Fish1_TimeLeft,189.381
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,0.734
Pond3Fish2_PondTime,14.379
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,926
Pond3Fish2_TimeLeft,183.023
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.575
Pond3Fish3_PondTime,21.035
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,938
Pond3Fish3_TimeLeft,176.367
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.804
Pond3Fish4_PondTime,28.009
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,950
Pond3Fish4_TimeLeft,169.393
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.786
Pond3Fish5_PondTime,35.366
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,962
Pond3Fish5_TimeLeft,162.036
Type,RD
FishN,18
Fish,6
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,0.812
Pond3Fish6_PondTime,43.193
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,964
Pond3Fish6_TimeLeft,154.209
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,0.721
Pond3Fish7_PondTime,51.55
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,976
Pond3Fish7_TimeLeft,145.852
PondEnd_LastFish,7
FishN,17
Type,RD
GiveUpTime,0.573
PondTime,59.965
TimeLeft,136.935
PondOutcome,74
TotalOutcome,976
PondStart,PondStart
PondIntroTime,10.110406479798257
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.882
Pond11Fish1_PondTime,8.039
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,986
Pond11Fish1_TimeLeft,118.158
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,golden
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,0.661
Pond11Fish2_PondTime,14.396
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,1006
Pond11Fish2_TimeLeft,111.801
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.854
Pond11Fish3_PondTime,21.036
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,1016
Pond11Fish3_TimeLeft,105.161
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.771
Pond11Fish4_PondTime,28.009
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,1026
Pond11Fish4_TimeLeft,98.188
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.958
Pond11Fish5_PondTime,35.368
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,1036
Pond11Fish5_TimeLeft,90.829
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.735
Pond11Fish6_PondTime,43.193
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,1046
Pond11Fish6_TimeLeft,83.004
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.698
Pond11Fish7_PondTime,51.551
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,1056
Pond11Fish7_TimeLeft,74.646
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.867
Pond11Fish8_PondTime,60.576
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,1066
Pond11Fish8_TimeLeft,65.621
PondEnd_LastFish,8
FishN,17
Type,RT
GiveUpTime,0.374
PondTime,69.694
TimeLeft,56
PondOutcome,90
TotalOutcome,1066
PondStart,PondStart
PondIntroTime,14.88695327192545
Type,RD
FishN,18
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.705
Pond1Fish1_PondTime,7.808
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,1078
Pond1Fish1_TimeLeft,32.685
Type,RD
FishN,18
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.639
Pond1Fish2_PondTime,13.913
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,1090
Pond1Fish2_TimeLeft,26.58
Type,RD
FishN,18
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.884
Pond1Fish3_PondTime,20.285
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,1102
Pond1Fish3_TimeLeft,20.208
Type,RD
FishN,18
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.891
Pond1Fish4_PondTime,26.925
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,1114
Pond1Fish4_TimeLeft,13.568
Type,RD
FishN,18
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.865
Pond1Fish5_PondTime,33.9
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,1126
Pond1Fish5_TimeLeft,6.593
