,5bdd7b8eab164500016355ef
Pond2Fish2_TotalOutcome,455
Pond2Fish2_TimeLeft,645.212
Type,RD
FishN,18
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.671
Pond2Fish3_PondTime,19.67
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,467
Pond2Fish3_TimeLeft,639.094
Type,RD
FishN,18
Fish,4
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,0.812
Pond2Fish4_PondTime,26.057
Pond2Fish4_PondOutcome,28
Pond2Fish4_TotalOutcome,469
Pond2Fish4_TimeLeft,632.707
Type,RD
FishN,18
Fish,5
Pond2Fish5_FishType,gray
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.792
Pond2Fish5_PondTime,32.736
Pond2Fish5_PondOutcome,30
Pond2Fish5_TotalOutcome,471
Pond2Fish5_TimeLeft,626.028
PondEnd_LastFish,5
FishN,19
Type,RD
GiveUpTime,0.588
PondTime,38.984
TimeLeft,619.277
PondOutcome,30
TotalOutcome,471
PondStart,PondStart
PondIntroTime,13.428494222462177
Type,RT
FishN,15
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.882
Pond9Fish1_PondTime,8.594
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,481
Pond9Fish1_TimeLeft,596.627
Type,RT
FishN,15
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.874
Pond9Fish2_PondTime,15.566
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,491
Pond9Fish2_TimeLeft,589.655
Type,RT
FishN,15
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.7
Pond9Fish3_PondTime,22.953
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,501
Pond9Fish3_TimeLeft,582.268
Type,RT
FishN,15
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.756
Pond9Fish4_PondTime,30.787
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,511
Pond9Fish4_TimeLeft,574.434
Type,RT
FishN,15
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.815
Pond9Fish5_PondTime,39.171
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,521
Pond9Fish5_TimeLeft,566.05
Type,RT
FishN,15
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.966
Pond9Fish6_PondTime,48.23
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,531
Pond9Fish6_TimeLeft,556.991
Type,RT
FishN,15
Fish,7
Pond9Fish7_FishType,golden
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.738
Pond9Fish7_PondTime,58.096
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,551
Pond9Fish7_TimeLeft,547.125
Type,RT
FishN,15
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.808
Pond9Fish8_PondTime,69.065
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,561
Pond9Fish8_TimeLeft,536.156
Type,RT
FishN,15
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,0.736
Pond9Fish9_PondTime,81.456
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,571
Pond9Fish9_TimeLeft,523.765
Type,RT
FishN,15
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,0.723
Pond9Fish10_PondTime,95.844
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,581
Pond9Fish10_TimeLeft,509.377
Type,RT
FishN,15
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,0.748
Pond9Fish11_PondTime,113.236
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,591
Pond9Fish11_TimeLeft,491.985
Type,RT
FishN,15
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,15
Pond9Fish12_CatchTime,0.919
Pond9Fish12_PondTime,135.625
Pond9Fish12_PondOutcome,130
Pond9Fish12_TotalOutcome,601
Pond9Fish12_TimeLeft,469.596
PondEnd_LastFish,12
FishN,15
Type,RT
GiveUpTime,27.898
PondTime,162.657
TimeLeft,442.061
PondOutcome,130
TotalOutcome,601
PondStart,PondStart
PondIntroTime,13.34095030091703
Type,RD
FishN,15
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.985
Pond6Fish1_PondTime,7.605
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,613
Pond6Fish1_TimeLeft,420.487
Type,RD
FishN,15
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.017
Pond6Fish2_PondTime,13.52
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,625
Pond6Fish2_TimeLeft,414.572
Type,RD
FishN,15
Fish,3
Pond6Fish3_FishType,gray
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.857
Pond6Fish3_PondTime,19.638
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,627
Pond6Fish3_TimeLeft,408.454
Type,RD
FishN,15
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.767
Pond6Fish4_PondTime,26.038
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,639
Pond6Fish4_TimeLeft,402.054
Type,RD
FishN,15
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,0.61
Pond6Fish5_PondTime,32.715
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,651
Pond6Fish5_TimeLeft,395.377
Type,RD
FishN,15
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.591
Pond6Fish6_PondTime,39.73
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,663
Pond6Fish6_TimeLeft,388.362
Type,RD
FishN,15
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.051
Pond6Fish7_PondTime,47.133
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,675
Pond6Fish7_TimeLeft,380.959
Type,RD
FishN,15
Fish,8
Pond6Fish8_FishType,gray
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.014
Pond6Fish8_PondTime,54.952
Pond6Fish8_PondOutcome,76
Pond6Fish8_TotalOutcome,677
Pond6Fish8_TimeLeft,373.14
PondEnd_LastFish,8
FishN,19
Type,RD
GiveUpTime,0.594
PondTime,62.68
TimeLeft,364.909
PondOutcome,76
TotalOutcome,677
PondStart,PondStart
PondIntroTime,14.7232760861516
Type,N
FishN,18
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.95
Pond1Fish1_PondTime,9.737
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,688
Pond1Fish1_TimeLeft,339.826
Type,N
FishN,18
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.842
Pond1Fish2_PondTime,18.136
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,699
Pond1Fish2_TimeLeft,331.427
Type,N
FishN,18
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,0.765
Pond1Fish3_PondTime,27.178
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,710
Pond1Fish3_TimeLeft,322.385
Type,N
FishN,18
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,0.708
Pond1Fish4_PondTime,37.076
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,721
Pond1Fish4_TimeLeft,312.487
Type,N
FishN,18
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.142
Pond1Fish5_PondTime,48.016
