,566feba6b937e400052d33b2
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,739
Pond9Fish4_TimeLeft,420.982
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.103
Pond9Fish5_PondTime,47.915
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,750
Pond9Fish5_TimeLeft,410.041
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.316
Pond9Fish6_PondTime,60.274
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,761
Pond9Fish6_TimeLeft,397.682
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.031
Pond9Fish7_PondTime,74.645
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,772
Pond9Fish7_TimeLeft,383.311
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,0.948
Pond9Fish8_PondTime,92.016
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,783
Pond9Fish8_TimeLeft,365.94
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.483
Pond9Fish9_PondTime,114.383
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,794
Pond9Fish9_TimeLeft,343.573
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,1.254
PondTime,115.332
TimeLeft,342.122
PondOutcome,99
TotalOutcome,794
PondStart,PondStart
PondIntroTime,15.252638452220708
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.951
Pond5Fish1_PondTime,9.28
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,804
Pond5Fish1_TimeLeft,316.961
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.236
Pond5Fish2_PondTime,17.092
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,814
Pond5Fish2_TimeLeft,309.149
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.883
Pond5Fish3_PondTime,25.451
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,824
Pond5Fish3_TimeLeft,300.79
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.962
Pond5Fish4_PondTime,34.477
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,834
Pond5Fish4_TimeLeft,291.764
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.251
Pond5Fish5_PondTime,44.336
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,844
Pond5Fish5_TimeLeft,281.905
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.281
Pond5Fish6_PondTime,55.263
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,854
Pond5Fish6_TimeLeft,270.978
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.032
Pond5Fish7_PondTime,67.635
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,874
Pond5Fish7_TimeLeft,258.606
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.659
Pond5Fish8_PondTime,81.989
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,884
Pond5Fish8_TimeLeft,244.252
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.164
Pond5Fish9_PondTime,99.361
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,894
