,5dc2e7b7e4f0ff203937fa12
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,602
Pond6Fish5_TimeLeft,271.674
Type,RD
FishN,15
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,1.072
Pond6Fish6_PondTime,45.518
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,614
Pond6Fish6_TimeLeft,263.307
Type,RD
FishN,15
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,0.897
Pond6Fish7_PondTime,54.551
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,626
Pond6Fish7_TimeLeft,254.273
Type,RD
FishN,15
Fish,8
Pond6Fish8_FishType,gray
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,0.932
Pond6Fish8_PondTime,64.417
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,628
Pond6Fish8_TimeLeft,244.408
Type,RD
FishN,15
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,-1
Pond6Fish9_PondTime,75.416
Pond6Fish9_PondOutcome,86
Pond6Fish9_TotalOutcome,628
Pond6Fish9_TimeLeft,233.409
Type,RD
FishN,15
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,1.128
Pond6Fish10_PondTime,87.786
Pond6Fish10_PondOutcome,98
Pond6Fish10_TotalOutcome,640
Pond6Fish10_TimeLeft,221.039
Type,RD
FishN,15
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,10
Pond6Fish11_CatchTime,1.359
Pond6Fish11_PondTime,102.152
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,652
Pond6Fish11_TimeLeft,206.673
Type,RD
FishN,15
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,12
Pond6Fish12_CatchTime,1.146
Pond6Fish12_PondTime,119.518
Pond6Fish12_PondOutcome,122
Pond6Fish12_TotalOutcome,664
Pond6Fish12_TimeLeft,189.307
Type,RD
FishN,15
Fish,13
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,15
Pond6Fish13_CatchTime,0.979
Pond6Fish13_PondTime,141.885
Pond6Fish13_PondOutcome,134
Pond6Fish13_TotalOutcome,676
Pond6Fish13_TimeLeft,166.939
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,30.488
PondTime,171.554
TimeLeft,136.768
PondOutcome,134
TotalOutcome,676
PondStart,PondStart
PondIntroTime,15.94247336499393
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,8.348
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,676
Pond7Fish1_TimeLeft,111.857
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.912
Pond7Fish2_PondTime,15.217
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,687
Pond7Fish2_TimeLeft,104.988
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.091
Pond7Fish3_PondTime,22.201
Pond7Fish3_PondOutcome,22
Pond7Fish3_TotalOutcome,698
Pond7Fish3_TimeLeft,98.004
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.046
Pond7Fish4_PondTime,29.568
Pond7Fish4_PondOutcome,33
Pond7Fish4_TotalOutcome,709
Pond7Fish4_TimeLeft,90.637
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.928
Pond7Fish5_PondTime,37.385
Pond7Fish5_PondOutcome,44
Pond7Fish5_TotalOutcome,720
Pond7Fish5_TimeLeft,82.82
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.823
Pond7Fish6_PondTime,45.752
Pond7Fish6_PondOutcome,55
