,5d9202439796b3001772abb1
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,0.924
Pond12Fish7_PondTime,62.225
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,268
Pond12Fish7_TimeLeft,894.764
Type,RT
FishN,18
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.663
Pond12Fish8_PondTime,74.58
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,278
Pond12Fish8_TimeLeft,882.409
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,2.873
PondTime,76.316
TimeLeft,880.17
PondOutcome,80
TotalOutcome,278
PondStart,PondStart
PondIntroTime,10.303165505174547
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.904
Pond9Fish1_PondTime,7.804
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,289
Pond9Fish1_TimeLeft,861.45
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.317
Pond9Fish2_PondTime,13.915
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,300
Pond9Fish2_TimeLeft,855.339
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.846
Pond9Fish3_PondTime,20.421
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,311
Pond9Fish3_TimeLeft,848.833
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,1.577
Pond9Fish4_PondTime,27.067
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,322
Pond9Fish4_TimeLeft,842.187
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,0.581
Pond9Fish5_PondTime,34.04
