,5b0f33dd1e55760001b9a9ce
Pond9Fish9_TimeLeft,838.843
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,15
Pond9Fish10_CatchTime,1.407
Pond9Fish10_PondTime,121.874
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,332
Pond9Fish10_TimeLeft,816.48
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,23.555
PondTime,145.045
TimeLeft,792.807
PondOutcome,110
TotalOutcome,332
PondStart,PondStart
PondIntroTime,18.709275950677693
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.184
Pond5Fish1_PondTime,8.882
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,344
Pond5Fish1_TimeLeft,764.6
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.345
Pond5Fish2_PondTime,16.25
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,356
Pond5Fish2_TimeLeft,757.232
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.394
Pond5Fish3_PondTime,24.064
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,368
Pond5Fish3_TimeLeft,749.418
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.531
Pond5Fish4_PondTime,32.432
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,380
Pond5Fish4_TimeLeft,741.05
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.634
Pond5Fish5_PondTime,41.48
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,392
Pond5Fish5_TimeLeft,732.002
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.127
Pond5Fish6_PondTime,51.347
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,404
Pond5Fish6_TimeLeft,722.135
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.675
Pond5Fish7_PondTime,62.279
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,416
Pond5Fish7_TimeLeft,711.202
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.197
Pond5Fish8_PondTime,74.645
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,428
Pond5Fish8_TimeLeft,698.837
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.167
Pond5Fish9_PondTime,89.03
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,440
Pond5Fish9_TimeLeft,684.452
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.409
Pond5Fish10_PondTime,106.391
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,452
Pond5Fish10_TimeLeft,667.091
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,1.78
PondTime,107.787
TimeLeft,665.193
PondOutcome,120
TotalOutcome,452
PondStart,PondStart
PondIntroTime,16.93452106323093
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.59
Pond6Fish1_PondTime,8.285
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,462
Pond6Fish1_TimeLeft,639.357
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.284
Pond6Fish2_PondTime,14.934
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,472
Pond6Fish2_TimeLeft,632.708
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.229
Pond6Fish3_PondTime,21.918
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,482
Pond6Fish3_TimeLeft,625.724
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,1.462
Pond6Fish4_PondTime,29.282
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,492
Pond6Fish4_TimeLeft,618.36
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,1.27
Pond6Fish5_PondTime,37.098
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,502
Pond6Fish5_TimeLeft,610.544
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,1.152
Pond6Fish6_PondTime,45.465
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,512
Pond6Fish6_TimeLeft,602.177
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,1.087
Pond6Fish7_PondTime,54.499
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,522
Pond6Fish7_TimeLeft,593.143
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,1.341
Pond6Fish8_PondTime,64.363
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,532
Pond6Fish8_TimeLeft,583.279
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,1.145
Pond6Fish9_PondTime,75.296
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,542
Pond6Fish9_TimeLeft,572.346
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,1.323
Pond6Fish10_PondTime,87.661
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,552
Pond6Fish10_TimeLeft,559.981
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,1.562
PondTime,88.755
TimeLeft,558.386
PondOutcome,100
TotalOutcome,552
PondStart,PondStart
PondIntroTime,19.429299684707075
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.306
Pond10Fish1_PondTime,8.033
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,563
Pond10Fish1_TimeLeft,530.316
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.452
Pond10Fish2_PondTime,14.399
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,574
Pond10Fish2_TimeLeft,523.95
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.346
Pond10Fish3_PondTime,21.05
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,585
Pond10Fish3_TimeLeft,517.299
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.395
Pond10Fish4_PondTime,28.032
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,596
Pond10Fish4_TimeLeft,510.317
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.317
Pond10Fish5_PondTime,35.398
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,607
Pond10Fish5_TimeLeft,502.951
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.517
Pond10Fish6_PondTime,43.213
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,618
Pond10Fish6_TimeLeft,495.136
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.486
Pond10Fish7_PondTime,51.579
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,629
Pond10Fish7_TimeLeft,486.77
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.525
Pond10Fish8_PondTime,60.611
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,640
Pond10Fish8_TimeLeft,477.738
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.308
Pond10Fish9_PondTime,70.477
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,651
Pond10Fish9_TimeLeft,467.872
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.407
Pond10Fish10_PondTime,81.41
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,662
Pond10Fish10_TimeLeft,456.939
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,1.115
PondTime,82.14
TimeLeft,455.707
PondOutcome,110
TotalOutcome,662
PondStart,PondStart
PondIntroTime,19.984226773958653
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
