,5b0f33dd1e55760001b9a9ce
Pond8Fish12_CatchTime,1.942
Pond8Fish12_PondTime,100.029
Pond8Fish12_PondOutcome,120
Pond8Fish12_TotalOutcome,882
Pond8Fish12_TimeLeft,228.735
Type,RT
FishN,17
Fish,13
Pond8Fish13_FishType,purple
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,1.454
Pond8Fish13_PondTime,114.391
Pond8Fish13_PondOutcome,130
Pond8Fish13_TotalOutcome,892
Pond8Fish13_TimeLeft,214.373
Type,RT
FishN,17
Fish,14
Pond8Fish14_FishType,purple
Pond8Fish14_FishLatency,12
Pond8Fish14_CatchTime,1.321
Pond8Fish14_PondTime,131.757
Pond8Fish14_PondOutcome,140
Pond8Fish14_TotalOutcome,902
Pond8Fish14_TimeLeft,197.007
PondEnd_LastFish,14
FishN,17
Type,RT
GiveUpTime,2.808
PondTime,134.096
TimeLeft,194.166
PondOutcome,140
TotalOutcome,902
PondStart,PondStart
PondIntroTime,12.457504987251014
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.496
Pond1Fish1_PondTime,9.732
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,914
Pond1Fish1_TimeLeft,171.359
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.586
Pond1Fish2_PondTime,18.099
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,926
Pond1Fish2_TimeLeft,162.992
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,0.961
Pond1Fish3_PondTime,27.132
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,938
Pond1Fish3_TimeLeft,153.959
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.511
Pond1Fish4_PondTime,37.005
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,950
Pond1Fish4_TimeLeft,144.086
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.251
Pond1Fish5_PondTime,47.946
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,962
Pond1Fish5_TimeLeft,133.145
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.748
Pond1Fish6_PondTime,60.362
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,974
Pond1Fish6_TimeLeft,120.729
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.412
Pond1Fish7_PondTime,74.727
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,986
Pond1Fish7_TimeLeft,106.364
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.838
Pond1Fish8_PondTime,92.242
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,998
Pond1Fish8_TimeLeft,88.849
PondEnd_LastFish,8
FishN,19
Type,RD
GiveUpTime,2.296
PondTime,94.437
TimeLeft,86.151
PondOutcome,96
TotalOutcome,998
PondStart,PondStart
PondIntroTime,10.536542648915201
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.917
Pond3Fish1_PondTime,8.517
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,1010
Pond3Fish1_TimeLeft,66.483
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.65
Pond3Fish2_PondTime,15.166
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,1022
Pond3Fish2_TimeLeft,59.834
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.722
Pond3Fish3_PondTime,22.199
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,1034
Pond3Fish3_TimeLeft,52.801
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.347
Pond3Fish4_PondTime,29.565
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,1046
Pond3Fish4_TimeLeft,45.435
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.379
Pond3Fish5_PondTime,37.383
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,1058
Pond3Fish5_TimeLeft,37.617
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.452
Pond3Fish6_PondTime,45.748
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,1070
Pond3Fish6_TimeLeft,29.252
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.531
Pond3Fish7_PondTime,54.78
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,1082
Pond3Fish7_TimeLeft,20.22
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,-1
Pond3Fish8_PondTime,64.695
Pond3Fish8_PondOutcome,84
Pond3Fish8_TotalOutcome,1082
Pond3Fish8_TimeLeft,10.305
