,JD DIS
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,0.664
Pond3Fish7_PondTime,69.226
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,404
Pond3Fish7_TimeLeft,729.517
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,2.988
PondTime,71.078
TimeLeft,727.163
PondOutcome,84
TotalOutcome,404
PondStart,PondStart
PondIntroTime,11.546461367979646
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.365
Pond2Fish1_PondTime,9.269
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,416
Pond2Fish1_TimeLeft,705.731
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.749
Pond2Fish2_PondTime,17.085
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,428
Pond2Fish2_TimeLeft,697.915
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.852
Pond2Fish3_PondTime,25.454
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,440
Pond2Fish3_TimeLeft,689.546
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.775
Pond2Fish4_PondTime,34.489
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,452
Pond2Fish4_TimeLeft,680.511
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,-1
Pond2Fish5_PondTime,44.403
Pond2Fish5_PondOutcome,48
Pond2Fish5_TotalOutcome,452
Pond2Fish5_TimeLeft,670.597
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,gray
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,-1
Pond2Fish6_PondTime,55.405
Pond2Fish6_PondOutcome,48
Pond2Fish6_TotalOutcome,452
Pond2Fish6_TimeLeft,659.595
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.791
Pond2Fish7_PondTime,67.773
Pond2Fish7_PondOutcome,60
Pond2Fish7_TotalOutcome,464
Pond2Fish7_TimeLeft,647.227
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.099
Pond2Fish8_PondTime,82.141
Pond2Fish8_PondOutcome,72
Pond2Fish8_TotalOutcome,476
Pond2Fish8_TimeLeft,632.859
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.868
Pond2Fish9_PondTime,99.511
Pond2Fish9_PondOutcome,84
Pond2Fish9_TotalOutcome,488
Pond2Fish9_TimeLeft,615.489
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,0.823
Pond2Fish10_PondTime,121.881
Pond2Fish10_PondOutcome,96
Pond2Fish10_TotalOutcome,500
Pond2Fish10_TimeLeft,593.119
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,20
Pond2Fish11_CatchTime,0.953
Pond2Fish11_PondTime,154.249
Pond2Fish11_PondOutcome,108
Pond2Fish11_TotalOutcome,512
Pond2Fish11_TimeLeft,560.751
PondEnd_LastFish,11
FishN,12
Type,RD
GiveUpTime,53.458
PondTime,206.873
TimeLeft,507.624
PondOutcome,108
TotalOutcome,512
PondStart,PondStart
PondIntroTime,18.620824513491243
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.768
Pond10Fish1_PondTime,8.551
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,524
Pond10Fish1_TimeLeft,479.825
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.596
Pond10Fish2_PondTime,15.518
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,536
Pond10Fish2_TimeLeft,472.858
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,0.785
Pond10Fish3_PondTime,22.886
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,548
Pond10Fish3_TimeLeft,465.49
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,0.792
Pond10Fish4_PondTime,30.703
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,560
Pond10Fish4_TimeLeft,457.673
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.307
Pond10Fish5_PondTime,39.072
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,572
Pond10Fish5_TimeLeft,449.304
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.756
Pond10Fish6_PondTime,48.105
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,584
Pond10Fish6_TimeLeft,440.271
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.926
Pond10Fish7_PondTime,57.973
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,596
Pond10Fish7_TimeLeft,430.403
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,0.846
Pond10Fish8_PondTime,68.906
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,608
Pond10Fish8_TimeLeft,419.47
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.31
Pond10Fish9_PondTime,81.276
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,620
Pond10Fish9_TimeLeft,407.1
Type,RD
FishN,19
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,0.946
Pond10Fish10_PondTime,95.644
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,632
Pond10Fish10_TimeLeft,392.732
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,0.639
PondTime,112.532
TimeLeft,375.342
PondOutcome,120
TotalOutcome,632
PondStart,PondStart
PondIntroTime,10.702573233284056
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.904
Pond8Fish1_PondTime,9.267
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,642
Pond8Fish1_TimeLeft,354.747
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,0.906
Pond8Fish2_PondTime,17.086
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,652
Pond8Fish2_TimeLeft,346.928
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.91
Pond8Fish3_PondTime,25.452
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,662
Pond8Fish3_TimeLeft,338.562
PondEnd_LastFish,3
FishN,17
Type,RT
GiveUpTime,0.933
PondTime,25.501
TimeLeft,338.011
PondOutcome,30
TotalOutcome,662
PondStart,PondStart
PondIntroTime,15.244952430948615
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.93
Pond7Fish1_PondTime,8.269
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,672
Pond7Fish1_TimeLeft,313.874
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.042
Pond7Fish2_PondTime,14.919
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,682
Pond7Fish2_TimeLeft,307.224
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.459
Pond7Fish3_PondTime,21.903
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,692
Pond7Fish3_TimeLeft,300.24
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,golden
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.841
Pond7Fish4_PondTime,29.271
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,712
Pond7Fish4_TimeLeft,292.872
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.818
Pond7Fish5_PondTime,37.088
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,722
Pond7Fish5_TimeLeft,285.055
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.811
Pond7Fish6_PondTime,45.454
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,732
Pond7Fish6_TimeLeft,276.688
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.976
Pond7Fish7_PondTime,54.49
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,742
Pond7Fish7_TimeLeft,267.653
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.859
Pond7Fish8_PondTime,64.357
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,752
Pond7Fish8_TimeLeft,257.786
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,-1
Pond7Fish9_PondTime,75.358
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,752
Pond7Fish9_TimeLeft,246.785
