,5cd7cccadcabe8001d0413ac
Pond8Fish10_FishType,gray
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.489
Pond8Fish10_PondTime,72.208
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,376
Pond8Fish10_TimeLeft,817.205
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.183
Pond8Fish11_PondTime,82.082
Pond8Fish11_PondOutcome,122
Pond8Fish11_TotalOutcome,388
Pond8Fish11_TimeLeft,807.331
Type,RD
FishN,17
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.291
Pond8Fish12_PondTime,93.012
Pond8Fish12_PondOutcome,134
Pond8Fish12_TotalOutcome,400
Pond8Fish12_TimeLeft,796.401
Type,RD
FishN,17
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,1.413
Pond8Fish13_PondTime,105.376
Pond8Fish13_PondOutcome,146
Pond8Fish13_TotalOutcome,412
Pond8Fish13_TimeLeft,784.037
Type,RD
FishN,17
Fish,14
Pond8Fish14_FishType,blue
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.429
Pond8Fish14_PondTime,119.741
Pond8Fish14_PondOutcome,158
Pond8Fish14_TotalOutcome,424
Pond8Fish14_TimeLeft,769.672
Type,RD
FishN,17
Fish,15
Pond8Fish15_FishType,blue
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,1.301
Pond8Fish15_PondTime,137.104
Pond8Fish15_PondOutcome,170
Pond8Fish15_TotalOutcome,436
Pond8Fish15_TimeLeft,752.309
Type,RD
FishN,17
Fish,16
Pond8Fish16_FishType,blue
Pond8Fish16_FishLatency,15
Pond8Fish16_CatchTime,1.233
Pond8Fish16_PondTime,159.477
Pond8Fish16_PondOutcome,182
Pond8Fish16_TotalOutcome,448
Pond8Fish16_TimeLeft,729.936
PondEnd_LastFish,16
FishN,17
Type,RD
GiveUpTime,1.114
PondTime,160.022
TimeLeft,728.888
PondOutcome,182
TotalOutcome,448
PondStart,PondStart
PondIntroTime,16.481821448542178
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.433
Pond12Fish1_PondTime,9.74
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,459
Pond12Fish1_TimeLeft,702.048
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.702
Pond12Fish2_PondTime,18.116
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,470
Pond12Fish2_TimeLeft,693.672
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.562
Pond12Fish3_PondTime,27.145
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,481
Pond12Fish3_TimeLeft,684.643
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,1.417
Pond12Fish4_PondTime,37.026
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,492
Pond12Fish4_TimeLeft,674.762
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.115
Pond12Fish5_PondTime,47.963
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,503
Pond12Fish5_TimeLeft,663.825
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.329
Pond12Fish6_PondTime,60.329
Pond12Fish6_PondOutcome,66
