,5b684ef482d9db000118fc0a
Pond11Fish12_CatchTime,1.132
Pond11Fish12_PondTime,108.309
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,441
Pond11Fish12_TimeLeft,672.786
Type,N
FishN,14
Fish,13
Pond11Fish13_FishType,green
Pond11Fish13_FishLatency,12
Pond11Fish13_CatchTime,0.823
Pond11Fish13_PondTime,125.707
Pond11Fish13_PondOutcome,143
Pond11Fish13_TotalOutcome,452
Pond11Fish13_TimeLeft,655.388
Type,N
FishN,14
Fish,14
Pond11Fish14_FishType,green
Pond11Fish14_FishLatency,15
Pond11Fish14_CatchTime,1.15
Pond11Fish14_PondTime,148.113
Pond11Fish14_PondOutcome,154
Pond11Fish14_TotalOutcome,463
Pond11Fish14_TimeLeft,632.982
PondEnd_LastFish,14
FishN,14
Type,N
GiveUpTime,0.792
PondTime,148.269
TimeLeft,632.321
PondOutcome,154
TotalOutcome,463
PondStart,PondStart
PondIntroTime,17.8823197260499
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.02
Pond9Fish1_PondTime,9.311
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,473
Pond9Fish1_TimeLeft,604.497
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.714
Pond9Fish2_PondTime,17.186
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,483
Pond9Fish2_TimeLeft,596.622
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,0.897
Pond9Fish3_PondTime,25.574
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,493
Pond9Fish3_TimeLeft,588.234
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,golden
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.985
Pond9Fish4_PondTime,34.629
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,513
Pond9Fish4_TimeLeft,579.179
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.913
Pond9Fish5_PondTime,44.531
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,523
Pond9Fish5_TimeLeft,569.277
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,0.922
Pond9Fish6_PondTime,55.522
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,533
