,teresa
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.955
Pond5Fish6_PondTime,39.692
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,244
Pond5Fish6_TimeLeft,944.479
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.034
Pond5Fish7_PondTime,47.074
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,255
Pond5Fish7_TimeLeft,937.097
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.078
Pond5Fish8_PondTime,54.904
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,266
Pond5Fish8_TimeLeft,929.266
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.07
Pond5Fish9_PondTime,63.276
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,277
Pond5Fish9_TimeLeft,920.895
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.121
Pond5Fish10_PondTime,72.316
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,288
Pond5Fish10_TimeLeft,911.855
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.467
Pond5Fish11_PondTime,82.186
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,299
Pond5Fish11_TimeLeft,901.985
Type,N
FishN,12
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.245
Pond5Fish12_PondTime,93.129
Pond5Fish12_PondOutcome,132
Pond5Fish12_TotalOutcome,310
Pond5Fish12_TimeLeft,891.042
Type,N
FishN,12
Fish,13
Pond5Fish13_FishType,green
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,1.684
Pond5Fish13_PondTime,105.511
Pond5Fish13_PondOutcome,143
Pond5Fish13_TotalOutcome,321
Pond5Fish13_TimeLeft,878.66
Type,N
FishN,12
Fish,14
Pond5Fish14_FishType,green
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,-1
Pond5Fish14_PondTime,119.948
Pond5Fish14_PondOutcome,143
Pond5Fish14_TotalOutcome,321
Pond5Fish14_TimeLeft,864.223
Type,N
FishN,12
Fish,15
Pond5Fish15_FishType,green
Pond5Fish15_FishLatency,12
Pond5Fish15_CatchTime,-1
Pond5Fish15_PondTime,137.376
Pond5Fish15_PondOutcome,143
Pond5Fish15_TotalOutcome,321
Pond5Fish15_TimeLeft,846.795
Type,N
FishN,12
Fish,16
Pond5Fish16_FishType,green
Pond5Fish16_FishLatency,15
Pond5Fish16_CatchTime,-1
Pond5Fish16_PondTime,159.796
Pond5Fish16_PondOutcome,143
Pond5Fish16_TotalOutcome,321
Pond5Fish16_TimeLeft,824.375
Type,N
FishN,12
Fish,17
Pond5Fish17_FishType,green
Pond5Fish17_FishLatency,20
Pond5Fish17_CatchTime,1.025
Pond5Fish17_PondTime,192.172
Pond5Fish17_PondOutcome,154
Pond5Fish17_TotalOutcome,332
Pond5Fish17_TimeLeft,791.999
PondEnd_LastFish,17
FishN,12
Type,N
GiveUpTime,9.675
PondTime,201.075
TimeLeft,782.594
PondOutcome,154
TotalOutcome,332
PondStart,PondStart
PondIntroTime,15.400178697891533
PondEnd_LastFish,17
FishN,13
Type,RT
GiveUpTime,15.211
PondTime,0.995
TimeLeft,765.061
PondOutcome,0
TotalOutcome,332
PondStart,PondStart
PondIntroTime,12.440109034068882
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,1.147
Pond6Fish1_PondTime,9.283
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,342
Pond6Fish1_TimeLeft,742.72
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,1.43
Pond6Fish2_PondTime,17.123
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,352
Pond6Fish2_TimeLeft,734.881
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,1.284
Pond6Fish3_PondTime,25.506
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,362
Pond6Fish3_TimeLeft,726.498
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,1.28
Pond6Fish4_PondTime,34.555
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,372
Pond6Fish4_TimeLeft,717.448
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,1.239
Pond6Fish5_PondTime,44.426
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,382
Pond6Fish5_TimeLeft,707.578
Type,RT
