,5bbae55a6322c500015a2b5b
Pond10Fish8_CatchTime,1.421
Pond10Fish8_PondTime,68.98
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,220
Pond10Fish8_TimeLeft,991.261
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.854
Pond10Fish9_PondTime,81.511
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,230
Pond10Fish9_TimeLeft,978.73
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,1.445
Pond10Fish10_PondTime,95.883
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,240
Pond10Fish10_TimeLeft,964.358
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,0.905
PondTime,96.431
TimeLeft,963.306
PondOutcome,110
TotalOutcome,240
PondStart,PondStart
PondIntroTime,13.012052751146257
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.371
Pond7Fish1_PondTime,7.625
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,252
Pond7Fish1_TimeLeft,942.052
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.343
Pond7Fish2_PondTime,13.518
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,264
Pond7Fish2_TimeLeft,936.16
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.325
Pond7Fish3_PondTime,19.637
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,276
Pond7Fish3_TimeLeft,930.041
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.49
Pond7Fish4_PondTime,26.006
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,288
Pond7Fish4_TimeLeft,923.672
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.279
Pond7Fish5_PondTime,32.673
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,300
Pond7Fish5_TimeLeft,917.005
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,gray
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.753
Pond7Fish6_PondTime,39.725
Pond7Fish6_PondOutcome,62
Pond7Fish6_TotalOutcome,302
Pond7Fish6_TimeLeft,909.953
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.396
Pond7Fish7_PondTime,47.112
Pond7Fish7_PondOutcome,74
Pond7Fish7_TotalOutcome,314
Pond7Fish7_TimeLeft,902.566
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.217
Pond7Fish8_PondTime,54.932
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,326
Pond7Fish8_TimeLeft,894.746
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,1.152
Pond7Fish9_PondTime,63.316
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,338
Pond7Fish9_TimeLeft,886.362
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,1.258
Pond7Fish10_PondTime,72.344
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,350
Pond7Fish10_TimeLeft,877.334
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,6.666666666666667
Pond7Fish11_CatchTime,1.138
Pond7Fish11_PondTime,82.213
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,362
Pond7Fish11_TimeLeft,867.465
Type,RD
FishN,15
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,7.5
Pond7Fish12_CatchTime,1.359
Pond7Fish12_PondTime,93.162
Pond7Fish12_PondOutcome,134
Pond7Fish12_TotalOutcome,374
Pond7Fish12_TimeLeft,856.516
Type,RD
FishN,15
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,8.571428571428571
Pond7Fish13_CatchTime,1.262
Pond7Fish13_PondTime,105.53
Pond7Fish13_PondOutcome,146
Pond7Fish13_TotalOutcome,386
Pond7Fish13_TimeLeft,844.148
Type,RD
FishN,15
Fish,14
Pond7Fish14_FishType,gray
Pond7Fish14_FishLatency,10
Pond7Fish14_CatchTime,1.307
Pond7Fish14_PondTime,119.898
Pond7Fish14_PondOutcome,148
Pond7Fish14_TotalOutcome,388
Pond7Fish14_TimeLeft,829.78
PondEnd_LastFish,14
FishN,15
Type,RD
GiveUpTime,1.255
PondTime,120.667
TimeLeft,828.508
PondOutcome,148
TotalOutcome,388
PondStart,PondStart
PondIntroTime,15.127772043924779
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.341
Pond4Fish1_PondTime,8.289
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,398
Pond4Fish1_TimeLeft,804.474
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.282
Pond4Fish2_PondTime,14.957
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,408
Pond4Fish2_TimeLeft,797.806
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.664
Pond4Fish3_PondTime,21.935
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,418
Pond4Fish3_TimeLeft,790.827
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.131
Pond4Fish4_PondTime,29.304
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,428
Pond4Fish4_TimeLeft,783.459
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,1.265
Pond4Fish5_PondTime,37.146
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,438
Pond4Fish5_TimeLeft,775.617
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,1.438
Pond4Fish6_PondTime,45.505
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,448
Pond4Fish6_TimeLeft,767.258
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.59
Pond4Fish7_PondTime,54.54
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,458
Pond4Fish7_TimeLeft,758.223
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.369
Pond4Fish8_PondTime,64.409
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,468
Pond4Fish8_TimeLeft,748.354
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,1.627
Pond4Fish9_PondTime,75.345
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,478
Pond4Fish9_TimeLeft,737.418
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,golden
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,1.272
Pond4Fish10_PondTime,87.713
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,498
Pond4Fish10_TimeLeft,725.05
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,1.648
Pond4Fish11_PondTime,102.079
Pond4Fish11_PondOutcome,120
Pond4Fish11_TotalOutcome,508
Pond4Fish11_TimeLeft,710.684
Type,RT
FishN,16
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,12
Pond4Fish12_CatchTime,1.387
Pond4Fish12_PondTime,119.453
Pond4Fish12_PondOutcome,130
Pond4Fish12_TotalOutcome,518
Pond4Fish12_TimeLeft,693.31
Type,RT
FishN,16
Fish,13
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,15
Pond4Fish13_CatchTime,1.55
Pond4Fish13_PondTime,141.816
Pond4Fish13_PondOutcome,140
Pond4Fish13_TotalOutcome,528
Pond4Fish13_TimeLeft,670.947
PondEnd_LastFish,13
FishN,16
Type,RT
GiveUpTime,1.168
PondTime,142.734
TimeLeft,669.522
PondOutcome,140
TotalOutcome,528
PondStart,PondStart
PondIntroTime,10.251032751984894
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.144
Pond5Fish1_PondTime,8.291
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,540
Pond5Fish1_TimeLeft,650.354
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,gray
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.476
Pond5Fish2_PondTime,14.952
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,542
Pond5Fish2_TimeLeft,643.693
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.436
Pond5Fish3_PondTime,21.934
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,554
Pond5Fish3_TimeLeft,636.711
Type,RD
