,56a0e989b956b300060a43a1
Pond6Fish6_TotalOutcome,125
Pond6Fish6_TimeLeft,1071.668
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,1.428
Pond6Fish7_PondTime,54.683
Pond6Fish7_PondOutcome,66
Pond6Fish7_TotalOutcome,136
Pond6Fish7_TimeLeft,1062.591
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,1.723
Pond6Fish8_PondTime,64.592
Pond6Fish8_PondOutcome,77
Pond6Fish8_TotalOutcome,147
Pond6Fish8_TimeLeft,1052.682
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,1.13
Pond6Fish9_PondTime,75.562
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,158
Pond6Fish9_TimeLeft,1041.712
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,1.374
Pond6Fish10_PondTime,87.92
Pond6Fish10_PondOutcome,99
Pond6Fish10_TotalOutcome,169
Pond6Fish10_TimeLeft,1029.354
Type,N
FishN,19
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,10
Pond6Fish11_CatchTime,1.503
Pond6Fish11_PondTime,102.279
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,180
Pond6Fish11_TimeLeft,1014.995
PondEnd_LastFish,11
FishN,19
Type,N
GiveUpTime,1.206
PondTime,103.194
TimeLeft,1013.577
PondOutcome,110
TotalOutcome,180
PondStart,PondStart
PondIntroTime,18.70658023748547
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.388
Pond9Fish1_PondTime,7.63
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,191
Pond9Fish1_TimeLeft,986.624
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.274
Pond9Fish2_PondTime,13.534
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,202
Pond9Fish2_TimeLeft,980.72
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.518
Pond9Fish3_PondTime,19.665
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,213
Pond9Fish3_TimeLeft,974.589
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.217
Pond9Fish4_PondTime,26.05
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,224
Pond9Fish4_TimeLeft,968.204
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.11
Pond9Fish5_PondTime,32.713
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,235
Pond9Fish5_TimeLeft,961.541
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.573
Pond9Fish6_PondTime,39.715
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,246
Pond9Fish6_TimeLeft,954.538
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.234
Pond9Fish7_PondTime,47.116
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,257
Pond9Fish7_TimeLeft,947.137
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.617
Pond9Fish8_PondTime,54.963
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,268
Pond9Fish8_TimeLeft,939.291
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.212
Pond9Fish9_PondTime,63.344
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,279
Pond9Fish9_TimeLeft,930.91
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.357
Pond9Fish10_PondTime,72.411
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,290
Pond9Fish10_TimeLeft,921.843
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,1.152
PondTime,73.13
TimeLeft,920.619
PondOutcome,110
TotalOutcome,290
PondStart,PondStart
PondIntroTime,10.359755544923246
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.358
Pond3Fish1_PondTime,8.556
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,302
Pond3Fish1_TimeLeft,901.088
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,1.24
Pond3Fish2_PondTime,15.549
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,314
Pond3Fish2_TimeLeft,894.095
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.397
Pond3Fish3_PondTime,22.926
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,326
Pond3Fish3_TimeLeft,886.718
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.039
Pond3Fish4_PondTime,30.762
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,338
Pond3Fish4_TimeLeft,878.882
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,1.456
Pond3Fish5_PondTime,39.165
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,350
Pond3Fish5_TimeLeft,870.479
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.335
Pond3Fish6_PondTime,48.214
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,352
Pond3Fish6_TimeLeft,861.43
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,1.146
Pond3Fish7_PondTime,58.113
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,364
Pond3Fish7_TimeLeft,851.531
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.355
Pond3Fish8_PondTime,69.079
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,376
Pond3Fish8_TimeLeft,840.565
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.103
Pond3Fish9_PondTime,81.46
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,388
Pond3Fish9_TimeLeft,828.184
Type,RD
FishN,19
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,1.088
Pond3Fish10_PondTime,95.861
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,400
Pond3Fish10_TimeLeft,813.783
Type,RD
FishN,19
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,12
Pond3Fish11_CatchTime,1.303
Pond3Fish11_PondTime,113.26
Pond3Fish11_PondOutcome,122
Pond3Fish11_TotalOutcome,412
Pond3Fish11_TimeLeft,796.384
PondEnd_LastFish,11
FishN,19
Type,RD
GiveUpTime,1.016
PondTime,113.79
TimeLeft,795.35
PondOutcome,122
TotalOutcome,412
PondStart,PondStart
PondIntroTime,15.058454547543079
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.18
Pond1Fish1_PondTime,8.584
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,423
Pond1Fish1_TimeLeft,771.086
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,1.353
Pond1Fish2_PondTime,15.601
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,434
Pond1Fish2_TimeLeft,764.069
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.998
Pond1Fish3_PondTime,23.301
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,445
Pond1Fish3_TimeLeft,756.37
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.204
Pond1Fish4_PondTime,31.128
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,456
Pond1Fish4_TimeLeft,748.543
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.235
Pond1Fish5_PondTime,39.511
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,467
Pond1Fish5_TimeLeft,740.16
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.699
Pond1Fish6_PondTime,48.565
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,478
Pond1Fish6_TimeLeft,731.106
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,1.356
PondTime,49.819
TimeLeft,729.349
PondOutcome,66
TotalOutcome,478
PondStart,PondStart
PondIntroTime,16.138350605033338
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.962
Pond10Fish1_PondTime,9.75
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,490
Pond10Fish1_TimeLeft,702.843
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.269
Pond10Fish2_PondTime,18.149
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,502
Pond10Fish2_TimeLeft,694.443
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,-1
Pond10Fish3_PondTime,27.264
Pond10Fish3_PondOutcome,24
Pond10Fish3_TotalOutcome,502
Pond10Fish3_TimeLeft,685.329
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.704
Pond10Fish4_PondTime,37.165
Pond10Fish4_PondOutcome,36
Pond10Fish4_TotalOutcome,514
Pond10Fish4_TimeLeft,675.428
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.599
Pond10Fish5_PondTime,48.112
Pond10Fish5_PondOutcome,48
Pond10Fish5_TotalOutcome,526
Pond10Fish5_TimeLeft,664.481
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.242
Pond10Fish6_PondTime,60.513
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,538
Pond10Fish6_TimeLeft,652.08
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.293
Pond10Fish7_PondTime,74.912
Pond10Fish7_PondOutcome,72
Pond10Fish7_TotalOutcome,550
Pond10Fish7_TimeLeft,637.681
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.2
Pond10Fish8_PondTime,92.268
Pond10Fish8_PondOutcome,84
Pond10Fish8_TotalOutcome,562
Pond10Fish8_TimeLeft,620.325
PondEnd_LastFish,8
FishN,19
Type,RD
GiveUpTime,0.671
PondTime,92.349
TimeLeft,619.74
PondOutcome,84
TotalOutcome,562
PondStart,PondStart
PondIntroTime,16.613657637499273
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.38
Pond8Fish1_PondTime,7.824
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,573
Pond8Fish1_TimeLeft,594.674
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.507
Pond8Fish2_PondTime,13.941
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,584
Pond8Fish2_TimeLeft,588.556
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.443
Pond8Fish3_PondTime,20.329
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,595
Pond8Fish3_TimeLeft,582.169
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.225
Pond8Fish4_PondTime,26.997
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,606
Pond8Fish4_TimeLeft,575.501
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.164
Pond8Fish5_PondTime,33.994
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,617
Pond8Fish5_TimeLeft,568.504
Type,N
FishN,17
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.19
Pond8Fish6_PondTime,41.36
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,628
Pond8Fish6_TimeLeft,561.138
Type,N
FishN,17
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.692
Pond8Fish7_PondTime,49.196
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,639
Pond8Fish7_TimeLeft,553.302
Type,N
FishN,17
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.201
Pond8Fish8_PondTime,57.594
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,650
Pond8Fish8_TimeLeft,544.903
Type,N
FishN,17
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.188
Pond8Fish9_PondTime,66.645
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,661
Pond8Fish9_TimeLeft,535.853
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,1.202
PondTime,67.243
TimeLeft,534.75
PondOutcome,99
TotalOutcome,661
PondStart,PondStart
PondIntroTime,16.73933189129457
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.168
Pond2Fish1_PondTime,7.635
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,671
Pond2Fish1_TimeLeft,509.755
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,0.946
Pond2Fish2_PondTime,13.544
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,681
Pond2Fish2_TimeLeft,503.847
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.611
Pond2Fish3_PondTime,19.683
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,691
Pond2Fish3_TimeLeft,497.708
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.077
Pond2Fish4_PondTime,26.066
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,701
Pond2Fish4_TimeLeft,491.325
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.289
Pond2Fish5_PondTime,32.731
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,711
Pond2Fish5_TimeLeft,484.66
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.015
Pond2Fish6_PondTime,39.732
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,721
Pond2Fish6_TimeLeft,477.659
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.107
Pond2Fish7_PondTime,47.113
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,731
Pond2Fish7_TimeLeft,470.278
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.056
Pond2Fish8_PondTime,54.966
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,741
Pond2Fish8_TimeLeft,462.425
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,0.926
PondTime,55.153
TimeLeft,461.734
PondOutcome,80
TotalOutcome,741
PondStart,PondStart
PondIntroTime,10.454901850316674
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.456
Pond11Fish1_PondTime,9.75
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,751
Pond11Fish1_TimeLeft,440.913
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,golden
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.007
Pond11Fish2_PondTime,18.153
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,771
Pond11Fish2_TimeLeft,432.51
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.141
Pond11Fish3_PondTime,27.199
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,781
Pond11Fish3_TimeLeft,423.464
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.838
Pond11Fish4_PondTime,37.214
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,791
Pond11Fish4_TimeLeft,413.449
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.265
Pond11Fish5_PondTime,48.141
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,801
Pond11Fish5_TimeLeft,402.521
PondEnd_LastFish,5
FishN,14
Type,RT
GiveUpTime,0.831
PondTime,48.445
TimeLeft,401.712
PondOutcome,60
TotalOutcome,801
PondStart,PondStart
PondIntroTime,10.08499865187332
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,-1
Pond12Fish1_PondTime,9.35
Pond12Fish1_PondOutcome,0
Pond12Fish1_TotalOutcome,801
Pond12Fish1_TimeLeft,381.65
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.225
Pond12Fish2_PondTime,17.201
Pond12Fish2_PondOutcome,12
Pond12Fish2_TotalOutcome,813
Pond12Fish2_TimeLeft,373.8
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.07
Pond12Fish3_PondTime,25.599
Pond12Fish3_PondOutcome,24
Pond12Fish3_TotalOutcome,825
Pond12Fish3_TimeLeft,365.402
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.151
Pond12Fish4_PondTime,34.652
Pond12Fish4_PondOutcome,36
Pond12Fish4_TotalOutcome,837
Pond12Fish4_TimeLeft,356.349
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.316
Pond12Fish5_PondTime,44.514
Pond12Fish5_PondOutcome,48
Pond12Fish5_TotalOutcome,849
Pond12Fish5_TimeLeft,346.487
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,gray
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.568
Pond12Fish6_PondTime,55.48
Pond12Fish6_PondOutcome,50
Pond12Fish6_TotalOutcome,851
Pond12Fish6_TimeLeft,335.521
Type,RD
FishN,13
