,5dc84bb688f2805cb5b23ee5
Pond1Fish8_TotalOutcome,422
Pond1Fish8_TimeLeft,759.48
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,0.98
Pond1Fish9_PondTime,70.487
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,432
Pond1Fish9_TimeLeft,749.622
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,1.661
Pond1Fish10_PondTime,81.418
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,442
Pond1Fish10_TimeLeft,738.69
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,0.957
Pond1Fish11_PondTime,93.78
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,452
Pond1Fish11_TimeLeft,726.329
Type,RT
FishN,19
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,1.105
Pond1Fish12_PondTime,108.148
Pond1Fish12_PondOutcome,130
Pond1Fish12_TotalOutcome,462
Pond1Fish12_TimeLeft,711.961
Type,RT
FishN,19
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,12
Pond1Fish13_CatchTime,1.047
Pond1Fish13_PondTime,125.508
Pond1Fish13_PondOutcome,140
Pond1Fish13_TotalOutcome,472
Pond1Fish13_TimeLeft,694.601
Type,RT
FishN,19
Fish,14
Pond1Fish14_FishType,purple
Pond1Fish14_FishLatency,15
Pond1Fish14_CatchTime,1.039
Pond1Fish14_PondTime,147.865
Pond1Fish14_PondOutcome,150
Pond1Fish14_TotalOutcome,482
Pond1Fish14_TimeLeft,672.244
Type,RT
FishN,19
Fish,15
Pond1Fish15_FishType,golden
Pond1Fish15_FishLatency,20
Pond1Fish15_CatchTime,0.925
Pond1Fish15_PondTime,180.226
Pond1Fish15_PondOutcome,170
Pond1Fish15_TotalOutcome,502
Pond1Fish15_TimeLeft,639.883
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,54.33
PondTime,233.694
TimeLeft,585.912
PondOutcome,170
TotalOutcome,502
PondStart,PondStart
PondIntroTime,19.426266099326313
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.906
Pond11Fish1_PondTime,8.017
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,512
Pond11Fish1_TimeLeft,557.861
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.664
Pond11Fish2_PondTime,14.382
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,522
Pond11Fish2_TimeLeft,551.496
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.825
Pond11Fish3_PondTime,21.034
