,58c84d506d1c600001a09319
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.218
Pond3Fish6_PondTime,48.123
Pond3Fish6_PondOutcome,90
Pond3Fish6_TotalOutcome,374
Pond3Fish6_TimeLeft,837.978
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,0.965
Pond3Fish7_PondTime,57.989
Pond3Fish7_PondOutcome,100
Pond3Fish7_TotalOutcome,384
Pond3Fish7_TimeLeft,828.112
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.207
Pond3Fish8_PondTime,68.924
Pond3Fish8_PondOutcome,110
Pond3Fish8_TotalOutcome,394
Pond3Fish8_TimeLeft,817.177
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.396
Pond3Fish9_PondTime,81.291
Pond3Fish9_PondOutcome,120
Pond3Fish9_TotalOutcome,404
Pond3Fish9_TimeLeft,804.81
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,1.217
Pond3Fish10_PondTime,95.659
Pond3Fish10_PondOutcome,130
Pond3Fish10_TotalOutcome,414
Pond3Fish10_TimeLeft,790.442
Type,RT
FishN,19
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,12
Pond3Fish11_CatchTime,0.798
Pond3Fish11_PondTime,113.026
Pond3Fish11_PondOutcome,140
Pond3Fish11_TotalOutcome,424
Pond3Fish11_TimeLeft,773.075
PondEnd_LastFish,11
FishN,19
Type,RT
GiveUpTime,18.636
PondTime,130.659
TimeLeft,754.938
PondOutcome,140
TotalOutcome,424
PondStart,PondStart
PondIntroTime,19.76981435669586
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.32
Pond10Fish1_PondTime,7.803
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,434
Pond10Fish1_TimeLeft,726.739
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,0.882
Pond10Fish2_PondTime,13.92
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,444
Pond10Fish2_TimeLeft,720.622
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.103
Pond10Fish3_PondTime,20.289
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,454
Pond10Fish3_TimeLeft,714.253
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.07
Pond10Fish4_PondTime,26.938
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,464
Pond10Fish4_TimeLeft,707.604
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,1.057
Pond10Fish5_PondTime,33.921
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,474
Pond10Fish5_TimeLeft,700.621
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,1.21
Pond10Fish6_PondTime,41.288
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,484
Pond10Fish6_TimeLeft,693.254
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.307
Pond10Fish7_PondTime,49.107
Pond10Fish7_PondOutcome,70
