,5c345ebad4f77a0001a91ec0
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,1.18
Pond7Fish8_PondTime,57.609
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,234
Pond7Fish8_TimeLeft,1000.146
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.756
Pond7Fish9_PondTime,66.647
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,244
Pond7Fish9_TimeLeft,991.108
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,1.058
Pond7Fish10_PondTime,76.511
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,254
Pond7Fish10_TimeLeft,981.244
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,0.875
PondTime,76.651
TimeLeft,980.601
PondOutcome,100
TotalOutcome,254
PondStart,PondStart
PondIntroTime,13.639787212014198
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,1.161
Pond11Fish1_PondTime,7.613
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,266
Pond11Fish1_TimeLeft,958.725
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,1.122
Pond11Fish2_PondTime,13.548
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,278
Pond11Fish2_TimeLeft,952.79
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,0.83
Pond11Fish3_PondTime,19.678
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,290
Pond11Fish3_TimeLeft,946.659
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,0.825
Pond11Fish4_PondTime,26.071
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,302
Pond11Fish4_TimeLeft,940.267
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,0.83
Pond11Fish5_PondTime,32.775
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,314
Pond11Fish5_TimeLeft,933.563
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,1.01
Pond11Fish6_PondTime,39.767
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,326
Pond11Fish6_TimeLeft,926.571
PondEnd_LastFish,6
FishN,14
Type,RD
GiveUpTime,1.054
PondTime,40.035
TimeLeft,925.798
PondOutcome,72
TotalOutcome,326
PondStart,PondStart
PondIntroTime,14.559100028127432
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.052
Pond8Fish1_PondTime,8.047
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,337
Pond8Fish1_TimeLeft,902.568
PondEnd_LastFish,1
FishN,17
Type,N
GiveUpTime,1.673
PondTime,8.974
TimeLeft,901.137
PondOutcome,11
TotalOutcome,337
PondStart,PondStart
PondIntroTime,16.69149934547022
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.194
Pond9Fish1_PondTime,8.296
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,349
Pond9Fish1_TimeLeft,875.528
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.264
Pond9Fish2_PondTime,14.984
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,361
Pond9Fish2_TimeLeft,868.84
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.012
Pond9Fish3_PondTime,21.979
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,373
Pond9Fish3_TimeLeft,861.844
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.194
Pond9Fish4_PondTime,29.371
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,385
Pond9Fish4_TimeLeft,854.453
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.186
Pond9Fish5_PondTime,37.21
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,397
Pond9Fish5_TimeLeft,846.614
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,0.959
Pond9Fish6_PondTime,45.601
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,409
Pond9Fish6_TimeLeft,838.223
PondEnd_LastFish,6
FishN,16
Type,RD
GiveUpTime,1.322
