,5cfa36435c147c0019d33963
Pond7Fish5_TotalOutcome,273
Pond7Fish5_TimeLeft,933.649
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,1.542
Pond7Fish6_PondTime,60.425
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,284
Pond7Fish6_TimeLeft,921.275
PondEnd_LastFish,6
FishN,15
Type,N
GiveUpTime,2.087
PondTime,62.264
TimeLeft,918.934
PondOutcome,66
TotalOutcome,284
PondStart,PondStart
PondIntroTime,10.340464389882982
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.205
Pond12Fish1_PondTime,8.573
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,296
Pond12Fish1_TimeLeft,899.37
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.462
Pond12Fish2_PondTime,15.568
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,308
Pond12Fish2_TimeLeft,892.375
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.884
Pond12Fish3_PondTime,22.955
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,320
Pond12Fish3_TimeLeft,884.989
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.161
Pond12Fish4_PondTime,30.778
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,332
Pond12Fish4_TimeLeft,877.166
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.271
Pond12Fish5_PondTime,39.167
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,344
Pond12Fish5_TimeLeft,868.777
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.874
Pond12Fish6_PondTime,48.226
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,356
Pond12Fish6_TimeLeft,859.718
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.013
Pond12Fish7_PondTime,58.084
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,368
Pond12Fish7_TimeLeft,849.86
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,gray
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.028
Pond12Fish8_PondTime,69.045
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,370
Pond12Fish8_TimeLeft,838.899
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.013
Pond12Fish9_PondTime,81.409
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,382
Pond12Fish9_TimeLeft,826.535
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,11.57
PondTime,92.191
TimeLeft,815.245
PondOutcome,98
TotalOutcome,382
PondStart,PondStart
PondIntroTime,19.932156049180776
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,gray
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.48
Pond4Fish1_PondTime,9.726
Pond4Fish1_PondOutcome,2
Pond4Fish1_TotalOutcome,384
Pond4Fish1_TimeLeft,784.955
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,1.148
Pond4Fish2_PondTime,18.104
Pond4Fish2_PondOutcome,14
Pond4Fish2_TotalOutcome,396
Pond4Fish2_TimeLeft,776.576
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,1.136
Pond4Fish3_PondTime,27.145
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,408
Pond4Fish3_TimeLeft,767.536
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.87
Pond4Fish4_PondTime,37.036
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,420
Pond4Fish4_TimeLeft,757.645
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,1.246
Pond4Fish5_PondTime,48
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,432
Pond4Fish5_TimeLeft,746.681
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.131
Pond4Fish6_PondTime,60.377
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,444
Pond4Fish6_TimeLeft,734.304
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.061
Pond4Fish7_PondTime,74.736
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,456
Pond4Fish7_TimeLeft,719.944
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.536
Pond4Fish8_PondTime,92.116
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,468
Pond4Fish8_TimeLeft,702.565
Type,RD
FishN,16
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,1.198
Pond4Fish9_PondTime,114.488
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,480
Pond4Fish9_TimeLeft,680.193
PondEnd_LastFish,9
FishN,16
Type,RD
GiveUpTime,2.008
PondTime,115.897
TimeLeft,678.281
PondOutcome,98
TotalOutcome,480
PondStart,PondStart
PondIntroTime,10.606349604204297
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.078
Pond2Fish1_PondTime,8.274
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,490
Pond2Fish1_TimeLeft,658.744
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.998
Pond2Fish2_PondTime,14.95
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,500
Pond2Fish2_TimeLeft,652.068
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.791
Pond2Fish3_PondTime,21.94
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,510
Pond2Fish3_TimeLeft,645.078
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.243
Pond2Fish4_PondTime,29.314
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,520
Pond2Fish4_TimeLeft,637.704
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.293
Pond2Fish5_PondTime,37.139
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,530
Pond2Fish5_TimeLeft,629.879
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.272
Pond2Fish6_PondTime,45.517
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,540
Pond2Fish6_TimeLeft,621.5
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6
