,5d829551e3b1b6000118eb90
PondStart,PondStart
PondIntroTime,19.10748021909967
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.966
Pond1Fish1_PondTime,9.313
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,687
Pond1Fish1_TimeLeft,465.739
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.178
Pond1Fish2_PondTime,17.19
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,698
Pond1Fish2_TimeLeft,457.863
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.883
Pond1Fish3_PondTime,25.581
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,709
Pond1Fish3_TimeLeft,449.472
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.001
Pond1Fish4_PondTime,34.628
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,720
Pond1Fish4_TimeLeft,440.425
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.943
Pond1Fish5_PondTime,44.519
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,731
Pond1Fish5_TimeLeft,430.534
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.992
Pond1Fish6_PondTime,55.504
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,742
Pond1Fish6_TimeLeft,419.549
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.064
Pond1Fish7_PondTime,67.895
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,753
Pond1Fish7_TimeLeft,407.158
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.978
Pond1Fish8_PondTime,82.272
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,764
Pond1Fish8_TimeLeft,392.781
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.042
Pond1Fish9_PondTime,99.663
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,775
Pond1Fish9_TimeLeft,375.39
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,1.069
Pond1Fish10_PondTime,122.056
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,786
Pond1Fish10_TimeLeft,352.997
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,2.125
PondTime,123.452
TimeLeft,351.095
PondOutcome,110
TotalOutcome,786
PondStart,PondStart
PondIntroTime,10.966176521033049
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.816
Pond2Fish1_PondTime,7.839
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,798
Pond2Fish1_TimeLeft,331.652
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.738
Pond2Fish2_PondTime,13.98
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,810
Pond2Fish2_TimeLeft,325.511
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.714
Pond2Fish3_PondTime,20.381
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,822
Pond2Fish3_TimeLeft,319.109
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.846
Pond2Fish4_PondTime,27.075
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,834
Pond2Fish4_TimeLeft,312.416
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,0.806
Pond2Fish5_PondTime,34.091
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,846
Pond2Fish5_TimeLeft,305.4
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,0.92
Pond2Fish6_PondTime,41.481
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,858
Pond2Fish6_TimeLeft,298.009
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.013
Pond2Fish7_PondTime,49.33
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,870
Pond2Fish7_TimeLeft,290.161
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.814
Pond2Fish8_PondTime,57.728
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,882
Pond2Fish8_TimeLeft,281.763
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,0.78
Pond2Fish9_PondTime,66.791
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,894
Pond2Fish9_TimeLeft,272.7
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.001
Pond2Fish10_PondTime,76.683
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,906
Pond2Fish10_TimeLeft,262.808
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,1.019
Pond2Fish11_PondTime,87.667
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,918
Pond2Fish11_TimeLeft,251.824
Type,RD
FishN,12
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,0.938
Pond2Fish12_PondTime,100.075
Pond2Fish12_PondOutcome,144
