,5d829551e3b1b6000118eb90
Pond2Fish12_TotalOutcome,930
Pond2Fish12_TimeLeft,239.416
Type,RD
FishN,12
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,0.914
Pond2Fish13_PondTime,114.482
Pond2Fish13_PondOutcome,156
Pond2Fish13_TotalOutcome,942
Pond2Fish13_TimeLeft,225.009
Type,RD
FishN,12
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,12
Pond2Fish14_CatchTime,0.867
Pond2Fish14_PondTime,131.874
Pond2Fish14_PondOutcome,168
Pond2Fish14_TotalOutcome,954
Pond2Fish14_TimeLeft,207.617
Type,RD
FishN,12
Fish,15
Pond2Fish15_FishType,blue
Pond2Fish15_FishLatency,15
Pond2Fish15_CatchTime,1.66
Pond2Fish15_PondTime,154.266
Pond2Fish15_PondOutcome,180
Pond2Fish15_TotalOutcome,966
Pond2Fish15_TimeLeft,185.225
PondEnd_LastFish,15
FishN,12
Type,RD
GiveUpTime,2.486
PondTime,156.611
TimeLeft,182.369
PondOutcome,180
TotalOutcome,966
PondStart,PondStart
PondIntroTime,18.770797052420676
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.963
Pond12Fish1_PondTime,7.837
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,978
Pond12Fish1_TimeLeft,155.146
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.893
Pond12Fish2_PondTime,13.974
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,990
Pond12Fish2_TimeLeft,149.009
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.03
Pond12Fish3_PondTime,20.365
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,1002
Pond12Fish3_TimeLeft,142.618
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.812
Pond12Fish4_PondTime,27.052
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,1014
Pond12Fish4_TimeLeft,135.93
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,0.755
Pond12Fish5_PondTime,34.068
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,1026
Pond12Fish5_TimeLeft,128.914
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,0.988
Pond12Fish6_PondTime,41.459
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,1038
Pond12Fish6_TimeLeft,121.524
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.976
Pond12Fish7_PondTime,49.335
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,1050
Pond12Fish7_TimeLeft,113.648
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.752
Pond12Fish8_PondTime,57.726
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,1062
Pond12Fish8_TimeLeft,105.256
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,0.855
Pond12Fish9_PondTime,66.807
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,1074
Pond12Fish9_TimeLeft,96.176
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,1.058
Pond12Fish10_PondTime,76.696
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,1086
Pond12Fish10_TimeLeft,86.287
Type,RD
FishN,13
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,0.999
Pond12Fish11_PondTime,87.669
Pond12Fish11_PondOutcome,132
Pond12Fish11_TotalOutcome,1098
Pond12Fish11_TimeLeft,75.314
Type,RD
FishN,13
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,8.571428571428571
Pond12Fish12_CatchTime,1.102
Pond12Fish12_PondTime,100.061
Pond12Fish12_PondOutcome,144
Pond12Fish12_TotalOutcome,1110
Pond12Fish12_TimeLeft,62.922
Type,RD
FishN,13
Fish,13
Pond12Fish13_FishType,gray
Pond12Fish13_FishLatency,10
Pond12Fish13_CatchTime,1.078
Pond12Fish13_PondTime,114.462
Pond12Fish13_PondOutcome,146
Pond12Fish13_TotalOutcome,1112
Pond12Fish13_TimeLeft,48.521
Type,RD
FishN,13
Fish,14
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,12
Pond12Fish14_CatchTime,0.976
Pond12Fish14_PondTime,131.859
Pond12Fish14_PondOutcome,158
Pond12Fish14_TotalOutcome,1124
Pond12Fish14_TimeLeft,31.123
Type,RD
FishN,13
Fish,15
Pond12Fish15_FishType,gray
Pond12Fish15_FishLatency,15
Pond12Fish15_CatchTime,1.057
Pond12Fish15_PondTime,154.237
Pond12Fish15_PondOutcome,160
Pond12Fish15_TotalOutcome,1126
Pond12Fish15_TimeLeft,8.746
