,5829c320c297cc0001515a37
Pond5Fish9_PondTime,88.997
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,430
Pond5Fish9_TimeLeft,675.949
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,0.849
Pond5Fish10_PondTime,106.363
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,442
Pond5Fish10_TimeLeft,658.583
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,0.894
PondTime,128.554
TimeLeft,635.891
PondOutcome,110
TotalOutcome,442
PondStart,PondStart
PondIntroTime,11.033324429299682
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.017
Pond2Fish1_PondTime,9.266
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,452
Pond2Fish1_TimeLeft,614.97
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.809
Pond2Fish2_PondTime,17.085
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,462
Pond2Fish2_TimeLeft,607.151
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.721
Pond2Fish3_PondTime,25.451
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,472
Pond2Fish3_TimeLeft,598.785
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.703
Pond2Fish4_PondTime,34.483
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,482
Pond2Fish4_TimeLeft,589.753
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,golden
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.864
Pond2Fish5_PondTime,44.349
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,502
Pond2Fish5_TimeLeft,579.887
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.83
Pond2Fish6_PondTime,55.28
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,512
Pond2Fish6_TimeLeft,568.956
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.697
Pond2Fish7_PondTime,67.647
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,522
Pond2Fish7_TimeLeft,556.589
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.891
Pond2Fish8_PondTime,82.013
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,532
Pond2Fish8_TimeLeft,542.223
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.654
Pond2Fish9_PondTime,99.379
Pond2Fish9_PondOutcome,100
Pond2Fish9_TotalOutcome,542
Pond2Fish9_TimeLeft,524.857
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,1.121
Pond2Fish10_PondTime,121.745
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,552
Pond2Fish10_TimeLeft,502.491
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,2.247
PondTime,123.324
TimeLeft,500.41
PondOutcome,110
TotalOutcome,552
PondStart,PondStart
PondIntroTime,13.113634733017534
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.211
Pond8Fish1_PondTime,7.8
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,562
Pond8Fish1_TimeLeft,478.876
