,5daccba5ad1260001762c25b
Pond7Fish2_TimeLeft,596.024
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.901
Pond7Fish3_PondTime,21.942
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,588
Pond7Fish3_TimeLeft,589.038
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.254
Pond7Fish4_PondTime,29.311
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,598
Pond7Fish4_TimeLeft,581.669
PondEnd_LastFish,4
FishN,15
Type,RT
GiveUpTime,0.989
PondTime,37.16
TimeLeft,573.317
PondOutcome,50
TotalOutcome,598
PondStart,PondStart
PondIntroTime,14.912811093963683
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.856
Pond1Fish1_PondTime,7.654
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,610
Pond1Fish1_TimeLeft,550.119
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.998
Pond1Fish2_PondTime,13.545
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,622
Pond1Fish2_TimeLeft,544.229
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1.525
Pond1Fish3_PondTime,19.702
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,634
Pond1Fish3_TimeLeft,538.071
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.523
Pond1Fish4_PondTime,26.1
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,646
Pond1Fish4_TimeLeft,531.674
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,2.018
Pond1Fish5_PondTime,32.814
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,658
Pond1Fish5_TimeLeft,524.96
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.203
Pond1Fish6_PondTime,39.8
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,670
Pond1Fish6_TimeLeft,517.974
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.979
Pond1Fish7_PondTime,47.168
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,682
Pond1Fish7_TimeLeft,510.606
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.894
Pond1Fish8_PondTime,55.052
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,694
Pond1Fish8_TimeLeft,502.722
PondEnd_LastFish,8
FishN,19
Type,RD
GiveUpTime,0.766
PondTime,63.392
TimeLeft,493.876
PondOutcome,96
TotalOutcome,694
PondStart,PondStart
PondIntroTime,12.829676016699523
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,0.9
Pond10Fish1_PondTime,7.646
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,704
Pond10Fish1_TimeLeft,472.765
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,golden
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.208
Pond10Fish2_PondTime,13.585
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,724
Pond10Fish2_TimeLeft,466.826
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.021
Pond10Fish3_PondTime,19.699
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,734
Pond10Fish3_TimeLeft,460.711
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.808
Pond10Fish4_PondTime,26.214
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,744
Pond10Fish4_TimeLeft,454.197
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.551
Pond10Fish5_PondTime,32.862
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,754
Pond10Fish5_TimeLeft,447.548
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.812
Pond10Fish6_PondTime,39.961
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,764
Pond10Fish6_TimeLeft,440.45
PondEnd_LastFish,6
FishN,19
Type,RT
GiveUpTime,0.636
PondTime,46.864
TimeLeft,433.041
PondOutcome,70
TotalOutcome,764
PondStart,PondStart
PondIntroTime,15.515969765838236
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,0.844
Pond3Fish1_PondTime,8.318
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,776
Pond3Fish1_TimeLeft,408.583
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.918
Pond3Fish2_PondTime,14.968
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,788
Pond3Fish2_TimeLeft,401.933
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.997
Pond3Fish3_PondTime,21.956
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,800
Pond3Fish3_TimeLeft,394.945
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.729
Pond3Fish4_PondTime,29.333
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,812
Pond3Fish4_TimeLeft,387.568
PondEnd_LastFish,4
FishN,19
Type,RD
GiveUpTime,0.601
PondTime,36.845
TimeLeft,379.553
PondOutcome,48
TotalOutcome,812
PondStart,PondStart
PondIntroTime,12.350147902034223
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.008
Pond11Fish1_PondTime,9.734
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,822
Pond11Fish1_TimeLeft,356.838
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.023
Pond11Fish2_PondTime,18.099
Pond11Fish2_PondOutcome,20
