,5df3e85fdcd3e32d23631191
Pond9Fish10_TimeLeft,673.631
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,-1
Pond9Fish11_PondTime,82.179
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,548
Pond9Fish11_TimeLeft,663.711
Type,N
FishN,16
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.091
Pond9Fish12_PondTime,93.145
Pond9Fish12_PondOutcome,121
Pond9Fish12_TotalOutcome,559
Pond9Fish12_TimeLeft,652.745
Type,N
FishN,16
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.174
Pond9Fish13_PondTime,105.514
Pond9Fish13_PondOutcome,132
Pond9Fish13_TotalOutcome,570
Pond9Fish13_TimeLeft,640.376
Type,N
FishN,16
Fish,14
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.156
Pond9Fish14_PondTime,119.872
Pond9Fish14_PondOutcome,143
Pond9Fish14_TotalOutcome,581
Pond9Fish14_TimeLeft,626.018
Type,N
FishN,16
Fish,15
Pond9Fish15_FishType,green
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.412
Pond9Fish15_PondTime,137.238
Pond9Fish15_PondOutcome,154
Pond9Fish15_TotalOutcome,592
Pond9Fish15_TimeLeft,608.652
PondEnd_LastFish,15
FishN,16
Type,N
GiveUpTime,19.431
PondTime,156.295
TimeLeft,589.088
PondOutcome,154
TotalOutcome,592
PondStart,PondStart
PondIntroTime,11.093728325795382
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.992
Pond8Fish1_PondTime,9.276
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,603
Pond8Fish1_TimeLeft,568.096
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.071
Pond8Fish2_PondTime,17.109
Pond8Fish2_PondOutcome,22
