,5dfea42d0db892b3062dd3da
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.218
Pond5Fish3_PondTime,21.9
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,437
Pond5Fish3_TimeLeft,742.77
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.953
Pond5Fish4_PondTime,29.258
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,448
Pond5Fish4_TimeLeft,735.412
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.863
Pond5Fish5_PondTime,37.069
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,459
Pond5Fish5_TimeLeft,727.601
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.824
Pond5Fish6_PondTime,45.428
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,470
Pond5Fish6_TimeLeft,719.242
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.711
Pond5Fish7_PondTime,54.454
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,481
Pond5Fish7_TimeLeft,710.216
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.997
Pond5Fish8_PondTime,64.311
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,492
Pond5Fish8_TimeLeft,700.359
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.584
Pond5Fish9_PondTime,75.253
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,503
Pond5Fish9_TimeLeft,689.417
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.852
Pond5Fish10_PondTime,87.609
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,514
Pond5Fish10_TimeLeft,677.061
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,0.873
Pond5Fish11_PondTime,101.978
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,525
Pond5Fish11_TimeLeft,662.692
PondEnd_LastFish,11
FishN,12
Type,N
GiveUpTime,0.672
PondTime,118.95
TimeLeft,645.218
PondOutcome,121
TotalOutcome,525
PondStart,PondStart
PondIntroTime,11.42765969503671
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,0.872
Pond8Fish1_PondTime,8.28
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,535
Pond8Fish1_TimeLeft,624.872
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.899
Pond8Fish2_PondTime,14.923
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,545
Pond8Fish2_TimeLeft,618.229
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.756
Pond8Fish3_PondTime,21.9
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,555
Pond8Fish3_TimeLeft,611.252
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.011
Pond8Fish4_PondTime,29.261
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,565
Pond8Fish4_TimeLeft,603.891
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.841
Pond8Fish5_PondTime,37.069
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,575
Pond8Fish5_TimeLeft,596.083
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,0.97
Pond8Fish6_PondTime,45.432
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,585
Pond8Fish6_TimeLeft,587.72
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,golden
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,0.744
Pond8Fish7_PondTime,54.456
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,605
Pond8Fish7_TimeLeft,578.696
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,0.965
Pond8Fish8_PondTime,64.313
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,615
Pond8Fish8_TimeLeft,568.838
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,0.794
Pond8Fish9_PondTime,75.254
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,625
Pond8Fish9_TimeLeft,557.898
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.893
Pond8Fish10_PondTime,87.626
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,635
Pond8Fish10_TimeLeft,545.526
Type,RT
FishN,17
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,0.817
Pond8Fish11_PondTime,101.996
Pond8Fish11_PondOutcome,120
Pond8Fish11_TotalOutcome,645
Pond8Fish11_TimeLeft,531.156
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,0.668
PondTime,119.08
TimeLeft,513.569
PondOutcome,120
TotalOutcome,645
PondStart,PondStart
PondIntroTime,13.850224141497165
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,0.816
Pond1Fish1_PondTime,8.028
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,655
Pond1Fish1_TimeLeft,491.074
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,0.824
Pond1Fish2_PondTime,14.388
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,665
Pond1Fish2_TimeLeft,484.714
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,0.987
Pond1Fish3_PondTime,21.033
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,675
Pond1Fish3_TimeLeft,478.069
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,1.186
Pond1Fish4_PondTime,28.01
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,685
Pond1Fish4_TimeLeft,471.092
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.722
Pond1Fish5_PondTime,35.371
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,695
Pond1Fish5_TimeLeft,463.731
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,0.623
Pond1Fish6_PondTime,43.196
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,705
Pond1Fish6_TimeLeft,455.906
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,0.847
Pond1Fish7_PondTime,51.558
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,715
Pond1Fish7_TimeLeft,447.544
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.518
Pond1Fish8_PondTime,60.581
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,725
Pond1Fish8_TimeLeft,438.521
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,0.917
Pond1Fish9_PondTime,70.44
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,735
Pond1Fish9_TimeLeft,428.662
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,0.849
Pond1Fish10_PondTime,81.381
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,745
Pond1Fish10_TimeLeft,417.721
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,0.836
Pond1Fish11_PondTime,93.737
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,755
Pond1Fish11_TimeLeft,405.365
Type,RT
FishN,19
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,1.025
Pond1Fish12_PondTime,108.108
Pond1Fish12_PondOutcome,120
Pond1Fish12_TotalOutcome,765
Pond1Fish12_TimeLeft,390.994
Type,RT
FishN,19
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,12
Pond1Fish13_CatchTime,1.105
Pond1Fish13_PondTime,125.474
Pond1Fish13_PondOutcome,130
Pond1Fish13_TotalOutcome,775
Pond1Fish13_TimeLeft,373.627
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,0.66
PondTime,147.83
TimeLeft,350.77
PondOutcome,130
TotalOutcome,775
PondStart,PondStart
PondIntroTime,11.550977665465325
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.467
Pond12Fish1_PondTime,10.06
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,787
Pond12Fish1_TimeLeft,328.533
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,0.881
Pond12Fish2_PondTime,18.421
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,799
Pond12Fish2_TimeLeft,320.172
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,-1
Pond12Fish3_PondTime,27.509
Pond12Fish3_PondOutcome,24
Pond12Fish3_TotalOutcome,799
Pond12Fish3_TimeLeft,311.084
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,0.877
Pond12Fish4_PondTime,37.371
Pond12Fish4_PondOutcome,36
Pond12Fish4_TotalOutcome,811
Pond12Fish4_TimeLeft,301.222
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,gray
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.137
Pond12Fish5_PondTime,48.312
Pond12Fish5_PondOutcome,38
Pond12Fish5_TotalOutcome,813
Pond12Fish5_TimeLeft,290.281
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.012
Pond12Fish6_PondTime,60.669
Pond12Fish6_PondOutcome,50
Pond12Fish6_TotalOutcome,825
Pond12Fish6_TimeLeft,277.924
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,0.786
Pond12Fish7_PondTime,75.039
Pond12Fish7_PondOutcome,62
Pond12Fish7_TotalOutcome,837
Pond12Fish7_TimeLeft,263.554
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,0.93
Pond12Fish8_PondTime,92.405
Pond12Fish8_PondOutcome,74
Pond12Fish8_TotalOutcome,849
