,5ddb705139bca1aab0b157d8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.929
Pond1Fish8_PondTime,54.769
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,274
Pond1Fish8_TimeLeft,956.849
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.885
Pond1Fish9_PondTime,63.131
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,284
Pond1Fish9_TimeLeft,948.487
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,golden
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.68
Pond1Fish10_PondTime,72.16
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,304
Pond1Fish10_TimeLeft,939.458
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,0.76
Pond1Fish11_PondTime,82.018
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,314
Pond1Fish11_TimeLeft,929.6
PondEnd_LastFish,11
FishN,19
Type,RT
GiveUpTime,0.728
PondTime,92.753
TimeLeft,918.364
PondOutcome,120
TotalOutcome,314
PondStart,PondStart
PondIntroTime,11.125973919406533
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.708
Pond4Fish1_PondTime,7.606
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,324
Pond4Fish1_TimeLeft,899.018
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.763
Pond4Fish2_PondTime,13.499
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,344
Pond4Fish2_TimeLeft,893.125
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.675
Pond4Fish3_PondTime,19.608
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,354
Pond4Fish3_TimeLeft,887.016
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.85
Pond4Fish4_PondTime,25.969
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,364
Pond4Fish4_TimeLeft,880.655
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.65
Pond4Fish5_PondTime,32.611
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,374
Pond4Fish5_TimeLeft,874.013
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.892
Pond4Fish6_PondTime,39.587
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,384
Pond4Fish6_TimeLeft,867.037
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,golden
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.68
Pond4Fish7_PondTime,46.95
Pond4Fish7_PondOutcome,90
Pond4Fish7_TotalOutcome,404
Pond4Fish7_TimeLeft,859.674
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.712
Pond4Fish8_PondTime,54.766
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,414
Pond4Fish8_TimeLeft,851.858
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,0.775
Pond4Fish9_PondTime,63.129
Pond4Fish9_PondOutcome,110
Pond4Fish9_TotalOutcome,424
Pond4Fish9_TimeLeft,843.495
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,0.865
Pond4Fish10_PondTime,72.156
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,434
Pond4Fish10_TimeLeft,834.468
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.854
Pond4Fish11_PondTime,82.012
Pond4Fish11_PondOutcome,130
Pond4Fish11_TotalOutcome,444
Pond4Fish11_TimeLeft,824.612
Type,RT
FishN,16
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,0.665
Pond4Fish12_PondTime,92.949
Pond4Fish12_PondOutcome,140
Pond4Fish12_TotalOutcome,454
Pond4Fish12_TimeLeft,813.675
Type,RT
FishN,16
Fish,13
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,0.468
Pond4Fish13_PondTime,105.313
Pond4Fish13_PondOutcome,150
Pond4Fish13_TotalOutcome,464
Pond4Fish13_TimeLeft,801.311
PondEnd_LastFish,13
FishN,16
Type,RT
GiveUpTime,0.289
PondTime,118.864
TimeLeft,787.258
PondOutcome,150
TotalOutcome,464
PondStart,PondStart
PondIntroTime,14.685664470307529
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.811
Pond9Fish1_PondTime,7.791
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,475
Pond9Fish1_TimeLeft,764.169
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,0.656
Pond9Fish2_PondTime,13.9
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,486
Pond9Fish2_TimeLeft,758.06
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,0.733
Pond9Fish3_PondTime,20.262
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,497
Pond9Fish3_TimeLeft,751.698
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,0.848
Pond9Fish4_PondTime,26.904
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,508
Pond9Fish4_TimeLeft,745.056
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,1.277
Pond9Fish5_PondTime,33.88
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,519
Pond9Fish5_TimeLeft,738.08
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.887
Pond9Fish6_PondTime,41.241
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,530
Pond9Fish6_TimeLeft,730.719
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.713
Pond9Fish7_PondTime,49.056
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,541
Pond9Fish7_TimeLeft,722.904
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.688
Pond9Fish8_PondTime,57.42
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,552
Pond9Fish8_TimeLeft,714.54
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,0.965
Pond9Fish9_PondTime,66.448
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,563
Pond9Fish9_TimeLeft,705.512
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,0.745
Pond9Fish10_PondTime,76.303
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,574
Pond9Fish10_TimeLeft,695.656
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,0.595
PondTime,86.747
TimeLeft,684.712
PondOutcome,110
TotalOutcome,574
PondStart,PondStart
PondIntroTime,10.929152760654688
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.737
