,5bf192725431290001de4ba3
Pond11Fish9_PondTime,99.489
Pond11Fish9_PondOutcome,98
Pond11Fish9_TotalOutcome,328
Pond11Fish9_TimeLeft,885.015
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,0.883
Pond11Fish10_PondTime,121.88
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,340
Pond11Fish10_TimeLeft,862.624
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,29.052
PondTime,150.029
TimeLeft,833.969
PondOutcome,110
TotalOutcome,340
PondStart,PondStart
PondIntroTime,18.34484064951539
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.074
Pond12Fish1_PondTime,9.311
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,351
Pond12Fish1_TimeLeft,805.669
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.048
Pond12Fish2_PondTime,17.128
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,362
Pond12Fish2_TimeLeft,797.852
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.152
Pond12Fish3_PondTime,25.506
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,373
Pond12Fish3_TimeLeft,789.474
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.398
Pond12Fish4_PondTime,34.546
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,384
Pond12Fish4_TimeLeft,780.433
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.249
Pond12Fish5_PondTime,44.431
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,395
Pond12Fish5_TimeLeft,770.548
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.09
Pond12Fish6_PondTime,55.389
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,406
Pond12Fish6_TimeLeft,759.591
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.147
Pond12Fish7_PondTime,67.749
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,417
Pond12Fish7_TimeLeft,747.231
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,0.997
Pond12Fish8_PondTime,82.123
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,428
Pond12Fish8_TimeLeft,732.856
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.681
Pond12Fish9_PondTime,99.509
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,439
Pond12Fish9_TimeLeft,715.471
Type,N
FishN,13
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,15
Pond12Fish10_CatchTime,1.684
Pond12Fish10_PondTime,121.884
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,450
Pond12Fish10_TimeLeft,693.096
Type,N
FishN,13
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,20
Pond12Fish11_CatchTime,1.02
Pond12Fish11_PondTime,154.277
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,461
Pond12Fish11_TimeLeft,660.703
PondEnd_LastFish,11
FishN,13
Type,N
GiveUpTime,0.861
PondTime,154.37
TimeLeft,660.103
PondOutcome,121
TotalOutcome,461
PondStart,PondStart
PondIntroTime,17.190505259204656
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.012
Pond5Fish1_PondTime,8.925
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,471
Pond5Fish1_TimeLeft,633.366
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.779
Pond5Fish2_PondTime,16.317
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,481
Pond5Fish2_TimeLeft,625.974
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.963
Pond5Fish3_PondTime,24.158
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,491
Pond5Fish3_TimeLeft,618.133
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.9
Pond5Fish4_PondTime,32.548
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,501
Pond5Fish4_TimeLeft,609.743
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.886
Pond5Fish5_PondTime,41.578
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,521
Pond5Fish5_TimeLeft,600.713
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.061
Pond5Fish6_PondTime,51.459
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,531
Pond5Fish6_TimeLeft,590.832
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.075
Pond5Fish7_PondTime,62.414
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,541
Pond5Fish7_TimeLeft,579.877
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.023
Pond5Fish8_PondTime,74.833
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,551
Pond5Fish8_TimeLeft,567.458
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,golden
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.168
Pond5Fish9_PondTime,89.216
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,571
Pond5Fish9_TimeLeft,553.075
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.194
Pond5Fish10_PondTime,106.614
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,581
Pond5Fish10_TimeLeft,535.677
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.125
Pond5Fish11_PondTime,128.988
Pond5Fish11_PondOutcome,130
Pond5Fish11_TotalOutcome,591
Pond5Fish11_TimeLeft,513.302
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.569
Pond5Fish12_PondTime,161.368
Pond5Fish12_PondOutcome,140
Pond5Fish12_TotalOutcome,601
Pond5Fish12_TimeLeft,480.923
PondEnd_LastFish,12
FishN,12
Type,RT
GiveUpTime,0.839
PondTime,161.986
TimeLeft,479.801
PondOutcome,140
TotalOutcome,601
PondStart,PondStart
PondIntroTime,18.98973635165021
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.377
Pond8Fish1_PondTime,8.026
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,611
Pond8Fish1_TimeLeft,452.156
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,1.032
Pond8Fish2_PondTime,14.421
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,621
Pond8Fish2_TimeLeft,445.761
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,1.125
Pond8Fish3_PondTime,21.063
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,631
Pond8Fish3_TimeLeft,439.119
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.044
Pond8Fish4_PondTime,28.07
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,641
Pond8Fish4_TimeLeft,432.112
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,0.917
Pond8Fish5_PondTime,35.439
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,651
Pond8Fish5_TimeLeft,424.743
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,1.118
Pond8Fish6_PondTime,43.254
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,661
Pond8Fish6_TimeLeft,416.928
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,0.854
Pond8Fish7_PondTime,51.662
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,671
Pond8Fish7_TimeLeft,408.52
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,1.048
Pond8Fish8_PondTime,60.717
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,681
Pond8Fish8_TimeLeft,399.465
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6.666666666666667
Pond8Fish9_CatchTime,1.033
Pond8Fish9_PondTime,70.571
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,691
Pond8Fish9_TimeLeft,389.611
Type,RT
FishN,17
Fish,10
