,5d8564939c1e25000108b508
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.903
Pond5Fish1_PondTime,8.506
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,891
Pond5Fish1_TimeLeft,235.229
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.196
Pond5Fish2_PondTime,15.179
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,902
Pond5Fish2_TimeLeft,228.556
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.326
Pond5Fish3_PondTime,22.176
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,913
Pond5Fish3_TimeLeft,221.559
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.474
Pond5Fish4_PondTime,29.548
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,924
Pond5Fish4_TimeLeft,214.187
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.194
Pond5Fish5_PondTime,37.385
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,935
Pond5Fish5_TimeLeft,206.35
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.144
Pond5Fish6_PondTime,45.757
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,946
Pond5Fish6_TimeLeft,197.978
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.04
Pond5Fish7_PondTime,54.807
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,957
Pond5Fish7_TimeLeft,188.928
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,0.562
PondTime,64.611
TimeLeft,178.62
PondOutcome,77
TotalOutcome,957
PondStart,PondStart
PondIntroTime,13.464285219088197
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.493
Pond6Fish1_PondTime,8.042
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,969
Pond6Fish1_TimeLeft,156.476
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.651
Pond6Fish2_PondTime,14.428
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,981
Pond6Fish2_TimeLeft,150.09
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.242
Pond6Fish3_PondTime,21.09
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,993
Pond6Fish3_TimeLeft,143.428
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.038
Pond6Fish4_PondTime,28.074
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,1005
Pond6Fish4_TimeLeft,136.444
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.035
Pond6Fish5_PondTime,35.449
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,1017
Pond6Fish5_TimeLeft,129.069
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,gray
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.874
Pond6Fish6_PondTime,43.46
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,1019
Pond6Fish6_TimeLeft,121.058
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.268
Pond6Fish7_PondTime,51.827
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,1031
Pond6Fish7_TimeLeft,112.691
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,1.606
PondTime,52.912
TimeLeft,111.103
PondOutcome,74
TotalOutcome,1031
PondStart,PondStart
PondIntroTime,12.676955321803689
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.343
Pond10Fish1_PondTime,9.745
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,1043
Pond10Fish1_TimeLeft,88.066
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.17
Pond10Fish2_PondTime,18.129
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,1055
Pond10Fish2_TimeLeft,79.682
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.768
Pond10Fish3_PondTime,27.237
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,1067
Pond10Fish3_TimeLeft,70.573
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.455
Pond10Fish4_PondTime,37.133
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,1079
Pond10Fish4_TimeLeft,60.678
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.301
Pond10Fish5_PondTime,48.077
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,1091
Pond10Fish5_TimeLeft,49.734
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.087
Pond10Fish6_PondTime,60.448
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,1103
Pond10Fish6_TimeLeft,37.363
PondEnd_LastFish,6
FishN,19
Type,RD
GiveUpTime,0.742
PondTime,60.482
TimeLeft,36.827
PondOutcome,72
TotalOutcome,1103
PondStart,PondStart
PondIntroTime,10.973260351456702
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.227
Pond3Fish1_PondTime,8.906
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,1113
Pond3Fish1_TimeLeft,16.329
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.03
Pond3Fish2_PondTime,16.295
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,1123
Pond3Fish2_TimeLeft,8.94
