,5d8564939c1e25000108b508
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,0.988
Pond4Fish3_PondTime,22.961
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,274
Pond4Fish3_TimeLeft,887.84
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.852
Pond4Fish4_PondTime,30.797
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,285
Pond4Fish4_TimeLeft,880.004
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.142
Pond4Fish5_PondTime,39.182
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,296
Pond4Fish5_TimeLeft,871.619
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,0.849
Pond4Fish6_PondTime,48.23
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,307
Pond4Fish6_TimeLeft,862.571
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.189
Pond4Fish7_PondTime,58.113
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,318
Pond4Fish7_TimeLeft,852.688
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.003
Pond4Fish8_PondTime,69.061
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,329
Pond4Fish8_TimeLeft,841.74
PondEnd_LastFish,8
FishN,16
Type,N
GiveUpTime,1.09
PondTime,69.364
TimeLeft,840.934
PondOutcome,88
TotalOutcome,329
PondStart,PondStart
PondIntroTime,12.2110092244111
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,1.455
