,5c9a8b09597af60011351647
Pond9Fish14_TimeLeft,600.315
PondEnd_LastFish,14
FishN,16
Type,RD
GiveUpTime,12.053
PondTime,143.351
TimeLeft,587.863
PondOutcome,168
TotalOutcome,517
PondStart,PondStart
PondIntroTime,12.696760471444577
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,gray
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.362
Pond8Fish1_PondTime,9.279
Pond8Fish1_PondOutcome,2
Pond8Fish1_TotalOutcome,519
Pond8Fish1_TimeLeft,565.259
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,gray
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.025
Pond8Fish2_PondTime,17.09
Pond8Fish2_PondOutcome,4
Pond8Fish2_TotalOutcome,521
Pond8Fish2_TimeLeft,557.448
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.913
Pond8Fish3_PondTime,25.449
Pond8Fish3_PondOutcome,16
Pond8Fish3_TotalOutcome,533
Pond8Fish3_TimeLeft,549.089
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.896
Pond8Fish4_PondTime,34.78
Pond8Fish4_PondOutcome,28
Pond8Fish4_TotalOutcome,545
Pond8Fish4_TimeLeft,539.758
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,0.899
Pond8Fish5_PondTime,45.306
Pond8Fish5_PondOutcome,40
Pond8Fish5_TotalOutcome,557
Pond8Fish5_TimeLeft,529.232
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.33
Pond8Fish6_PondTime,56.25
Pond8Fish6_PondOutcome,52
Pond8Fish6_TotalOutcome,569
Pond8Fish6_TimeLeft,518.288
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.429
Pond8Fish7_PondTime,68.617
Pond8Fish7_PondOutcome,64
Pond8Fish7_TotalOutcome,581
Pond8Fish7_TimeLeft,505.921
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,gray
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,-1
Pond8Fish8_PondTime,83.052
Pond8Fish8_PondOutcome,64
Pond8Fish8_TotalOutcome,581
Pond8Fish8_TimeLeft,491.486
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,gray
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,-1
Pond8Fish9_PondTime,100.489
Pond8Fish9_PondOutcome,64
Pond8Fish9_TotalOutcome,581
Pond8Fish9_TimeLeft,474.049
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,0.817
Pond8Fish10_PondTime,122.862
Pond8Fish10_PondOutcome,76
Pond8Fish10_TotalOutcome,593
Pond8Fish10_TimeLeft,451.676
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,gray
Pond8Fish11_FishLatency,20
Pond8Fish11_CatchTime,1.161
Pond8Fish11_PondTime,155.234
Pond8Fish11_PondOutcome,78
Pond8Fish11_TotalOutcome,595
Pond8Fish11_TimeLeft,419.304
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,55.472
PondTime,210.068
TimeLeft,363.968
PondOutcome,78
TotalOutcome,595
PondStart,PondStart
PondIntroTime,19.004690458532423
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.258
Pond1Fish1_PondTime,8.76
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,605
Pond1Fish1_TimeLeft,335.186
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.85
Pond1Fish2_PondTime,15.036
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,615
Pond1Fish2_TimeLeft,328.91
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.281
Pond1Fish3_PondTime,21.403
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,625
Pond1Fish3_TimeLeft,322.543
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.9
Pond1Fish4_PondTime,28.048
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,635
Pond1Fish4_TimeLeft,315.898
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.795
