,5dfe286653e846ad86a798f8
Pond6Fish3_CatchTime,1.241
Pond6Fish3_PondTime,21.051
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,243
Pond6Fish3_TimeLeft,961.686
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.921
Pond6Fish4_PondTime,28.034
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,254
Pond6Fish4_TimeLeft,954.704
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.148
Pond6Fish5_PondTime,35.402
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,265
Pond6Fish5_TimeLeft,947.336
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.372
Pond6Fish6_PondTime,43.219
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,276
Pond6Fish6_TimeLeft,939.519
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.498
Pond6Fish7_PondTime,51.586
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,287
Pond6Fish7_TimeLeft,931.152
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.093
Pond6Fish8_PondTime,60.62
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,298
Pond6Fish8_TimeLeft,922.118
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.132
Pond6Fish9_PondTime,70.499
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,309
Pond6Fish9_TimeLeft,912.239
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.131
Pond6Fish10_PondTime,81.438
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,320
Pond6Fish10_TimeLeft,901.3
Type,N
FishN,19
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,0.97
Pond6Fish11_PondTime,93.804
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,331
Pond6Fish11_TimeLeft,888.934
Type,N
FishN,19
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.508
Pond6Fish12_PondTime,108.182
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,342
Pond6Fish12_TimeLeft,874.556
Type,N
FishN,19
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,12
Pond6Fish13_CatchTime,1.419
Pond6Fish13_PondTime,125.579
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,353
Pond6Fish13_TimeLeft,857.159
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,1.09
PondTime,126.27
TimeLeft,855.964
PondOutcome,143
TotalOutcome,353
PondStart,PondStart
PondIntroTime,12.213045968674123
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,7.914
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,353
Pond5Fish1_TimeLeft,835.219
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.113
Pond5Fish2_PondTime,14.033
Pond5Fish2_PondOutcome,12
Pond5Fish2_TotalOutcome,365
Pond5Fish2_TimeLeft,829.1
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.05
Pond5Fish3_PondTime,20.401
Pond5Fish3_PondOutcome,24
Pond5Fish3_TotalOutcome,377
Pond5Fish3_TimeLeft,822.732
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,gray
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.306
Pond5Fish4_PondTime,27.051
Pond5Fish4_PondOutcome,26
Pond5Fish4_TotalOutcome,379
Pond5Fish4_TimeLeft,816.082
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.016
Pond5Fish5_PondTime,34.052
Pond5Fish5_PondOutcome,38
Pond5Fish5_TotalOutcome,391
Pond5Fish5_TimeLeft,809.081
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.23
Pond5Fish6_PondTime,41.419
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,403
Pond5Fish6_TimeLeft,801.714
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.002
Pond5Fish7_PondTime,49.235
Pond5Fish7_PondOutcome,62
Pond5Fish7_TotalOutcome,415
Pond5Fish7_TimeLeft,793.897
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.892
Pond5Fish8_PondTime,57.597
Pond5Fish8_PondOutcome,74
Pond5Fish8_TotalOutcome,427
Pond5Fish8_TimeLeft,785.536
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.119
Pond5Fish9_PondTime,66.647
Pond5Fish9_PondOutcome,86
Pond5Fish9_TotalOutcome,439
Pond5Fish9_TimeLeft,776.486
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.551
Pond5Fish10_PondTime,76.519
Pond5Fish10_PondOutcome,98
Pond5Fish10_TotalOutcome,451
Pond5Fish10_TimeLeft,766.614
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,1.221
Pond5Fish11_PondTime,87.453
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,463
Pond5Fish11_TimeLeft,755.68
Type,RD
FishN,12
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.229
Pond5Fish12_PondTime,99.82
Pond5Fish12_PondOutcome,122
Pond5Fish12_TotalOutcome,475
Pond5Fish12_TimeLeft,743.313
Type,RD
FishN,12
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,1.089
Pond5Fish13_PondTime,114.187
Pond5Fish13_PondOutcome,134
Pond5Fish13_TotalOutcome,487
Pond5Fish13_TimeLeft,728.945
PondEnd_LastFish,13
FishN,12
Type,RD
GiveUpTime,9.451
PondTime,122.935
TimeLeft,719.695
PondOutcome,134
TotalOutcome,487
PondStart,PondStart
PondIntroTime,13.0742940120399
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.618
Pond11Fish1_PondTime,8.033
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,499
Pond11Fish1_TimeLeft,697.961
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.179
Pond11Fish2_PondTime,14.4
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,511
Pond11Fish2_TimeLeft,691.594
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.878
Pond11Fish3_PondTime,21.232
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,523
Pond11Fish3_TimeLeft,684.762
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.033
Pond11Fish4_PondTime,28.217
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,535
Pond11Fish4_TimeLeft,677.777
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.997
Pond11Fish5_PondTime,35.583
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,547
Pond11Fish5_TimeLeft,670.411
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.96
Pond11Fish6_PondTime,43.413
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,559
Pond11Fish6_TimeLeft,662.581
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.876
Pond11Fish7_PondTime,51.795
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,571
Pond11Fish7_TimeLeft,654.199
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.028
Pond11Fish8_PondTime,60.835
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,583
Pond11Fish8_TimeLeft,645.159
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.728
Pond11Fish9_PondTime,70.712
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,595
Pond11Fish9_TimeLeft,635.282
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.032
Pond11Fish10_PondTime,81.651
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,607
Pond11Fish10_TimeLeft,624.343
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,1.312
PondTime,82.205
TimeLeft,623.286
PondOutcome,120
TotalOutcome,607
PondStart,PondStart
PondIntroTime,18.416648916900158
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,0.956
Pond10Fish1_PondTime,8.909
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,617
Pond10Fish1_TimeLeft,595.316
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.962
Pond10Fish2_PondTime,16.301
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,627
Pond10Fish2_TimeLeft,587.924
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.133
Pond10Fish3_PondTime,24.117
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,637
Pond10Fish3_TimeLeft,580.108
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.948
Pond10Fish4_PondTime,32.484
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,647
Pond10Fish4_TimeLeft,571.74
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.011
Pond10Fish5_PondTime,41.518
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,657
Pond10Fish5_TimeLeft,562.707
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.529
Pond10Fish6_PondTime,51.385
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,667
Pond10Fish6_TimeLeft,552.84
PondEnd_LastFish,6
FishN,19
Type,RT
GiveUpTime,6.921
PondTime,58.036
TimeLeft,545.686
PondOutcome,60
TotalOutcome,667
PondStart,PondStart
PondIntroTime,16.242366824299097
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.53
Pond1Fish1_PondTime,9.284
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,678
Pond1Fish1_TimeLeft,519.539
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.013
Pond1Fish2_PondTime,17.1
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,689
Pond1Fish2_TimeLeft,511.723
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.164
Pond1Fish3_PondTime,25.468
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,700
Pond1Fish3_TimeLeft,503.355
