,5c5322c607ccef0001939694
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.19
Pond2Fish11_PondTime,82.125
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,513
Pond2Fish11_TimeLeft,687.73
Type,RD
FishN,12
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,0.999
Pond2Fish12_PondTime,93.054
Pond2Fish12_PondOutcome,144
Pond2Fish12_TotalOutcome,525
Pond2Fish12_TimeLeft,676.801
Type,RD
FishN,12
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.432
Pond2Fish13_PondTime,105.414
Pond2Fish13_PondOutcome,156
Pond2Fish13_TotalOutcome,537
Pond2Fish13_TimeLeft,664.441
Type,RD
FishN,12
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,10
Pond2Fish14_CatchTime,1.375
Pond2Fish14_PondTime,119.778
Pond2Fish14_PondOutcome,168
Pond2Fish14_TotalOutcome,549
Pond2Fish14_TimeLeft,650.077
Type,RD
FishN,12
Fish,15
Pond2Fish15_FishType,blue
Pond2Fish15_FishLatency,12
Pond2Fish15_CatchTime,1.212
Pond2Fish15_PondTime,137.14
Pond2Fish15_PondOutcome,180
Pond2Fish15_TotalOutcome,561
Pond2Fish15_TimeLeft,632.715
Type,RD
FishN,12
Fish,16
Pond2Fish16_FishType,blue
Pond2Fish16_FishLatency,15
Pond2Fish16_CatchTime,1.23
Pond2Fish16_PondTime,159.496
Pond2Fish16_PondOutcome,192
Pond2Fish16_TotalOutcome,573
Pond2Fish16_TimeLeft,610.359
PondEnd_LastFish,16
FishN,12
Type,RD
GiveUpTime,1.211
PondTime,160.139
TimeLeft,609.21
PondOutcome,192
TotalOutcome,573
PondStart,PondStart
PondIntroTime,11.149382514413446
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.434
Pond3Fish1_PondTime,9.313
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,584
Pond3Fish1_TimeLeft,588.098
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.428
Pond3Fish2_PondTime,17.125
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,595
Pond3Fish2_TimeLeft,580.286
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.315
Pond3Fish3_PondTime,25.524
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,606
Pond3Fish3_TimeLeft,571.887
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.273
Pond3Fish4_PondTime,34.577
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,617
Pond3Fish4_TimeLeft,562.834
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.552
Pond3Fish5_PondTime,44.432
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,628
Pond3Fish5_TimeLeft,552.979
Type,N
FishN,19
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.138
Pond3Fish6_PondTime,55.364
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,639
Pond3Fish6_TimeLeft,542.047
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.443
Pond3Fish7_PondTime,67.724
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,650
Pond3Fish7_TimeLeft,529.687
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,1.251
Pond3Fish8_PondTime,82.088
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,661
