,5d2181c7ef44b700015f022f
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.3
Pond3Fish7_PondTime,68.199
Pond3Fish7_PondOutcome,64
Pond3Fish7_TotalOutcome,318
Pond3Fish7_TimeLeft,782.678
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,1.14
Pond3Fish8_PondTime,82.641
Pond3Fish8_PondOutcome,76
Pond3Fish8_TotalOutcome,330
Pond3Fish8_TimeLeft,768.236
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,gray
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,1.433
Pond3Fish9_PondTime,100.059
Pond3Fish9_PondOutcome,78
Pond3Fish9_TotalOutcome,332
Pond3Fish9_TimeLeft,750.818
Type,RD
FishN,19
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,15
Pond3Fish10_CatchTime,1.234
Pond3Fish10_PondTime,122.487
Pond3Fish10_PondOutcome,90
Pond3Fish10_TotalOutcome,344
Pond3Fish10_TimeLeft,728.39
Type,RD
FishN,19
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,20
Pond3Fish11_CatchTime,1.338
Pond3Fish11_PondTime,154.892
Pond3Fish11_PondOutcome,102
Pond3Fish11_TotalOutcome,356
Pond3Fish11_TimeLeft,695.984
Type,RD
FishN,19
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,30
Pond3Fish12_CatchTime,1.411
Pond3Fish12_PondTime,217.349
Pond3Fish12_PondOutcome,114
Pond3Fish12_TotalOutcome,368
Pond3Fish12_TimeLeft,633.528
Type,RD
FishN,19
Fish,13
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,60
Pond3Fish13_CatchTime,1.05
Pond3Fish13_PondTime,219.712
Pond3Fish13_PondOutcome,126
Pond3Fish13_TotalOutcome,380
Pond3Fish13_TimeLeft,631.165
PondEnd_LastFish,13
FishN,19
Type,RD
GiveUpTime,65.45
PondTime,284.415
TimeLeft,565.957
PondOutcome,126
TotalOutcome,380
PondStart,PondStart
PondIntroTime,17.196144168265164
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.157
Pond8Fish1_PondTime,8.353
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,390
Pond8Fish1_TimeLeft,539.757
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,1.136
Pond8Fish2_PondTime,15.052
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,400
Pond8Fish2_TimeLeft,533.059
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,1.138
Pond8Fish3_PondTime,22.096
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,410
Pond8Fish3_TimeLeft,526.015
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.209
Pond8Fish4_PondTime,29.568
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,420
Pond8Fish4_TimeLeft,518.543
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,1.214
Pond8Fish5_PondTime,37.469
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,430
Pond8Fish5_TimeLeft,510.642
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,1.314
Pond8Fish6_PondTime,45.9
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,440
Pond8Fish6_TimeLeft,502.211
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,0.998
Pond8Fish7_PondTime,54.954
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,450
Pond8Fish7_TimeLeft,493.157
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,1.405
Pond8Fish8_PondTime,64.928
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,460
Pond8Fish8_TimeLeft,483.183
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.585
Pond8Fish9_PondTime,75.939
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,470
Pond8Fish9_TimeLeft,472.172
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.98
Pond8Fish10_PondTime,88.366
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,480
Pond8Fish10_TimeLeft,459.745
Type,RT
FishN,17
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,1.239
Pond8Fish11_PondTime,102.826
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,490
Pond8Fish11_TimeLeft,445.285
Type,RT
FishN,17
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,12
Pond8Fish12_CatchTime,1.169
Pond8Fish12_PondTime,120.286
Pond8Fish12_PondOutcome,120
Pond8Fish12_TotalOutcome,500
Pond8Fish12_TimeLeft,427.825
Type,RT
FishN,17
Fish,13
Pond8Fish13_FishType,purple
Pond8Fish13_FishLatency,15
Pond8Fish13_CatchTime,1.12
Pond8Fish13_PondTime,142.714
Pond8Fish13_PondOutcome,130
Pond8Fish13_TotalOutcome,510
Pond8Fish13_TimeLeft,405.397
Type,RT
FishN,17
Fish,14
Pond8Fish14_FishType,golden
Pond8Fish14_FishLatency,20
Pond8Fish14_CatchTime,1.211
Pond8Fish14_PondTime,175.183
Pond8Fish14_PondOutcome,150
Pond8Fish14_TotalOutcome,530
Pond8Fish14_TimeLeft,372.928
Type,RT
FishN,17
Fish,15
Pond8Fish15_FishType,purple
Pond8Fish15_FishLatency,30
Pond8Fish15_CatchTime,1.517
Pond8Fish15_PondTime,237.605
Pond8Fish15_PondOutcome,160
Pond8Fish15_TotalOutcome,540
Pond8Fish15_TimeLeft,310.506
Type,RT
FishN,17
Fish,16
Pond8Fish16_FishType,purple
Pond8Fish16_FishLatency,60
Pond8Fish16_CatchTime,1.199
Pond8Fish16_PondTime,239.968
Pond8Fish16_PondOutcome,170
Pond8Fish16_TotalOutcome,550
Pond8Fish16_TimeLeft,308.143
PondEnd_LastFish,16
FishN,17
Type,RT
GiveUpTime,110.999
PondTime,350.371
TimeLeft,197.236
PondOutcome,170
TotalOutcome,550
PondStart,PondStart
PondIntroTime,18.05835375795141
