,5cefbe6f1234ed0001970821
PondStart,PondStart
PondIntroTime,11.113392035476863
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.133
Pond6Fish1_PondTime,7.85
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,332
Pond6Fish1_TimeLeft,928.118
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.016
Pond6Fish2_PondTime,13.984
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,343
Pond6Fish2_TimeLeft,921.984
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.6
Pond6Fish3_PondTime,20.381
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,354
Pond6Fish3_TimeLeft,915.587
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.893
Pond6Fish4_PondTime,27.07
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,365
Pond6Fish4_TimeLeft,908.898
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.794
Pond6Fish5_PondTime,34.124
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,376
Pond6Fish5_TimeLeft,901.843
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.064
Pond6Fish6_PondTime,56.352
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,387
Pond6Fish6_TimeLeft,879.616
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.985
Pond6Fish7_PondTime,64.19
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,398
Pond6Fish7_TimeLeft,871.777
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.109
Pond6Fish8_PondTime,72.604
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,409
Pond6Fish8_TimeLeft,863.364
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.001
Pond6Fish9_PondTime,81.671
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,420
Pond6Fish9_TimeLeft,854.297
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.919
Pond6Fish10_PondTime,91.572
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,431
Pond6Fish10_TimeLeft,844.396
Type,N
FishN,19
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.886
Pond6Fish11_PondTime,102.582
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,442
Pond6Fish11_TimeLeft,833.386
Type,N
FishN,19
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,-2.219
Pond6Fish12_PondTime,111.749
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,453
Pond6Fish12_TimeLeft,824.219
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,0.803
PondTime,111.78
TimeLeft,823.685
PondOutcome,132
TotalOutcome,453
PondStart,PondStart
PondIntroTime,13.584924892056733
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.947
Pond2Fish1_PondTime,8.946
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,463
Pond2Fish1_TimeLeft,800.487
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.974
Pond2Fish2_PondTime,16.337
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,473
Pond2Fish2_TimeLeft,793.096
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,0.569
