,569dca9c3b203400054f3ffc
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.007
Pond9Fish5_PondTime,47.907
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,259
Pond9Fish5_TimeLeft,776.595
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.894
Pond9Fish6_PondTime,60.477
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,271
Pond9Fish6_TimeLeft,764.025
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.623
Pond9Fish7_PondTime,74.847
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,283
Pond9Fish7_TimeLeft,749.655
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.535
Pond9Fish8_PondTime,92.218
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,295
Pond9Fish8_TimeLeft,732.284
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.92
Pond9Fish9_PondTime,114.808
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,307
Pond9Fish9_TimeLeft,709.694
Type,RD
FishN,16
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,20
Pond9Fish10_CatchTime,1.884
Pond9Fish10_PondTime,147.369
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,319
Pond9Fish10_TimeLeft,677.133
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,47.086
PondTime,194.353
TimeLeft,629.647
PondOutcome,110
TotalOutcome,319
PondStart,PondStart
PondIntroTime,15.945281942840666
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.156
Pond11Fish1_PondTime,7.813
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,331
Pond11Fish1_TimeLeft,605.267
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.297
Pond11Fish2_PondTime,13.926
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,343
Pond11Fish2_TimeLeft,599.154
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.813
Pond11Fish3_PondTime,20.414
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,355
Pond11Fish3_TimeLeft,592.666
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,gray
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.71
Pond11Fish4_PondTime,27.081
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,357
Pond11Fish4_TimeLeft,585.999
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.175
Pond11Fish5_PondTime,34.058
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,369
Pond11Fish5_TimeLeft,579.022
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.384
Pond11Fish6_PondTime,41.42
Pond11Fish6_PondOutcome,62
Pond11Fish6_TotalOutcome,381
Pond11Fish6_TimeLeft,571.66
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.281
Pond11Fish7_PondTime,49.236
Pond11Fish7_PondOutcome,74
Pond11Fish7_TotalOutcome,393
Pond11Fish7_TimeLeft,563.844
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.231
Pond11Fish8_PondTime,57.604
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,405
Pond11Fish8_TimeLeft,555.476
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.384
Pond11Fish9_PondTime,66.641
Pond11Fish9_PondOutcome,98
Pond11Fish9_TotalOutcome,417
Pond11Fish9_TimeLeft,546.439
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.151
Pond11Fish10_PondTime,76.513
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,429
Pond11Fish10_TimeLeft,536.567
Type,RD
FishN,14
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,1.137
Pond11Fish11_PondTime,87.439
Pond11Fish11_PondOutcome,122
Pond11Fish11_TotalOutcome,441
Pond11Fish11_TimeLeft,525.641
Type,RD
FishN,14
Fish,12
Pond11Fish12_FishType,blue
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.954
Pond11Fish12_PondTime,100.054
Pond11Fish12_PondOutcome,134
Pond11Fish12_TotalOutcome,453
Pond11Fish12_TimeLeft,513.026
Type,RD
FishN,14
Fish,13
Pond11Fish13_FishType,blue
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,1.699
Pond11Fish13_PondTime,114.439
Pond11Fish13_PondOutcome,146
Pond11Fish13_TotalOutcome,465
Pond11Fish13_TimeLeft,498.641
Type,RD
FishN,14
Fish,14
Pond11Fish14_FishType,blue
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,1.238
Pond11Fish14_PondTime,131.799
Pond11Fish14_PondOutcome,158
Pond11Fish14_TotalOutcome,477
Pond11Fish14_TimeLeft,481.281
Type,RD
FishN,14
Fish,15
Pond11Fish15_FishType,blue
Pond11Fish15_FishLatency,15
Pond11Fish15_CatchTime,1.985
Pond11Fish15_PondTime,154.451
Pond11Fish15_PondOutcome,170
Pond11Fish15_TotalOutcome,489
Pond11Fish15_TimeLeft,458.629
Type,RD
FishN,14
Fish,16
Pond11Fish16_FishType,blue
Pond11Fish16_FishLatency,20
Pond11Fish16_CatchTime,1.789
Pond11Fish16_PondTime,186.914
Pond11Fish16_PondOutcome,182
Pond11Fish16_TotalOutcome,501
Pond11Fish16_TimeLeft,426.166
PondEnd_LastFish,16
FishN,14
Type,RD
GiveUpTime,38.686
PondTime,225.498
TimeLeft,387.079
PondOutcome,182
TotalOutcome,501
PondStart,PondStart
PondIntroTime,17.398199860472232
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.105
Pond10Fish1_PondTime,8.018
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,513
Pond10Fish1_TimeLeft,359.925
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.492
Pond10Fish2_PondTime,14.385
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,525
Pond10Fish2_TimeLeft,353.558
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.18
Pond10Fish3_PondTime,21.027
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,537
Pond10Fish3_TimeLeft,346.916
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.398
Pond10Fish4_PondTime,28.002
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,549
Pond10Fish4_TimeLeft,339.941
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.55
Pond10Fish5_PondTime,35.368
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,561
Pond10Fish5_TimeLeft,332.575
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.702
Pond10Fish6_PondTime,43.201
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,573
Pond10Fish6_TimeLeft,324.742
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.172
Pond10Fish7_PondTime,51.574
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,585
Pond10Fish7_TimeLeft,316.369
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.311
Pond10Fish8_PondTime,60.609
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,597
Pond10Fish8_TimeLeft,307.334
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.352
Pond10Fish9_PondTime,70.481
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,609
Pond10Fish9_TimeLeft,297.462
Type,RD
FishN,19
Fish,10
Pond10Fish10_FishType,blue
