,5cc555d346fb4500171c0a9e
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,0.692
Pond12Fish8_PondTime,54.802
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,552
Pond12Fish8_TimeLeft,657.428
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,0.701
Pond12Fish9_PondTime,63.169
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,564
Pond12Fish9_TimeLeft,649.061
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,1.475
Pond12Fish10_PondTime,72.201
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,576
Pond12Fish10_TimeLeft,640.029
Type,RD
FishN,13
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,0.893
Pond12Fish11_PondTime,82.069
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,588
Pond12Fish11_TimeLeft,630.161
PondEnd_LastFish,11
FishN,13
Type,RD
GiveUpTime,0.508
PondTime,92.527
TimeLeft,619.2
PondOutcome,122
TotalOutcome,588
PondStart,PondStart
PondIntroTime,12.989141726866364
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.229
Pond7Fish1_PondTime,9.736
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,600
Pond7Fish1_TimeLeft,595.859
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.803
Pond7Fish2_PondTime,18.101
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,612
Pond7Fish2_TimeLeft,587.494
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.897
Pond7Fish3_PondTime,27.134
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,624
Pond7Fish3_TimeLeft,578.461
PondEnd_LastFish,3
