,57d3dc8f2638f600010885d1
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.955
Pond6Fish2_PondTime,16.264
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,266
Pond6Fish2_TimeLeft,874.599
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.04
Pond6Fish3_PondTime,24.087
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,278
Pond6Fish3_TimeLeft,866.776
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,gray
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.849
Pond6Fish4_PondTime,32.461
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,280
Pond6Fish4_TimeLeft,858.402
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,gray
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.864
Pond6Fish5_PondTime,41.499
Pond6Fish5_PondOutcome,40
Pond6Fish5_TotalOutcome,282
Pond6Fish5_TimeLeft,849.364
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.98
Pond6Fish6_PondTime,51.374
Pond6Fish6_PondOutcome,52
Pond6Fish6_TotalOutcome,294
Pond6Fish6_TimeLeft,839.489
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,0.688
Pond6Fish7_PondTime,62.334
Pond6Fish7_PondOutcome,64
Pond6Fish7_TotalOutcome,306
Pond6Fish7_TimeLeft,828.529
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.233
Pond6Fish8_PondTime,74.722
Pond6Fish8_PondOutcome,76
Pond6Fish8_TotalOutcome,318
Pond6Fish8_TimeLeft,816.141
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,gray
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,-1
Pond6Fish9_PondTime,89.146
Pond6Fish9_PondOutcome,76
Pond6Fish9_TotalOutcome,318
Pond6Fish9_TimeLeft,801.717
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,1.166
Pond6Fish10_PondTime,106.517
Pond6Fish10_PondOutcome,88
Pond6Fish10_TotalOutcome,330
Pond6Fish10_TimeLeft,784.346
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,15
Pond6Fish11_CatchTime,1.16
Pond6Fish11_PondTime,128.896
Pond6Fish11_PondOutcome,100
Pond6Fish11_TotalOutcome,342
Pond6Fish11_TimeLeft,761.967
PondEnd_LastFish,11
FishN,19
Type,RD
GiveUpTime,15.409
PondTime,143.665
TimeLeft,746.696
PondOutcome,100
TotalOutcome,342
PondStart,PondStart
PondIntroTime,14.074948222842067
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.02
Pond1Fish1_PondTime,7.627
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,352
Pond1Fish1_TimeLeft,724.373
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,golden
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.031
Pond1Fish2_PondTime,13.535
Pond1Fish2_PondOutcome,30
Pond1Fish2_TotalOutcome,372
Pond1Fish2_TimeLeft,718.465
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.904
Pond1Fish3_PondTime,19.655
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,382
Pond1Fish3_TimeLeft,712.345
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.874
Pond1Fish4_PondTime,26.041
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,392
Pond1Fish4_TimeLeft,705.959
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.018
Pond1Fish5_PondTime,32.714
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,402
Pond1Fish5_TimeLeft,699.286
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.896
Pond1Fish6_PondTime,39.694
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,412
Pond1Fish6_TimeLeft,692.306
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.857
Pond1Fish7_PondTime,47.075
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,422
Pond1Fish7_TimeLeft,684.925
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.976
Pond1Fish8_PondTime,54.901
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,432
Pond1Fish8_TimeLeft,677.099
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.807
Pond1Fish9_PondTime,63.264
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,442
Pond1Fish9_TimeLeft,668.736
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,1.08
Pond1Fish10_PondTime,72.308
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,452
Pond1Fish10_TimeLeft,659.692
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,0.745
Pond1Fish11_PondTime,82.181
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,462
Pond1Fish11_TimeLeft,649.819
Type,RT
FishN,19
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,0.976
Pond1Fish12_PondTime,93.125
Pond1Fish12_PondOutcome,130
Pond1Fish12_TotalOutcome,472
Pond1Fish12_TimeLeft,638.875
Type,RT
FishN,19
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,0.941
Pond1Fish13_PondTime,105.502
Pond1Fish13_PondOutcome,140
Pond1Fish13_TotalOutcome,482
Pond1Fish13_TimeLeft,626.498
Type,RT
FishN,19
Fish,14
Pond1Fish14_FishType,purple
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,1.195
Pond1Fish14_PondTime,119.873
Pond1Fish14_PondOutcome,150
Pond1Fish14_TotalOutcome,492
Pond1Fish14_TimeLeft,612.127
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,14.021
PondTime,133.291
TimeLeft,598.207
PondOutcome,150
TotalOutcome,492
PondStart,PondStart
PondIntroTime,12.283606773708016
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,0.935
Pond11Fish1_PondTime,9.294
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,503
Pond11Fish1_TimeLeft,576.017
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,0.885
