,5c4c9ecead4660000191257b
Pond4Fish8_PondTime,57.513
Pond4Fish8_PondOutcome,66
Pond4Fish8_TotalOutcome,66
Pond4Fish8_TimeLeft,1144.887
Type,RD
FishN,16
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,0.871
Pond4Fish9_PondTime,66.573
Pond4Fish9_PondOutcome,78
Pond4Fish9_TotalOutcome,78
Pond4Fish9_TimeLeft,1135.827
Type,RD
FishN,16
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,1.129
Pond4Fish10_PondTime,76.443
Pond4Fish10_PondOutcome,90
Pond4Fish10_TotalOutcome,90
Pond4Fish10_TimeLeft,1125.957
Type,RD
FishN,16
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,1.207
Pond4Fish11_PondTime,87.397
Pond4Fish11_PondOutcome,102
Pond4Fish11_TotalOutcome,102
Pond4Fish11_TimeLeft,1115.003
Type,RD
FishN,16
Fish,12
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,8.571428571428571
Pond4Fish12_CatchTime,1.039
Pond4Fish12_PondTime,99.759
Pond4Fish12_PondOutcome,114
Pond4Fish12_TotalOutcome,114
Pond4Fish12_TimeLeft,1102.641
Type,RD
FishN,16
Fish,13
Pond4Fish13_FishType,blue
Pond4Fish13_FishLatency,10
Pond4Fish13_CatchTime,1.503
Pond4Fish13_PondTime,114.125
Pond4Fish13_PondOutcome,126
Pond4Fish13_TotalOutcome,126
Pond4Fish13_TimeLeft,1088.275
Type,RD
FishN,16
Fish,14
Pond4Fish14_FishType,blue
Pond4Fish14_FishLatency,12
Pond4Fish14_CatchTime,1.46
Pond4Fish14_PondTime,131.505
Pond4Fish14_PondOutcome,138
Pond4Fish14_TotalOutcome,138
Pond4Fish14_TimeLeft,1070.895
Type,RD
FishN,16
Fish,15
Pond4Fish15_FishType,blue
Pond4Fish15_FishLatency,15
Pond4Fish15_CatchTime,1.188
Pond4Fish15_PondTime,153.864
Pond4Fish15_PondOutcome,150
Pond4Fish15_TotalOutcome,150
Pond4Fish15_TimeLeft,1048.535
Type,RD
FishN,16
Fish,16
Pond4Fish16_FishType,blue
Pond4Fish16_FishLatency,20
Pond4Fish16_CatchTime,0.933
Pond4Fish16_PondTime,186.263
Pond4Fish16_PondOutcome,162
Pond4Fish16_TotalOutcome,162
Pond4Fish16_TimeLeft,1016.137
PondEnd_LastFish,16
FishN,16
Type,RD
GiveUpTime,1.641
PondTime,187.039
TimeLeft,1014.857
PondOutcome,162
TotalOutcome,162
PondStart,PondStart
PondIntroTime,15.05685603711754
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.043
Pond8Fish1_PondTime,7.818
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,174
Pond8Fish1_TimeLeft,991.351
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.234
Pond8Fish2_PondTime,13.925
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,186
Pond8Fish2_TimeLeft,985.244
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.302
Pond8Fish3_PondTime,20.296
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,198
Pond8Fish3_TimeLeft,978.873
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.446
Pond8Fish4_PondTime,26.936
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,210
Pond8Fish4_TimeLeft,972.233
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.366
Pond8Fish5_PondTime,33.911
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,222
Pond8Fish5_TimeLeft,965.258
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,0.848
Pond8Fish6_PondTime,41.27
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,234
Pond8Fish6_TimeLeft,957.899
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.277
Pond8Fish7_PondTime,49.08
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,246
Pond8Fish7_TimeLeft,950.089
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.329
Pond8Fish8_PondTime,57.461
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,258
Pond8Fish8_TimeLeft,941.708
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.024
Pond8Fish9_PondTime,66.508
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,270
Pond8Fish9_TimeLeft,932.661
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,0.972
Pond8Fish10_PondTime,76.393
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,282
Pond8Fish10_TimeLeft,922.775
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.306
Pond8Fish11_PondTime,87.348
Pond8Fish11_PondOutcome,132
Pond8Fish11_TotalOutcome,294
Pond8Fish11_TimeLeft,911.821
Type,RD
FishN,17
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,1.399
Pond8Fish12_PondTime,99.709
Pond8Fish12_PondOutcome,144
Pond8Fish12_TotalOutcome,306
Pond8Fish12_TimeLeft,899.46
Type,RD
FishN,17
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,1.199
Pond8Fish13_PondTime,114.093
Pond8Fish13_PondOutcome,156
Pond8Fish13_TotalOutcome,318
Pond8Fish13_TimeLeft,885.076
Type,RD
FishN,17
Fish,14
Pond8Fish14_FishType,blue
Pond8Fish14_FishLatency,12
Pond8Fish14_CatchTime,0.96
Pond8Fish14_PondTime,131.454
Pond8Fish14_PondOutcome,168
Pond8Fish14_TotalOutcome,330
Pond8Fish14_TimeLeft,867.715
Type,RD
FishN,17
Fish,15
Pond8Fish15_FishType,blue
Pond8Fish15_FishLatency,15
Pond8Fish15_CatchTime,1.525
Pond8Fish15_PondTime,153.815
Pond8Fish15_PondOutcome,180
Pond8Fish15_TotalOutcome,342
Pond8Fish15_TimeLeft,845.354
Type,RD
FishN,17
Fish,16
Pond8Fish16_FishType,blue
Pond8Fish16_FishLatency,20
Pond8Fish16_CatchTime,1.224
Pond8Fish16_PondTime,186.182
Pond8Fish16_PondOutcome,192
Pond8Fish16_TotalOutcome,354
Pond8Fish16_TimeLeft,812.987
PondEnd_LastFish,16
FishN,17
Type,RD
GiveUpTime,47.238
PondTime,232.856
TimeLeft,765.811
PondOutcome,192
TotalOutcome,354
PondStart,PondStart
PondIntroTime,16.78561400156468
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.836
Pond6Fish1_PondTime,8.556
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,366
Pond6Fish1_TimeLeft,739.848
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.669
Pond6Fish2_PondTime,15.548
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,378
Pond6Fish2_TimeLeft,732.856
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,gray
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.261
Pond6Fish3_PondTime,22.906
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,380
Pond6Fish3_TimeLeft,725.498
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.203
Pond6Fish4_PondTime,30.717
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,392
Pond6Fish4_TimeLeft,717.687
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.991
Pond6Fish5_PondTime,39.387
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,404
Pond6Fish5_TimeLeft,709.017
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.515
Pond6Fish6_PondTime,48.413
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,416
Pond6Fish6_TimeLeft,699.991
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.623
Pond6Fish7_PondTime,58.281
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,428
Pond6Fish7_TimeLeft,690.123
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.076
Pond6Fish8_PondTime,69.219
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,440
Pond6Fish8_TimeLeft,679.185
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.341
Pond6Fish9_PondTime,81.595
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,452
Pond6Fish9_TimeLeft,666.809
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.308
Pond6Fish10_PondTime,95.964
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,464
Pond6Fish10_TimeLeft,652.44
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,1.074
Pond6Fish11_PondTime,113.324
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,476
Pond6Fish11_TimeLeft,635.08
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,15
Pond6Fish12_CatchTime,1.169
Pond6Fish12_PondTime,135.687
Pond6Fish12_PondOutcome,134
Pond6Fish12_TotalOutcome,488
Pond6Fish12_TimeLeft,612.717
Type,RD
FishN,19
Fish,13
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,20
Pond6Fish13_CatchTime,1.22
Pond6Fish13_PondTime,168.051
Pond6Fish13_PondOutcome,146
Pond6Fish13_TotalOutcome,500
Pond6Fish13_TimeLeft,580.353
PondEnd_LastFish,13
FishN,19
Type,RD
GiveUpTime,40.939
PondTime,208.41
TimeLeft,539.491
PondOutcome,146
TotalOutcome,500
PondStart,PondStart
PondIntroTime,13.1199972005561
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.927
Pond12Fish1_PondTime,8.797
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,512
Pond12Fish1_TimeLeft,516.924
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.463
Pond12Fish2_PondTime,15.814
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,524
Pond12Fish2_TimeLeft,509.907
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.99
Pond12Fish3_PondTime,23.173
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,536
Pond12Fish3_TimeLeft,502.548
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.944
Pond12Fish4_PondTime,30.988
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,548
Pond12Fish4_TimeLeft,494.733
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.039
Pond12Fish5_PondTime,39.347
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,560
Pond12Fish5_TimeLeft,486.374
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.206
Pond12Fish6_PondTime,48.381
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,572
Pond12Fish6_TimeLeft,477.34
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.108
Pond12Fish7_PondTime,58.247
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,584
Pond12Fish7_TimeLeft,467.474
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.538
Pond12Fish8_PondTime,69.188
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,596
Pond12Fish8_TimeLeft,456.533
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.4
Pond12Fish9_PondTime,81.549
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,608
Pond12Fish9_TimeLeft,444.172
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,0.954
Pond12Fish10_PondTime,95.914
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,620
Pond12Fish10_TimeLeft,429.807
Type,RD
FishN,13
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,0.912
Pond12Fish11_PondTime,113.275
Pond12Fish11_PondOutcome,132
Pond12Fish11_TotalOutcome,632
Pond12Fish11_TimeLeft,412.446
Type,RD
FishN,13
Fish,12
Pond12Fish12_FishType,gray
Pond12Fish12_FishLatency,15
Pond12Fish12_CatchTime,1.654
Pond12Fish12_PondTime,135.637
Pond12Fish12_PondOutcome,134
Pond12Fish12_TotalOutcome,634
Pond12Fish12_TimeLeft,390.084
Type,RD
FishN,13
Fish,13
Pond12Fish13_FishType,gray
Pond12Fish13_FishLatency,20
Pond12Fish13_CatchTime,-1
Pond12Fish13_PondTime,168.074
Pond12Fish13_PondOutcome,134
Pond12Fish13_TotalOutcome,634
Pond12Fish13_TimeLeft,357.647
PondEnd_LastFish,13
FishN,13
Type,RD
GiveUpTime,34.586
PondTime,170.077
TimeLeft,355.142
PondOutcome,134
TotalOutcome,634
PondStart,PondStart
PondIntroTime,11.982601324561983
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.002
Pond1Fish1_PondTime,9.744
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,646
Pond1Fish1_TimeLeft,332.799
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.071
Pond1Fish2_PondTime,18.106
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,658
Pond1Fish2_TimeLeft,324.437
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.24
Pond1Fish3_PondTime,27.139
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,670
Pond1Fish3_TimeLeft,315.404
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.347
Pond1Fish4_PondTime,37.023
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,682
Pond1Fish4_TimeLeft,305.52
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,0.735
Pond1Fish5_PondTime,47.961
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,694
Pond1Fish5_TimeLeft,294.582
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.054
Pond1Fish6_PondTime,60.323
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,706
Pond1Fish6_TimeLeft,282.22
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,0.968
Pond1Fish7_PondTime,74.689
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,718
Pond1Fish7_TimeLeft,267.854
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.175
Pond1Fish8_PondTime,92.05
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,730
Pond1Fish8_TimeLeft,250.493
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,1.612
Pond1Fish9_PondTime,114.427
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,742
Pond1Fish9_TimeLeft,228.116
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,20
Pond1Fish10_CatchTime,-1
Pond1Fish10_PondTime,146.849
Pond1Fish10_PondOutcome,108
Pond1Fish10_TotalOutcome,742
Pond1Fish10_TimeLeft,195.694
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,52.482
PondTime,166.731
TimeLeft,175.309
PondOutcome,108
TotalOutcome,742
PondStart,PondStart
PondIntroTime,11.867229756899178
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.039
Pond5Fish1_PondTime,9.727
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,744
Pond5Fish1_TimeLeft,153.1
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.034
Pond5Fish2_PondTime,18.106
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,756
Pond5Fish2_TimeLeft,144.721
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.146
Pond5Fish3_PondTime,27.17
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,768
Pond5Fish3_TimeLeft,135.657
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,gray
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.382
Pond5Fish4_PondTime,37.054
Pond5Fish4_PondOutcome,28
Pond5Fish4_TotalOutcome,770
Pond5Fish4_TimeLeft,125.773
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.25
Pond5Fish5_PondTime,47.995
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,782
Pond5Fish5_TimeLeft,114.832
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.003
Pond5Fish6_PondTime,60.353
Pond5Fish6_PondOutcome,52
Pond5Fish6_TotalOutcome,794
Pond5Fish6_TimeLeft,102.473
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.968
Pond5Fish7_PondTime,75.726
Pond5Fish7_PondOutcome,64
Pond5Fish7_TotalOutcome,806
Pond5Fish7_TimeLeft,87.101
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,-1
Pond5Fish8_PondTime,93.144
Pond5Fish8_PondOutcome,64
Pond5Fish8_TotalOutcome,806
Pond5Fish8_TimeLeft,69.683
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,15
Pond5Fish9_CatchTime,1.48
Pond5Fish9_PondTime,115.516
Pond5Fish9_PondOutcome,76
Pond5Fish9_TotalOutcome,818
Pond5Fish9_TimeLeft,47.311
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,14.853
PondTime,130.056
TimeLeft,32.27
PondOutcome,76
TotalOutcome,818
PondStart,PondStart
PondIntroTime,17.859002077020705
