,dsahay
Pond7Fish14_TimeLeft,809.229
PondEnd_LastFish,14
FishN,15
Type,RD
GiveUpTime,1.14
PondTime,120.457
TimeLeft,808.052
PondOutcome,148
TotalOutcome,313
PondStart,PondStart
PondIntroTime,11.988084043841809
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.073
Pond2Fish1_PondTime,8.29
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,325
Pond2Fish1_TimeLeft,787.162
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.166
Pond2Fish2_PondTime,14.957
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,337
Pond2Fish2_TimeLeft,780.495
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.183
Pond2Fish3_PondTime,21.949
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,349
Pond2Fish3_TimeLeft,773.503
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.33
Pond2Fish4_PondTime,29.309
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,361
Pond2Fish4_TimeLeft,766.143
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,gray
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.291
Pond2Fish5_PondTime,37.142
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,363
Pond2Fish5_TimeLeft,758.31
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.255
Pond2Fish6_PondTime,45.52
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,375
Pond2Fish6_TimeLeft,749.932
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.179
Pond2Fish7_PondTime,54.561
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,387
Pond2Fish7_TimeLeft,740.891
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.266
Pond2Fish8_PondTime,64.444
