,5b62ceb8e04cbf0001407a5d
Pond12Fish9_CatchTime,1.317
Pond12Fish9_PondTime,81.653
Pond12Fish9_PondOutcome,96
Pond12Fish9_TotalOutcome,462
Pond12Fish9_TimeLeft,731.864
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.289
Pond12Fish10_PondTime,96.035
Pond12Fish10_PondOutcome,108
Pond12Fish10_TotalOutcome,474
Pond12Fish10_TimeLeft,717.482
Type,RD
FishN,13
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,1.42
Pond12Fish11_PondTime,113.416
Pond12Fish11_PondOutcome,120
Pond12Fish11_TotalOutcome,486
Pond12Fish11_TimeLeft,700.101
PondEnd_LastFish,11
FishN,13
Type,RD
GiveUpTime,20.562
PondTime,133.607
TimeLeft,679.406
PondOutcome,120
TotalOutcome,486
PondStart,PondStart
PondIntroTime,15.896826486568898
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.892
Pond5Fish1_PondTime,9.927
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,498
Pond5Fish1_TimeLeft,652.951
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.373
Pond5Fish2_PondTime,18.305
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,510
Pond5Fish2_TimeLeft,644.573
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.839
Pond5Fish3_PondTime,27.486
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,522
Pond5Fish3_TimeLeft,635.392
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.567
Pond5Fish4_PondTime,37.35
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,534
Pond5Fish4_TimeLeft,625.528
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.724
Pond5Fish5_PondTime,48.32
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,546
Pond5Fish5_TimeLeft,614.558
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,2.055
Pond5Fish6_PondTime,60.756
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,558
Pond5Fish6_TimeLeft,602.122
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,1.192
Pond5Fish7_PondTime,75.135
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,570
Pond5Fish7_TimeLeft,587.743
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,1.361
Pond5Fish8_PondTime,92.525
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,582
Pond5Fish8_TimeLeft,570.353
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,18.086
PondTime,110.168
TimeLeft,552.204
PondOutcome,96
TotalOutcome,582
PondStart,PondStart
PondIntroTime,17.058543714229017
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.409
Pond9Fish1_PondTime,8.279
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,592
Pond9Fish1_TimeLeft,526.223
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.51
Pond9Fish2_PondTime,14.947
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,602
Pond9Fish2_TimeLeft,519.555
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.516
Pond9Fish3_PondTime,21.93
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,612
Pond9Fish3_TimeLeft,512.572
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.273
Pond9Fish4_PondTime,29.291
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,622
Pond9Fish4_TimeLeft,505.211
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,-1
Pond9Fish5_PondTime,37.18
Pond9Fish5_PondOutcome,40
Pond9Fish5_TotalOutcome,622
Pond9Fish5_TimeLeft,497.321
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,golden
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.152
Pond9Fish6_PondTime,45.557
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,642
Pond9Fish6_TimeLeft,488.945
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,1.152
Pond9Fish7_PondTime,54.601
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,652
