,5cb496f728504d00148fe463
Pond12Fish4_TimeLeft,874.987
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.319
Pond12Fish5_PondTime,37.386
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,344
Pond12Fish5_TimeLeft,867.11
PondEnd_LastFish,5
FishN,13
Type,RT
GiveUpTime,0.824
PondTime,37.708
TimeLeft,866.28
PondOutcome,50
TotalOutcome,344
PondStart,PondStart
PondIntroTime,11.663076356053352
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.099
Pond3Fish1_PondTime,8.144
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,354
Pond3Fish1_TimeLeft,845.838
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,0.903
Pond3Fish2_PondTime,14.548
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,364
Pond3Fish2_TimeLeft,839.434
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.901
Pond3Fish3_PondTime,21.241
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,374
Pond3Fish3_TimeLeft,832.741
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.85
Pond3Fish4_PondTime,28.289
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,384
Pond3Fish4_TimeLeft,825.693
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,1.581
Pond3Fish5_PondTime,35.682
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,394
Pond3Fish5_TimeLeft,818.3
PondEnd_LastFish,5
FishN,19
Type,RT
GiveUpTime,0.593
PondTime,43.075
TimeLeft,810.403
PondOutcome,50
TotalOutcome,394
PondStart,PondStart
PondIntroTime,17.881629809271544
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.909
Pond1Fish1_PondTime,7.859
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,404
Pond1Fish1_TimeLeft,784.031
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.956
Pond1Fish2_PondTime,13.997
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,414
Pond1Fish2_TimeLeft,777.893
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.91
Pond1Fish3_PondTime,20.387
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,424
Pond1Fish3_TimeLeft,771.503
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.505
Pond1Fish4_PondTime,27.09
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,444
Pond1Fish4_TimeLeft,764.8
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.832
Pond1Fish5_PondTime,34.1
Pond1Fish5_PondOutcome,60
