,5a6ca245d5d4cb0001d66195
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.904
Pond9Fish7_PondTime,58.271
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,297
Pond9Fish7_TimeLeft,949.009
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.834
Pond9Fish8_PondTime,69.242
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,308
Pond9Fish8_TimeLeft,938.038
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.115
Pond9Fish9_PondTime,81.649
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,319
Pond9Fish9_TimeLeft,925.63
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.037
Pond9Fish10_PondTime,96.064
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,330
Pond9Fish10_TimeLeft,911.216
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,0.963
Pond9Fish11_PondTime,113.48
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,341
Pond9Fish11_TimeLeft,893.799
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,0.587
PondTime,135.685
TimeLeft,871.074
PondOutcome,121
TotalOutcome,341
PondStart,PondStart
PondIntroTime,12.112774967681617
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.871
Pond5Fish1_PondTime,8.239
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,352
Pond5Fish1_TimeLeft,850.095
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,0.792
Pond5Fish2_PondTime,14.648
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,363
Pond5Fish2_TimeLeft,843.686
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,0.941
Pond5Fish3_PondTime,21.333
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,374
Pond5Fish3_TimeLeft,837.001
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.878
Pond5Fish4_PondTime,28.358
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,385
Pond5Fish4_TimeLeft,829.976
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.742
Pond5Fish5_PondTime,35.762
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,396
Pond5Fish5_TimeLeft,822.572
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,0.79
Pond5Fish6_PondTime,43.616
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,407
Pond5Fish6_TimeLeft,814.718
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.03
Pond5Fish7_PondTime,52.034
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,418
Pond5Fish7_TimeLeft,806.299
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6
