,5c7b73bb19b8d40017e6d392
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,293
Pond5Fish7_TimeLeft,918.338
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,0.811
Pond5Fish8_PondTime,61.469
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,304
Pond5Fish8_TimeLeft,909.14
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,0.972
Pond5Fish9_PondTime,71.369
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,315
Pond5Fish9_TimeLeft,899.24
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,0.834
Pond5Fish10_PondTime,82.459
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,326
Pond5Fish10_TimeLeft,888.15
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,0.896
Pond5Fish11_PondTime,94.852
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,337
Pond5Fish11_TimeLeft,875.757
Type,N
FishN,12
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,0.858
Pond5Fish12_PondTime,109.384
Pond5Fish12_PondOutcome,132
Pond5Fish12_TotalOutcome,348
Pond5Fish12_TimeLeft,861.225
Type,N
FishN,12
Fish,13
Pond5Fish13_FishType,green
Pond5Fish13_FishLatency,12
Pond5Fish13_CatchTime,0.845
Pond5Fish13_PondTime,126.892
Pond5Fish13_PondOutcome,143
Pond5Fish13_TotalOutcome,359
Pond5Fish13_TimeLeft,843.717
PondEnd_LastFish,13
FishN,12
Type,N
GiveUpTime,2.672
PondTime,128.599
TimeLeft,841.503
PondOutcome,143
TotalOutcome,359
PondStart,PondStart
PondIntroTime,10.723559842444956
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,0.865
Pond3Fish1_PondTime,9.391
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,370
Pond3Fish1_TimeLeft,820.754
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.781
Pond3Fish2_PondTime,17.357
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,381
Pond3Fish2_TimeLeft,812.789
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.885
Pond3Fish3_PondTime,25.842
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,392
Pond3Fish3_TimeLeft,804.304
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.799
Pond3Fish4_PondTime,35.024
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,403
Pond3Fish4_TimeLeft,795.122
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.68
Pond3Fish5_PondTime,45.009
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,414
Pond3Fish5_TimeLeft,785.137
Type,N
FishN,19
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.294
Pond3Fish6_PondTime,56.091
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,425
Pond3Fish6_TimeLeft,774.055
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,0.726
Pond3Fish7_PondTime,68.592
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,436
Pond3Fish7_TimeLeft,761.554
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,1.02
Pond3Fish8_PondTime,83.092
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,447
Pond3Fish8_TimeLeft,747.054
PondEnd_LastFish,8
FishN,19
Type,N
GiveUpTime,0.428
PondTime,100.126
TimeLeft,729.515
PondOutcome,88
TotalOutcome,447
PondStart,PondStart
PondIntroTime,18.18919497076422
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.08
Pond6Fish1_PondTime,8.04
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,457
Pond6Fish1_TimeLeft,702.67
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.877
Pond6Fish2_PondTime,14.49
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,467
Pond6Fish2_TimeLeft,696.22
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.843
Pond6Fish3_PondTime,21.182
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,477
Pond6Fish3_TimeLeft,689.528
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.082
Pond6Fish4_PondTime,28.294
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,487
Pond6Fish4_TimeLeft,682.415
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,golden
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.88
Pond6Fish5_PondTime,35.706
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,507
Pond6Fish5_TimeLeft,675.004
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,golden
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,0.739
Pond6Fish6_PondTime,43.64
Pond6Fish6_PondOutcome,80
Pond6Fish6_TotalOutcome,527
Pond6Fish6_TimeLeft,667.07
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,golden
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.651
Pond6Fish7_PondTime,52.123
Pond6Fish7_PondOutcome,100
Pond6Fish7_TotalOutcome,547
Pond6Fish7_TimeLeft,658.587
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,0.863
Pond6Fish8_PondTime,61.29
Pond6Fish8_PondOutcome,110
Pond6Fish8_TotalOutcome,557
Pond6Fish8_TimeLeft,649.42
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,0.76
Pond6Fish9_PondTime,71.313
Pond6Fish9_PondOutcome,120
Pond6Fish9_TotalOutcome,567
Pond6Fish9_TimeLeft,639.397
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,golden
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.643
Pond6Fish10_PondTime,82.29
Pond6Fish10_PondOutcome,140
Pond6Fish10_TotalOutcome,587
Pond6Fish10_TimeLeft,628.42
Type,RT
FishN,19
Fish,11
Pond6Fish11_FishType,golden
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,0.65
Pond6Fish11_PondTime,94.79
Pond6Fish11_PondOutcome,160
Pond6Fish11_TotalOutcome,607
Pond6Fish11_TimeLeft,615.919
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,0.948
Pond6Fish12_PondTime,109.301
Pond6Fish12_PondOutcome,170
Pond6Fish12_TotalOutcome,617
Pond6Fish12_TimeLeft,601.409
Type,RT
FishN,19
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,12
