,5c4410ed3526c80001fcaea8
Pond4Fish14_TimeLeft,875.584
Type,RT
FishN,16
Fish,15
Pond4Fish15_FishType,purple
Pond4Fish15_FishLatency,15
Pond4Fish15_CatchTime,0.96
Pond4Fish15_PondTime,154.304
Pond4Fish15_PondOutcome,170
Pond4Fish15_TotalOutcome,350
Pond4Fish15_TimeLeft,853.185
Type,RT
FishN,16
Fish,16
Pond4Fish16_FishType,purple
Pond4Fish16_FishLatency,20
Pond4Fish16_CatchTime,1.097
Pond4Fish16_PondTime,186.703
Pond4Fish16_PondOutcome,180
Pond4Fish16_TotalOutcome,360
Pond4Fish16_TimeLeft,820.786
PondEnd_LastFish,16
FishN,16
Type,RT
GiveUpTime,5.509
PondTime,191.514
TimeLeft,815.47
PondOutcome,180
TotalOutcome,360
PondStart,PondStart
PondIntroTime,12.742443233728409
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.189
Pond8Fish1_PondTime,8.309
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,370
Pond8Fish1_TimeLeft,793.719
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.943
Pond8Fish2_PondTime,14.995
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,380
Pond8Fish2_TimeLeft,787.033
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,1.338
Pond8Fish3_PondTime,22.011
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,390
Pond8Fish3_TimeLeft,780.016
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.048
Pond8Fish4_PondTime,29.408
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,400
Pond8Fish4_TimeLeft,772.62
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,1.692
Pond8Fish5_PondTime,37.281
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,410
Pond8Fish5_TimeLeft,764.747
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,1.201
Pond8Fish6_PondTime,45.693
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,420
Pond8Fish6_TimeLeft,756.335
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,1.668
Pond8Fish7_PondTime,54.772
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,430
Pond8Fish7_TimeLeft,747.256
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,1.305
Pond8Fish8_PondTime,64.671
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,440
Pond8Fish8_TimeLeft,737.357
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.149
Pond8Fish9_PondTime,75.642
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,450
Pond8Fish9_TimeLeft,726.386
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,-1
Pond8Fish10_PondTime,88.092
Pond8Fish10_PondOutcome,90
Pond8Fish10_TotalOutcome,450
Pond8Fish10_TimeLeft,713.936
Type,RT
FishN,17
Fish,11
Pond8Fish11_FishType,golden
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,1.238
Pond8Fish11_PondTime,102.491
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,470
Pond8Fish11_TimeLeft,699.537
Type,RT
FishN,17
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,12
Pond8Fish12_CatchTime,1.55
Pond8Fish12_PondTime,119.889
Pond8Fish12_PondOutcome,120
Pond8Fish12_TotalOutcome,480
Pond8Fish12_TimeLeft,682.139
Type,RT
FishN,17
Fish,13
Pond8Fish13_FishType,purple
Pond8Fish13_FishLatency,15
Pond8Fish13_CatchTime,1.129
Pond8Fish13_PondTime,142.289
Pond8Fish13_PondOutcome,130
Pond8Fish13_TotalOutcome,490
Pond8Fish13_TimeLeft,659.739
Type,RT
FishN,17
Fish,14
Pond8Fish14_FishType,golden
Pond8Fish14_FishLatency,20
Pond8Fish14_CatchTime,1.021
Pond8Fish14_PondTime,174.674
Pond8Fish14_PondOutcome,150
Pond8Fish14_TotalOutcome,510
Pond8Fish14_TimeLeft,627.354
PondEnd_LastFish,14
FishN,17
Type,RT
GiveUpTime,2.51
PondTime,176.411
TimeLeft,625.113
PondOutcome,150
TotalOutcome,510
PondStart,PondStart
PondIntroTime,11.834780785720795
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.173
Pond9Fish1_PondTime,9.762
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,520
Pond9Fish1_TimeLeft,602.842
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.135
Pond9Fish2_PondTime,18.158
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,530
Pond9Fish2_TimeLeft,594.446
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,27.264
Pond9Fish3_PondOutcome,20
Pond9Fish3_TotalOutcome,530
Pond9Fish3_TimeLeft,585.34
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.902
Pond9Fish4_PondTime,37.378
Pond9Fish4_PondOutcome,30
Pond9Fish4_TotalOutcome,540
Pond9Fish4_TimeLeft,575.226
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.431
Pond9Fish5_PondTime,48.344
Pond9Fish5_PondOutcome,40
Pond9Fish5_TotalOutcome,550
Pond9Fish5_TimeLeft,564.26
Type,RT
FishN,16
Fish,6
