,5c3483f5e460290001ea2e86
Pond3Fish7_CatchTime,1.386
Pond3Fish7_PondTime,47.136
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,893
Pond3Fish7_TimeLeft,119.479
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.631
Pond3Fish8_PondTime,54.986
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,903
Pond3Fish8_TimeLeft,111.629
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.394
Pond3Fish9_PondTime,63.369
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,913
Pond3Fish9_TimeLeft,103.246
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,golden
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.663
Pond3Fish10_PondTime,72.436
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,933
Pond3Fish10_TimeLeft,94.179
Type,RT
FishN,19
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.29
Pond3Fish11_PondTime,82.311
Pond3Fish11_PondOutcome,130
Pond3Fish11_TotalOutcome,943
Pond3Fish11_TimeLeft,84.304
Type,RT
FishN,19
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.129
Pond3Fish12_PondTime,93.262
Pond3Fish12_PondOutcome,140
Pond3Fish12_TotalOutcome,953
Pond3Fish12_TimeLeft,73.353
Type,RT
FishN,19
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.625
Pond3Fish13_PondTime,105.654
Pond3Fish13_PondOutcome,150
Pond3Fish13_TotalOutcome,963
Pond3Fish13_TimeLeft,60.961
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,1.246
PondTime,106.735
TimeLeft,59.378
PondOutcome,150
TotalOutcome,963
PondStart,PondStart
PondIntroTime,19.257830404676497
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.406
Pond11Fish1_PondTime,9.326
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,974
Pond11Fish1_TimeLeft,30.169
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.542
Pond11Fish2_PondTime,17.178
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,985
Pond11Fish2_TimeLeft,22.317
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.787
Pond11Fish3_PondTime,25.663
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,996
Pond11Fish3_TimeLeft,13.832
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.535
Pond11Fish4_PondTime,34.727
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,1007
Pond11Fish4_TimeLeft,4.768
