,5d345bba0627450017214956
Pond9Fish3_TimeLeft,199.469
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,golden
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.106
Pond9Fish4_PondTime,34.475
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,844
Pond9Fish4_TimeLeft,190.439
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,1.263
Pond9Fish5_PondTime,44.341
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,854
Pond9Fish5_TimeLeft,180.572
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.293
Pond9Fish6_PondTime,55.268
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,864
Pond9Fish6_TimeLeft,169.646
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,0.972
Pond9Fish7_PondTime,67.636
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,874
Pond9Fish7_TimeLeft,157.278
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.312
Pond9Fish8_PondTime,82.008
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,884
Pond9Fish8_TimeLeft,142.906
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,1.196
Pond9Fish9_PondTime,99.38
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,894
Pond9Fish9_TimeLeft,125.534
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,15
Pond9Fish10_CatchTime,1.081
Pond9Fish10_PondTime,121.744
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,904
Pond9Fish10_TimeLeft,103.17
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,0.772
PondTime,121.798
TimeLeft,102.612
PondOutcome,110
TotalOutcome,904
PondStart,PondStart
PondIntroTime,18.416031394153833
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.001
Pond12Fish1_PondTime,8.897
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,914
Pond12Fish1_TimeLeft,74.661
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,-1
Pond12Fish2_PondTime,16.339
Pond12Fish2_PondOutcome,10
Pond12Fish2_TotalOutcome,914
Pond12Fish2_TimeLeft,67.219
