,5dff62a6df98d9ba45117f52
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.869
Pond5Fish3_PondTime,27.133
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,230
Pond5Fish3_TimeLeft,948.872
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.79
Pond5Fish4_PondTime,36.991
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,241
Pond5Fish4_TimeLeft,939.014
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.887
Pond5Fish5_PondTime,47.919
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,252
Pond5Fish5_TimeLeft,928.086
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.712
Pond5Fish6_PondTime,60.277
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,263
Pond5Fish6_TimeLeft,915.728
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,0.513
PondTime,74.228
TimeLeft,901.275
PondOutcome,66
TotalOutcome,263
PondStart,PondStart
PondIntroTime,19.45473690284416
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.584
Pond9Fish1_PondTime,8.556
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,275
Pond9Fish1_TimeLeft,872.653
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.735
Pond9Fish2_PondTime,15.527
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,287
Pond9Fish2_TimeLeft,865.681
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,gray
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.789
Pond9Fish3_PondTime,22.887
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,289
Pond9Fish3_TimeLeft,858.322
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.754
Pond9Fish4_PondTime,30.698
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,301
Pond9Fish4_TimeLeft,850.511
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.694
Pond9Fish5_PondTime,39.058
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,313
Pond9Fish5_TimeLeft,842.151
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.681
Pond9Fish6_PondTime,48.084
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,325
Pond9Fish6_TimeLeft,833.125
PondEnd_LastFish,6
FishN,16
Type,RD
GiveUpTime,0.461
PondTime,57.503
TimeLeft,823.204
PondOutcome,62
TotalOutcome,325
PondStart,PondStart
PondIntroTime,17.667003166861832
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.882
Pond2Fish1_PondTime,7.605
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,336
Pond2Fish1_TimeLeft,797.32
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,0.757
Pond2Fish2_PondTime,13.495
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,347
Pond2Fish2_TimeLeft,791.429
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.583
Pond2Fish3_PondTime,19.603
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,358
