,5cc75fed260ac90018dead06
Pond9Fish5_TimeLeft,914.189
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.01
Pond9Fish6_PondTime,60.305
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,326
Pond9Fish6_TimeLeft,901.819
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.145
Pond9Fish7_PondTime,74.671
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,338
Pond9Fish7_TimeLeft,887.453
PondEnd_LastFish,7
FishN,16
Type,RD
GiveUpTime,13.585
PondTime,87.603
TimeLeft,874.018
PondOutcome,74
TotalOutcome,338
PondStart,PondStart
PondIntroTime,11.14124605897814
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.16
Pond10Fish1_PondTime,7.618
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,349
Pond10Fish1_TimeLeft,854.632
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.107
Pond10Fish2_PondTime,13.516
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,360
Pond10Fish2_TimeLeft,848.734
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.208
Pond10Fish3_PondTime,19.633
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,371
Pond10Fish3_TimeLeft,842.617
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.163
Pond10Fish4_PondTime,25.998
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,382
Pond10Fish4_TimeLeft,836.251
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.997
Pond10Fish5_PondTime,32.651
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,393
Pond10Fish5_TimeLeft,829.599
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.003
Pond10Fish6_PondTime,39.634
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,404
Pond10Fish6_TimeLeft,822.616
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.342
Pond10Fish7_PondTime,47
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,415
Pond10Fish7_TimeLeft,815.25
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.778
Pond10Fish8_PondTime,54.901
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,426
Pond10Fish8_TimeLeft,807.349
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.084
Pond10Fish9_PondTime,63.269
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,437
Pond10Fish9_TimeLeft,798.981
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.177
Pond10Fish10_PondTime,72.303
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,448
Pond10Fish10_TimeLeft,789.946
Type,N
FishN,19
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.068
Pond10Fish11_PondTime,82.171
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,459
Pond10Fish11_TimeLeft,780.079
PondEnd_LastFish,11
FishN,19
Type,N
GiveUpTime,7.706
PondTime,89.158
TimeLeft,772.587
PondOutcome,121
TotalOutcome,459
PondStart,PondStart
PondIntroTime,18.772250469774008
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.315
Pond4Fish1_PondTime,9.266
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,469
Pond4Fish1_TimeLeft,743.926
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.094
Pond4Fish2_PondTime,17.083
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,479
Pond4Fish2_TimeLeft,736.11
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.216
Pond4Fish3_PondTime,25.449
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,489
Pond4Fish3_TimeLeft,727.744
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.256
Pond4Fish4_PondTime,34.486
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,499
Pond4Fish4_TimeLeft,718.707
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.02
Pond4Fish5_PondTime,44.353
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,509
Pond4Fish5_TimeLeft,708.84
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.268
Pond4Fish6_PondTime,55.284
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,519
Pond4Fish6_TimeLeft,697.909
PondEnd_LastFish,6
FishN,16
Type,RT
GiveUpTime,9.25
PondTime,64.017
TimeLeft,688.672
PondOutcome,60
TotalOutcome,519
PondStart,PondStart
PondIntroTime,16.892712709959596
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.45
Pond8Fish1_PondTime,7.6
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,530
Pond8Fish1_TimeLeft,663.554
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.057
Pond8Fish2_PondTime,13.499
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,541
Pond8Fish2_TimeLeft,657.655
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.068
Pond8Fish3_PondTime,19.616
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,552
Pond8Fish3_TimeLeft,651.538
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,1.153
Pond8Fish4_PondTime,25.988
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,563
Pond8Fish4_TimeLeft,645.166
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.019
Pond8Fish5_PondTime,32.636
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,574
Pond8Fish5_TimeLeft,638.518
Type,N
FishN,17
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.341
Pond8Fish6_PondTime,39.618
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,585
Pond8Fish6_TimeLeft,631.536
Type,N
FishN,17
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.055
Pond8Fish7_PondTime,46.985
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,596
Pond8Fish7_TimeLeft,624.169
Type,N
FishN,17
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.237
Pond8Fish8_PondTime,54.801
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,607
Pond8Fish8_TimeLeft,616.353
Type,N
FishN,17
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,0.983
Pond8Fish9_PondTime,63.17
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,618
Pond8Fish9_TimeLeft,607.984
Type,N
FishN,17
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.545
Pond8Fish10_PondTime,72.205
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,629
Pond8Fish10_TimeLeft,598.949
PondEnd_LastFish,10
FishN,17
Type,N
GiveUpTime,1.032
PondTime,72.984
TimeLeft,597.666
PondOutcome,110
TotalOutcome,629
PondStart,PondStart
PondIntroTime,19.03769273078069
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.255
Pond1Fish1_PondTime,9.733
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,640
Pond1Fish1_TimeLeft,568.265
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.41
Pond1Fish2_PondTime,18.101
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,651
Pond1Fish2_TimeLeft,559.897
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.245
Pond1Fish3_PondTime,27.134
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,662
Pond1Fish3_TimeLeft,550.864
PondEnd_LastFish,3
FishN,19
Type,N
GiveUpTime,6.446
PondTime,33.029
TimeLeft,544.464
PondOutcome,33
TotalOutcome,662
PondStart,PondStart
PondIntroTime,17.488537912722677
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.188
Pond7Fish1_PondTime,8.885
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,674
Pond7Fish1_TimeLeft,517.459
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,1.461
Pond7Fish2_PondTime,16.25
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,686
Pond7Fish2_TimeLeft,510.094
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.978
Pond7Fish3_PondTime,24.067
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,698
Pond7Fish3_TimeLeft,502.276
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.323
Pond7Fish4_PondTime,32.434
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,710
Pond7Fish4_TimeLeft,493.91
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.174
Pond7Fish5_PondTime,41.469
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,722
Pond7Fish5_TimeLeft,484.875
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.228
Pond7Fish6_PondTime,51.336
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,734
Pond7Fish6_TimeLeft,475.008
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,-1
Pond7Fish7_PondTime,62.335
Pond7Fish7_PondOutcome,72
Pond7Fish7_TotalOutcome,734
Pond7Fish7_TimeLeft,464.009
PondEnd_LastFish,7
FishN,15
Type,RD
GiveUpTime,21.161
PondTime,71.928
TimeLeft,453.913
PondOutcome,72
TotalOutcome,734
PondStart,PondStart
PondIntroTime,12.087812754325569
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.102
Pond3Fish1_PondTime,7.802
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,744
Pond3Fish1_TimeLeft,433.403
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,golden
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.013
Pond3Fish2_PondTime,13.917
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,764
Pond3Fish2_TimeLeft,427.288
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.305
Pond3Fish3_PondTime,20.292
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,774
Pond3Fish3_TimeLeft,420.913
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.05
Pond3Fish4_PondTime,26.956
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,784
Pond3Fish4_TimeLeft,414.249
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
