,minigunski
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,0.757
Pond11Fish12_PondTime,100.142
Pond11Fish12_PondOutcome,150
Pond11Fish12_TotalOutcome,286
Pond11Fish12_TimeLeft,941.091
Type,RT
FishN,14
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,0.932
Pond11Fish13_PondTime,114.543
Pond11Fish13_PondOutcome,160
Pond11Fish13_TotalOutcome,296
Pond11Fish13_TimeLeft,926.69
Type,RT
FishN,14
Fish,14
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,1.063
Pond11Fish14_PondTime,131.906
Pond11Fish14_PondOutcome,170
Pond11Fish14_TotalOutcome,306
Pond11Fish14_TimeLeft,909.327
Type,RT
FishN,14
Fish,15
Pond11Fish15_FishType,purple
Pond11Fish15_FishLatency,15
Pond11Fish15_CatchTime,0.991
Pond11Fish15_PondTime,154.272
Pond11Fish15_PondOutcome,180
Pond11Fish15_TotalOutcome,316
Pond11Fish15_TimeLeft,886.961
Type,RT
FishN,14
Fish,16
Pond11Fish16_FishType,golden
Pond11Fish16_FishLatency,20
Pond11Fish16_CatchTime,0.985
Pond11Fish16_PondTime,186.675
Pond11Fish16_PondOutcome,200
Pond11Fish16_TotalOutcome,336
Pond11Fish16_TimeLeft,854.558
PondEnd_LastFish,16
FishN,14
Type,RT
GiveUpTime,29.194
PondTime,215.063
TimeLeft,825.666
PondOutcome,200
TotalOutcome,336
PondStart,PondStart
PondIntroTime,15.74165782192722
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.795
Pond12Fish1_PondTime,8.616
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,347
Pond12Fish1_TimeLeft,800.662
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.027
Pond12Fish2_PondTime,15.633
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,358
Pond12Fish2_TimeLeft,793.645
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.002
Pond12Fish3_PondTime,23.019
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,369
Pond12Fish3_TimeLeft,786.259
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.106
Pond12Fish4_PondTime,30.865
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,380
Pond12Fish4_TimeLeft,778.413
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.691
Pond12Fish5_PondTime,39.233
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,391
Pond12Fish5_TimeLeft,770.045
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.895
Pond12Fish6_PondTime,48.299
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,402
Pond12Fish6_TimeLeft,760.979
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.835
Pond12Fish7_PondTime,58.168
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,413
Pond12Fish7_TimeLeft,751.11
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.768
Pond12Fish8_PondTime,69.213
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,424
Pond12Fish8_TimeLeft,740.064
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.827
Pond12Fish9_PondTime,81.635
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,435
Pond12Fish9_TimeLeft,727.643
Type,N
FishN,13
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,0.888
Pond12Fish10_PondTime,95.999
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,446
Pond12Fish10_TimeLeft,713.278
Type,N
FishN,13
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,12
