,5dff35333f2915b958dfd601
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,-1
Pond8Fish7_PondTime,70.693
Pond8Fish7_PondOutcome,66
Pond8Fish7_TotalOutcome,388
Pond8Fish7_TimeLeft,782.596
Type,N
FishN,17
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.867
Pond8Fish8_PondTime,85.257
Pond8Fish8_PondOutcome,77
Pond8Fish8_TotalOutcome,399
Pond8Fish8_TimeLeft,768.031
Type,N
FishN,17
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.4
Pond8Fish9_PondTime,102.636
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,410
Pond8Fish9_TimeLeft,750.653
Type,N
FishN,17
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,1.231
Pond8Fish10_PondTime,125.016
Pond8Fish10_PondOutcome,99
Pond8Fish10_TotalOutcome,421
Pond8Fish10_TimeLeft,728.273
PondEnd_LastFish,10
FishN,17
Type,N
GiveUpTime,30.997
PondTime,155.455
TimeLeft,697.331
PondOutcome,99
TotalOutcome,421
PondStart,PondStart
PondIntroTime,12.672233239281923
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.582
Pond4Fish1_PondTime,9.299
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,432
Pond4Fish1_TimeLeft,674.283
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.343
Pond4Fish2_PondTime,17.139
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,443
Pond4Fish2_TimeLeft,666.443
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.234
Pond4Fish3_PondTime,25.522
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,454
Pond4Fish3_TimeLeft,658.06
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.51
Pond4Fish4_PondTime,34.571
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,465
Pond4Fish4_TimeLeft,649.011
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,44.502
Pond4Fish5_PondOutcome,44
Pond4Fish5_TotalOutcome,465
Pond4Fish5_TimeLeft,639.08
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.085
Pond4Fish6_PondTime,55.454
Pond4Fish6_PondOutcome,55
Pond4Fish6_TotalOutcome,476
Pond4Fish6_TimeLeft,628.128
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,0.955
Pond4Fish7_PondTime,67.822
Pond4Fish7_PondOutcome,66
Pond4Fish7_TotalOutcome,487
Pond4Fish7_TimeLeft,615.76
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,0.724
Pond4Fish8_PondTime,82.202
Pond4Fish8_PondOutcome,77
Pond4Fish8_TotalOutcome,498
Pond4Fish8_TimeLeft,601.38
PondEnd_LastFish,8
FishN,16
Type,N
GiveUpTime,15.201
PondTime,96.337
TimeLeft,586.742
PondOutcome,77
TotalOutcome,498
PondStart,PondStart
PondIntroTime,12.336806794628501
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,1.296
Pond2Fish1_PondTime,8.057
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,509
Pond2Fish1_TimeLeft,565.722
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,1.815
Pond2Fish2_PondTime,14.549
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,520
Pond2Fish2_TimeLeft,559.23
Type,N
