,5dfe7f1413ec50afd973fb3a
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,12
Pond10Fish9_CatchTime,1.538
Pond10Fish9_PondTime,99.467
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,304
Pond10Fish9_TimeLeft,857.731
PondEnd_LastFish,9
FishN,19
Type,RD
GiveUpTime,1.023
PondTime,100.238
TimeLeft,856.459
PondOutcome,108
TotalOutcome,304
PondStart,PondStart
PondIntroTime,19.73134410334751
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.451
Pond5Fish1_PondTime,8.015
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,316
Pond5Fish1_TimeLeft,828.092
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.444
Pond5Fish2_PondTime,14.379
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,328
Pond5Fish2_TimeLeft,821.728
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,21.077
Pond5Fish3_PondOutcome,24
Pond5Fish3_TotalOutcome,328
Pond5Fish3_TimeLeft,815.03
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.841
Pond5Fish4_PondTime,28.208
Pond5Fish4_PondOutcome,36
Pond5Fish4_TotalOutcome,340
Pond5Fish4_TimeLeft,807.899
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.757
Pond5Fish5_PondTime,35.639
Pond5Fish5_PondOutcome,48
Pond5Fish5_TotalOutcome,352
Pond5Fish5_TimeLeft,800.468
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.415
Pond5Fish6_PondTime,43.453
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,364
Pond5Fish6_TimeLeft,792.654
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.081
Pond5Fish7_PondTime,51.816
Pond5Fish7_PondOutcome,72
Pond5Fish7_TotalOutcome,376
Pond5Fish7_TimeLeft,784.291
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.59
Pond5Fish8_PondTime,60.851
Pond5Fish8_PondOutcome,84
Pond5Fish8_TotalOutcome,388
Pond5Fish8_TimeLeft,775.256
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,1.575
Pond5Fish9_PondTime,70.722
Pond5Fish9_PondOutcome,96
Pond5Fish9_TotalOutcome,400
Pond5Fish9_TimeLeft,765.385
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,1.432
Pond5Fish10_PondTime,81.665
Pond5Fish10_PondOutcome,108
Pond5Fish10_TotalOutcome,412
Pond5Fish10_TimeLeft,754.442
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,1.619
Pond5Fish11_PondTime,94.019
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,424
Pond5Fish11_TimeLeft,742.088
PondEnd_LastFish,11
FishN,12
Type,RD
GiveUpTime,1.127
PondTime,94.979
TimeLeft,740.626
PondOutcome,120
TotalOutcome,424
PondStart,PondStart
PondIntroTime,13.874615503009409
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.36
Pond3Fish1_PondTime,7.615
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,434
Pond3Fish1_TimeLeft,718.526
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.42
Pond3Fish2_PondTime,13.498
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,444
Pond3Fish2_TimeLeft,712.643
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.01
Pond3Fish3_PondTime,19.609
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,454
Pond3Fish3_TimeLeft,706.532
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.623
Pond3Fish4_PondTime,25.973
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,464
Pond3Fish4_TimeLeft,700.168
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.582
Pond3Fish5_PondTime,32.621
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,474
Pond3Fish5_TimeLeft,693.52
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,-1
Pond3Fish6_PondTime,39.668
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,474
Pond3Fish6_TimeLeft,686.473
