,5d494d958e0dc5001a99a392
Pond11Fish3_TotalOutcome,364
Pond11Fish3_TimeLeft,885.296
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.122
Pond11Fish4_PondTime,32.455
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,376
Pond11Fish4_TimeLeft,876.925
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.917
Pond11Fish5_PondTime,41.484
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,388
Pond11Fish5_TimeLeft,867.896
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.895
Pond11Fish6_PondTime,51.351
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,400
Pond11Fish6_TimeLeft,858.029
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.072
Pond11Fish7_PondTime,62.288
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,412
Pond11Fish7_TimeLeft,847.092
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.923
Pond11Fish8_PondTime,74.652
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,424
Pond11Fish8_TimeLeft,834.728
PondEnd_LastFish,8
FishN,14
Type,RD
GiveUpTime,1.016
PondTime,74.799
TimeLeft,834.073
PondOutcome,96
TotalOutcome,424
PondStart,PondStart
PondIntroTime,14.441017571371049
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1
Pond3Fish1_PondTime,8.886
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,434
Pond3Fish1_TimeLeft,810.126
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
