,56ab570169b247000d5cb3a5
GiveUpTime,46.816
PondTime,166.271
TimeLeft,462.387
PondOutcome,144
TotalOutcome,524
PondStart,PondStart
PondIntroTime,15.935374505352229
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,9.808
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,524
Pond2Fish1_TimeLeft,436.005
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.882
Pond2Fish2_PondTime,18.256
Pond2Fish2_PondOutcome,12
Pond2Fish2_TotalOutcome,536
Pond2Fish2_TimeLeft,427.557
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.022
Pond2Fish3_PondTime,27.331
Pond2Fish3_PondOutcome,24
Pond2Fish3_TotalOutcome,548
Pond2Fish3_TimeLeft,418.482
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.359
Pond2Fish4_PondTime,37.241
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,560
Pond2Fish4_TimeLeft,408.572
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.91
Pond2Fish5_PondTime,48.266
Pond2Fish5_PondOutcome,48
Pond2Fish5_TotalOutcome,572
Pond2Fish5_TimeLeft,397.546
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.044
Pond2Fish6_PondTime,60.73
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,584
Pond2Fish6_TimeLeft,385.083
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,0.929
Pond2Fish7_PondTime,75.159
Pond2Fish7_PondOutcome,72
Pond2Fish7_TotalOutcome,596
Pond2Fish7_TimeLeft,370.654
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,gray
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.05
Pond2Fish8_PondTime,92.609
Pond2Fish8_PondOutcome,74
Pond2Fish8_TotalOutcome,598
Pond2Fish8_TimeLeft,353.204
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,0.997
