, 5de6e9a748241d67583acb96
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.737
Pond2Fish8_PondTime,82.354
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,442
Pond2Fish8_TimeLeft,567.237
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,golden
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,1.367
Pond2Fish9_PondTime,99.77
Pond2Fish9_PondOutcome,110
Pond2Fish9_TotalOutcome,462
Pond2Fish9_TimeLeft,549.822
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,1.555
Pond2Fish10_PondTime,122.227
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,472
Pond2Fish10_TimeLeft,527.364
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,20
Pond2Fish11_CatchTime,1.761
Pond2Fish11_PondTime,154.75
Pond2Fish11_PondOutcome,130
Pond2Fish11_TotalOutcome,482
Pond2Fish11_TimeLeft,494.842
PondEnd_LastFish,11
FishN,12
Type,RT
GiveUpTime,28.988
PondTime,183.607
TimeLeft,465.447
PondOutcome,130
TotalOutcome,482
PondStart,PondStart
PondIntroTime,15.541812558658421
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.566
Pond5Fish1_PondTime,9.302
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,493
Pond5Fish1_TimeLeft,439.97
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.522
Pond5Fish2_PondTime,17.142
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,504
Pond5Fish2_TimeLeft,432.13
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.699
Pond5Fish3_PondTime,25.519
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,515
Pond5Fish3_TimeLeft,423.753
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.529
Pond5Fish4_PondTime,34.59
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,526
Pond5Fish4_TimeLeft,414.681
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.672
Pond5Fish5_PondTime,44.499
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,537
Pond5Fish5_TimeLeft,404.773
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.479
Pond5Fish6_PondTime,55.502
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,548
Pond5Fish6_TimeLeft,393.77
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.522
Pond5Fish7_PondTime,67.94
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,559
Pond5Fish7_TimeLeft,381.332
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.474
Pond5Fish8_PondTime,82.346
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,570
Pond5Fish8_TimeLeft,366.926
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.484
Pond5Fish9_PondTime,99.753
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,581
Pond5Fish9_TimeLeft,349.519
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
