,5d4855cf4574f300013a7945
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.751
Pond3Fish12_PondTime,93.296
Pond3Fish12_PondOutcome,124
Pond3Fish12_TotalOutcome,354
Pond3Fish12_TimeLeft,729.48
Type,RD
FishN,19
Fish,13
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,0.825
Pond3Fish13_PondTime,105.675
Pond3Fish13_PondOutcome,136
Pond3Fish13_TotalOutcome,366
Pond3Fish13_TimeLeft,717.1
Type,RD
FishN,19
Fish,14
Pond3Fish14_FishType,blue
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,0.871
Pond3Fish14_PondTime,120.054
Pond3Fish14_PondOutcome,148
Pond3Fish14_TotalOutcome,378
Pond3Fish14_TimeLeft,702.722
Type,RD
FishN,19
Fish,15
Pond3Fish15_FishType,blue
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,1.082
Pond3Fish15_PondTime,137.46
Pond3Fish15_PondOutcome,160
Pond3Fish15_TotalOutcome,390
Pond3Fish15_TimeLeft,685.316
Type,RD
FishN,19
Fish,16
Pond3Fish16_FishType,blue
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,1.021
Pond3Fish16_PondTime,159.823
Pond3Fish16_PondOutcome,172
Pond3Fish16_TotalOutcome,402
Pond3Fish16_TimeLeft,662.953
PondEnd_LastFish,16
FishN,19
Type,RD
GiveUpTime,28.584
PondTime,187.637
TimeLeft,634.633
PondOutcome,172
TotalOutcome,402
PondStart,PondStart
PondIntroTime,16.589194301050156
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,1.193
Pond7Fish1_PondTime,8.561
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,413
Pond7Fish1_TimeLeft,608.851
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,0.786
Pond7Fish2_PondTime,15.565
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,424
Pond7Fish2_TimeLeft,601.846
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.776
Pond7Fish3_PondTime,22.937
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,435
Pond7Fish3_TimeLeft,594.475
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.921
Pond7Fish4_PondTime,30.777
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,446
Pond7Fish4_TimeLeft,586.635
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.846
Pond7Fish5_PondTime,39.175
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,457
Pond7Fish5_TimeLeft,578.236
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,1.378
Pond7Fish6_PondTime,48.216
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,468
Pond7Fish6_TimeLeft,569.196
