,59c0de1c754a19000111c362
Pond8Fish8_PondTime,82.216
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,290
Pond8Fish8_TimeLeft,879.194
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,0.946
Pond8Fish9_PondTime,99.619
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,300
Pond8Fish9_TimeLeft,861.79
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,1.154
Pond8Fish10_PondTime,122.016
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,310
Pond8Fish10_TimeLeft,839.394
Type,RT
FishN,17
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,20
Pond8Fish11_CatchTime,1.056
Pond8Fish11_PondTime,154.389
Pond8Fish11_PondOutcome,120
Pond8Fish11_TotalOutcome,320
Pond8Fish11_TimeLeft,807.021
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,50.013
PondTime,203.655
TimeLeft,757.223
PondOutcome,120
TotalOutcome,320
PondStart,PondStart
PondIntroTime,10.022212930489331
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,0.966
Pond10Fish1_PondTime,7.68
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,331
Pond10Fish1_TimeLeft,738.865
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.638
Pond10Fish2_PondTime,13.595
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,342
Pond10Fish2_TimeLeft,732.951
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.001
Pond10Fish3_PondTime,19.737
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,353
Pond10Fish3_TimeLeft,726.808
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.96
Pond10Fish4_PondTime,26.104
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,364
Pond10Fish4_TimeLeft,720.442
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.012
Pond10Fish5_PondTime,32.761
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,375
Pond10Fish5_TimeLeft,713.785
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.935
Pond10Fish6_PondTime,39.752
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,386
Pond10Fish6_TimeLeft,706.793
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.925
Pond10Fish7_PondTime,47.14
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,397
Pond10Fish7_TimeLeft,699.406
Type,N
