,57ac85fec80df50001a5b25d
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,259
Pond7Fish9_TimeLeft,914.021
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.642
Pond7Fish10_PondTime,106.594
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,270
Pond7Fish10_TimeLeft,896.643
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,15
Pond7Fish11_CatchTime,1.381
Pond7Fish11_PondTime,128.982
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,281
Pond7Fish11_TimeLeft,874.254
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,20
Pond7Fish12_CatchTime,1.509
Pond7Fish12_PondTime,161.378
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,292
Pond7Fish12_TimeLeft,841.859
PondEnd_LastFish,12
FishN,15
Type,N
GiveUpTime,37.258
PondTime,198.349
TimeLeft,804.379
PondOutcome,132
TotalOutcome,292
PondStart,PondStart
PondIntroTime,10.46913948142901
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.206
Pond8Fish1_PondTime,7.818
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,304
Pond8Fish1_TimeLeft,785.458
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.589
Pond8Fish2_PondTime,13.951
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,316
Pond8Fish2_TimeLeft,779.326
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.214
Pond8Fish3_PondTime,20.37
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,328
Pond8Fish3_TimeLeft,772.907
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.373
Pond8Fish4_PondTime,27.045
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,340
Pond8Fish4_TimeLeft,766.232
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.274
Pond8Fish5_PondTime,34.041
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,352
Pond8Fish5_TimeLeft,759.236
Type,RD
FishN,17
Fish,6
