,5dfe838ea7fba6b19132f859
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,1.131
Pond6Fish11_PondTime,87.569
Pond6Fish11_PondOutcome,130
Pond6Fish11_TotalOutcome,290
Pond6Fish11_TimeLeft,884.349
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,1.434
Pond6Fish12_PondTime,99.934
Pond6Fish12_PondOutcome,140
Pond6Fish12_TotalOutcome,300
Pond6Fish12_TimeLeft,871.984
Type,RT
FishN,19
Fish,13
Pond6Fish13_FishType,golden
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.059
Pond6Fish13_PondTime,114.3
Pond6Fish13_PondOutcome,160
Pond6Fish13_TotalOutcome,320
Pond6Fish13_TimeLeft,857.618
Type,RT
FishN,19
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,1.004
Pond6Fish14_PondTime,131.668
Pond6Fish14_PondOutcome,170
Pond6Fish14_TotalOutcome,330
Pond6Fish14_TimeLeft,840.25
Type,RT
FishN,19
Fish,15
Pond6Fish15_FishType,purple
Pond6Fish15_FishLatency,15
Pond6Fish15_CatchTime,1.546
Pond6Fish15_PondTime,154.035
Pond6Fish15_PondOutcome,180
Pond6Fish15_TotalOutcome,340
Pond6Fish15_TimeLeft,817.883
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,0.779
PondTime,154.566
TimeLeft,816.843
PondOutcome,180
TotalOutcome,340
PondStart,PondStart
PondIntroTime,10.998005010187626
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.112
Pond4Fish1_PondTime,7.802
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,350
Pond4Fish1_TimeLeft,797.4
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,13.984
Pond4Fish2_PondOutcome,10
Pond4Fish2_TotalOutcome,350
Pond4Fish2_TimeLeft,791.218
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,0.986
Pond4Fish3_PondTime,20.35
Pond4Fish3_PondOutcome,20
Pond4Fish3_TotalOutcome,360
Pond4Fish3_TimeLeft,784.851
Type,RT
FishN,16
Fish,4
